eval_eplenmean,eval_abs_qs_difference,eval_qs,eval_returns,total timesteps,eval_discount_q,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_ep_rewmean
10.0,3.2506325,-0.7456469,5.8338829656387565,1,5.6387112465622335,5.8,-3.2506325731615235,0,5.8328227272727275
,,,,86,,,,,
,,,,156,,,,,
,,,,273,,,,,
,,,,377,,,,,
,,,,462,,,,,
,,,,532,,,,,
,,,,648,,,,,
,,,,747,,,,,
,,,,818,,,,,
,,,,965,,,,,
10.0,3.25502,-0.7460986,5.8502042856832865,1001,5.644095418404258,5.8,-3.255019503549775,0,5.838546454545455
,,,,1037,,,,,
,,,,1114,,,,,
,,,,1233,,,,,
,,,,1303,,,,,
,,,,1377,,,,,
,,,,1457,,,,,
,,,,1530,,,,,
,,,,1617,,,,,
,,,,1716,,,,,
,,,,1810,,,,,
,,,,1865,,,,,
,,,,1944,,,,,
10.0,3.2448692,-0.7474869,5.774773195070406,2001,5.625366528114234,5.8,-3.2448693305198875,0,5.818851090909091
,,,,2027,,,,,
,,,,2120,,,,,
,,,,2191,,,,,
,,,,2307,,,,,
,,,,2434,,,,,
,,,,2536,,,,,
,,,,2613,,,,,
,,,,2766,,,,,
,,,,2859,,,,,
,,,,2923,,,,,
,,,,2999,,,,,
10.0,3.2511663,-0.7470241,5.812781346534329,3001,5.637689818435459,5.8,-3.2511664443839066,0,5.831727181818182
,,,,3066,,,,,
,,,,3119,,,,,
,,,,3254,,,,,
,,,,3304,,,,,
,,,,3418,,,,,
,,,,3520,,,,,
,,,,3621,,,,,
,,,,3730,,,,,
,,,,3853,,,,,
,,,,3927,,,,,
10.0,3.2398016,-0.7459923,5.782593940496911,4001,5.618057896546796,5.8,-3.2398014344713277,0,5.811258272727272
,,,,4019,,,,,
,,,,4118,,,,,
,,,,4209,,,,,
,,,,4311,,,,,
,,,,4383,,,,,
,,,,4459,,,,,
,,,,4532,,,,,
,,,,4621,,,,,
,,,,4695,,,,,
,,,,4760,,,,,
,,,,4869,,,,,
,,,,4954,,,,,
10.0,3.2419724,-0.7459665,5.81224444716824,5001,5.61974710147793,5.8,-3.2419725427012906,0,5.813150272727273
,,,,5030,,,,,
,,,,5160,,,,,
,,,,5229,,,,,
,,,,5316,,,,,
,,,,5377,,,,,
,,,,5460,,,,,
,,,,5535,,,,,
,,,,5604,,,,,
,,,,5681,,,,,
,,,,5743,,,,,
,,,,5798,,,,,
,,,,5889,,,,,
,,,,5951,,,,,
10.0,3.2531815,-0.74762875,5.8775245233223234,6001,5.639909412450934,5.8,-3.253181749031278,0,5.834065636363636
,,,,6020,,,,,
,,,,6092,,,,,
,,,,6173,,,,,
,,,,6269,,,,,
,,,,6362,,,,,
,,,,6467,,,,,
,,,,6531,,,,,
,,,,6593,,,,,
,,,,6644,,,,,
,,,,6722,,,,,
,,,,6858,,,,,
,,,,6942,,,,,
10.0,3.2528627,-0.74559426,5.827146612609077,7001,5.641146409201654,5.8,-3.25286267297159,0,5.83546190909091
,,,,7056,,,,,
,,,,7137,,,,,
,,,,7222,,,,,
,,,,7321,,,,,
,,,,7425,,,,,
,,,,7517,,,,,
,,,,7585,,,,,
,,,,7673,,,,,
,,,,7775,,,,,
,,,,7843,,,,,
,,,,7950,,,,,
10.0,3.2412238,-0.7459574,5.863926419459438,8001,5.620772839047657,5.8,-3.241223896870935,0,5.814091636363636
,,,,8034,,,,,
,,,,8113,,,,,
,,,,8200,,,,,
,,,,8262,,,,,
,,,,8349,,,,,
,,,,8439,,,,,
,,,,8506,,,,,
,,,,8592,,,,,
,,,,8683,,,,,
,,,,8754,,,,,
,,,,8838,,,,,
,,,,8984,,,,,
10.0,3.2506826,-0.7474321,5.841558452434484,9001,5.636064447480353,5.8,-3.2506827499618423,0,5.830028818181819
,,,,9053,,,,,
,,,,9174,,,,,
,,,,9246,,,,,
,,,,9327,,,,,
,,,,9384,,,,,
,,,,9477,,,,,
,,,,9537,,,,,
,,,,9589,,,,,
,,,,9700,,,,,
,,,,9784,,,,,
,,,,9857,,,,,
,,,,9928,,,,,
,,,,9996,,,,,
10.0,3.2489355,-0.746358,5.818477694198729,10001,5.632779673609838,5.8,-3.248935400025361,0,5.826709545454546
,,,,10106,,,,,
,,,,10182,,,,,
,,,,10255,,,,,
,,,,10323,,,,,
,,,,10422,,,,,
,,,,10588,,,,,
,,,,10671,,,,,
,,,,10739,,,,,
,,,,10827,,,,,
,,,,10933,,,,,
10.0,3.2498543,-0.7455318,5.845816836123778,11001,5.6358126870041065,5.8,-3.249854238523612,0,5.8298869090909085
,,,,11025,,,,,
,,,,11115,,,,,
,,,,11214,,,,,
,,,,11294,,,,,
,,,,11397,,,,,
,,,,11466,,,,,
,,,,11540,,,,,
,,,,11626,,,,,
,,,,11712,,,,,
,,,,11812,,,,,
,,,,11941,,,,,
10.0,3.2462869,-0.74695647,5.833494520108,12001,5.630114960146709,5.8,-3.2462871954438053,0,5.823747090909092
,,,,12004,,,,,
,,,,12086,,,,,
,,,,12190,,,,,
,,,,12334,,,,,
,,,,12422,,,,,
,,,,12592,,,,,
,,,,12658,,,,,
,,,,12731,,,,,
