#{"t_start": 1641800529.7123766, "env_id": "Hopper-v2"}
r,l,t
14.1066,17,17.337701
7.895726,11,17.36418
32.535754,29,17.423978
8.399471,11,17.453458
20.874316,22,17.500307
6.548493,9,17.523881
24.077974,32,17.893118
9.571115,11,17.922215
22.732671,25,17.975021
5.923496,10,18.00047
11.146076,14,18.030731
13.261114,16,18.095698
47.922636,34,18.166701
12.902463,14,18.2021
9.000647,33,18.271019
11.124349,13,18.344975
4.662538,13,18.375178
63.968511,55,18.485716
10.684536,12,18.521602
23.26091,25,18.622782
36.74924,33,18.695034
17.09895,17,18.736611
13.977379,22,18.78365
11.957932,20,18.828666
14.670245,16,18.927121
23.969015,22,18.974518
16.516855,16,19.011257
11.559836,14,19.042701
13.954496,16,19.078299
14.525325,27,19.208211
8.99803,12,19.239466
15.293341,18,19.27839
12.3119,18,19.319125
25.178431,35,19.392043
9.672022,15,19.515452
14.364222,22,19.562799
8.098935,22,19.611231
6.861735,15,19.647223
8.158192,11,19.673338
16.04211,21,19.718117
8.876914,12,19.845904
12.175611,19,19.886548
9.798741,15,19.921337
9.43891,15,19.955198
8.29365,16,19.990551
71.703243,73,20.247421
11.322555,13,20.289645
15.244435,31,20.354628
13.955947,29,20.790193
9.580212,11,20.819287
98.528641,73,21.08818
7.243382,10,21.124648
51.119235,41,21.208439
15.131016,35,21.287455
34.66603,35,21.499171
21.675912,22,21.552755
11.463666,13,21.585701
18.61782,23,21.636613
12.134559,19,21.823627
9.368161,15,21.858517
7.634423,11,21.884217
8.970149,14,21.914477
13.672216,20,21.956846
7.966306,15,21.990597
31.388897,25,22.202641
28.509995,29,22.265212
16.644363,26,22.323589
13.328165,17,22.363374
12.972516,20,22.407424
8.325991,12,22.606485
8.604011,23,22.654618
49.333267,37,22.7317
17.015343,19,22.77738
14.44317,14,22.80981
12.815362,21,23.036441
22.922344,24,23.088921
21.928036,21,23.136078
19.166358,20,23.180081
32.148443,47,23.469293
7.339191,32,23.542822
14.5248,18,23.585598
18.715436,19,23.827168
8.101192,13,23.857517
9.269348,12,23.884727
