eval mean 100 episode reward,eval_time_elapsed,eval_qs,eval_ep_rewmean,eval_returns,eval_discount_q,eval_eplenmean,total timesteps,eval_qs_difference,eval_abs_qs_difference
5.3,0,-2.2488432,5.2513489090909085,5.1815929857579315,5.105270482647348,8.272727272727273,1,-4.6323767071977295,4.6323767
,,,,,,,68,,
,,,,,,,142,,
,,,,,,,207,,
,,,,,,,301,,
,,,,,,,406,,
,,,,,,,498,,
,,,,,,,566,,
,,,,,,,639,,
,,,,,,,729,,
,,,,,,,798,,
,,,,,,,859,,
,,,,,,,992,,
5.3,0,-2.2515733,5.290013272727273,5.380505593402617,5.140876213808362,8.454545454545455,1001,-4.625066064161278,4.6250663
,,,,,,,1115,,
,,,,,,,1248,,
,,,,,,,1318,,
,,,,,,,1378,,
,,,,,,,1475,,
,,,,,,,1567,,
,,,,,,,1645,,
,,,,,,,1765,,
,,,,,,,1827,,
,,,,,,,1920,,
5.3,0,-2.2522092,5.295798363636363,5.372848180244123,5.145603936879884,8.545454545454545,2001,-4.613170643692808,4.6131706
,,,,,,,2018,,
,,,,,,,2102,,
,,,,,,,2196,,
,,,,,,,2290,,
,,,,,,,2384,,
,,,,,,,2443,,
,,,,,,,2529,,
,,,,,,,2645,,
,,,,,,,2710,,
,,,,,,,2796,,
,,,,,,,2910,,
,,,,,,,2982,,
5.3,0,-2.251815,5.278455181818182,5.1534465941488685,5.12967596849957,8.454545454545455,3001,-4.619399690124178,4.6193995
,,,,,,,3054,,
,,,,,,,3122,,
,,,,,,,3178,,
,,,,,,,3266,,
,,,,,,,3379,,
,,,,,,,3481,,
,,,,,,,3543,,
,,,,,,,3602,,
,,,,,,,3697,,
,,,,,,,3804,,
,,,,,,,3907,,
,,,,,,,3964,,
5.3,0,-2.2511494,5.283190636363637,5.163209302592291,5.1342340839152065,8.454545454545455,4001,-4.621266222095056,4.621266
,,,,,,,4061,,
,,,,,,,4179,,
,,,,,,,4270,,
,,,,,,,4328,,
,,,,,,,4438,,
,,,,,,,4496,,
,,,,,,,4560,,
,,,,,,,4626,,
,,,,,,,4676,,
,,,,,,,4733,,
,,,,,,,4834,,
,,,,,,,4928,,
5.3,0,-2.2529273,5.297090090909091,5.198364683396982,5.146814919888683,8.545454545454545,5001,-4.615086240733485,4.615086
,,,,,,,5018,,
,,,,,,,5091,,
,,,,,,,5183,,
,,,,,,,5338,,
,,,,,,,5430,,
,,,,,,,5528,,
,,,,,,,5646,,
,,,,,,,5722,,
,,,,,,,5799,,
,,,,,,,5867,,
,,,,,,,5936,,
5.3,0,-2.251729,5.284094545454545,5.175122292744464,5.1351461963569305,8.454545454545455,6001,-4.621853546235089,4.6218534
,,,,,,,6027,,
,,,,,,,6125,,
,,,,,,,6211,,
,,,,,,,6291,,
,,,,,,,6350,,
,,,,,,,6485,,
,,,,,,,6543,,
,,,,,,,6633,,
,,,,,,,6712,,
,,,,,,,6789,,
,,,,,,,6883,,
,,,,,,,6949,,
5.3,0,-2.2520547,5.281386181818181,5.2127038090862365,5.13242043911842,8.454545454545455,7001,-4.6217127502769095,4.6217127
,,,,,,,7020,,
,,,,,,,7108,,
,,,,,,,7166,,
,,,,,,,7232,,
,,,,,,,7319,,
,,,,,,,7399,,
,,,,,,,7459,,
,,,,,,,7557,,
,,,,,,,7635,,
,,,,,,,7722,,
,,,,,,,7800,,
,,,,,,,7892,,
,,,,,,,7990,,
5.3,0,-2.249502,5.245681363636364,5.1611263062392565,5.099817056004592,8.272727272727273,8001,-4.629618235865258,4.6296186
,,,,,,,8097,,
,,,,,,,8164,,
,,,,,,,8274,,
,,,,,,,8344,,
,,,,,,,8452,,
,,,,,,,8544,,
,,,,,,,8649,,
,,,,,,,8753,,
,,,,,,,8830,,
,,,,,,,8905,,
,,,,,,,8996,,
5.3,0,-2.251311,5.285858090909091,5.41408224470733,5.136867509310192,8.454545454545455,9001,-4.6226801341964565,4.62268
,,,,,,,9062,,
,,,,,,,9139,,
,,,,,,,9276,,
,,,,,,,9356,,
,,,,,,,9454,,
,,,,,,,9572,,
,,,,,,,9651,,
,,,,,,,9711,,
,,,,,,,9901,,
5.3,0,-2.2536,5.319064818181818,5.420681669632726,5.167142504008901,8.636363636363637,10001,-4.612217050959303,4.6122174
,,,,,,,10008,,
,,,,,,,10074,,
,,,,,,,10170,,
,,,,,,,10250,,
,,,,,,,10323,,
,,,,,,,10448,,
,,,,,,,10542,,
,,,,,,,10619,,
,,,,,,,10720,,
,,,,,,,10827,,
,,,,,,,10900,,
,,,,,,,10975,,
5.3,0,-2.2522454,5.286399181818182,5.141914973839731,5.136468189437735,8.545454545454545,11001,-4.608823419745562,4.6088233
,,,,,,,11097,,
,,,,,,,11193,,
,,,,,,,11330,,
,,,,,,,11408,,
,,,,,,,11493,,
,,,,,,,11559,,
,,,,,,,11689,,
,,,,,,,11747,,
,,,,,,,11813,,
,,,,,,,11892,,
,,,,,,,11998,,
5.3,0,-2.25271,5.312371636363636,5.441370170085245,5.161555943679943,8.545454545454545,12001,-4.622956453825626,4.6229568
,,,,,,,12099,,
,,,,,,,12196,,
,,,,,,,12316,,
,,,,,,,12422,,
,,,,,,,12507,,
,,,,,,,12613,,
,,,,,,,12703,,
,,,,,,,12854,,
,,,,,,,12974,,
5.3,0,-2.251827,5.289347454545455,5.436136866291133,5.140156480333906,8.454545454545455,13001,-4.625333856775588,4.625334
,,,,,,,13046,,
,,,,,,,13111,,
,,,,,,,13220,,
,,,,,,,13282,,
,,,,,,,13359,,
,,,,,,,13432,,
,,,,,,,13497,,
,,,,,,,13562,,
,,,,,,,13642,,
,,,,,,,13827,,
,,,,,,,13889,,
,,,,,,,13956,,
5.3,0,-2.2523408,5.293961454545454,5.125847368269051,5.143778086895961,8.545454545454545,14001,-4.612642658312538,4.612643
,,,,,,,14059,,
,,,,,,,14144,,
,,,,,,,14214,,
,,,,,,,14291,,
,,,,,,,14363,,
,,,,,,,14446,,
,,,,,,,14503,,
,,,,,,,14569,,
,,,,,,,14622,,
,,,,,,,14732,,
,,,,,,,14807,,
,,,,,,,14906,,
,,,,,,,14991,,
5.3,0,-2.2529128,5.300925272727273,5.407614142976697,5.150509451355372,8.545454545454545,15001,-4.617235884740004,4.6172357
,,,,,,,15087,,
,,,,,,,15160,,
,,,,,,,15237,,
