eval_qs_difference,eval_abs_qs_difference,eval mean 100 episode reward,total timesteps,eval_returns,eval_discount_q,eval_qs,eval_time_elapsed,eval_ep_rewmean,eval_eplenmean
-24.361058028178324,24.361055,44.0,1,46.9432700949631,37.78437178735087,-1.1740168,0,44.270728272727276,29.545454545454547
,,,104,,,,,,
,,,239,,,,,,
,,,301,,,,,,
,,,398,,,,,,
,,,492,,,,,,
,,,581,,,,,,
,,,687,,,,,,
,,,776,,,,,,
,,,846,,,,,,
,,,924,,,,,,
,,,988,,,,,,
-24.88152397507921,24.881525,44.9,1001,43.19186081199092,38.642468598604005,-1.1677662,0,45.40077709090909,30.09090909090909
,,,1051,,,,,,
,,,1165,,,,,,
,,,1264,,,,,,
,,,1360,,,,,,
,,,1443,,,,,,
,,,1541,,,,,,
,,,1608,,,,,,
,,,1704,,,,,,
,,,1797,,,,,,
,,,1876,,,,,,
,,,1983,,,,,,
-24.045534055828544,24.045534,44.4,2001,45.020832075218465,37.22548927637974,-1.1824912,0,43.550355909090904,29.181818181818183
,,,2091,,,,,,
,,,2168,,,,,,
,,,2235,,,,,,
,,,2332,,,,,,
,,,2414,,,,,,
,,,2489,,,,,,
,,,2554,,,,,,
,,,2631,,,,,,
,,,2729,,,,,,
,,,2857,,,,,,
,,,2968,,,,,,
-24.334029555951375,24.334028,44.3,3001,49.27665151774597,37.77877635741378,-1.172093,0,44.262046,29.545454545454547
,,,3052,,,,,,
,,,3164,,,,,,
,,,3247,,,,,,
,,,3333,,,,,,
,,,3401,,,,,,
,,,3496,,,,,,
,,,3568,,,,,,
,,,3660,,,,,,
,,,3755,,,,,,
,,,3813,,,,,,
,,,3894,,,,,,
,,,3974,,,,,,
-24.15063855297026,24.15064,44.2,4001,47.551226101587346,37.4465709706331,-1.1764356,0,43.81445872727273,29.272727272727273
,,,4069,,,,,,
,,,4155,,,,,,
,,,4289,,,,,,
,,,4347,,,,,,
,,,4430,,,,,,
,,,4528,,,,,,
,,,4656,,,,,,
,,,4741,,,,,,
,,,4814,,,,,,
,,,4894,,,,,,
,,,4958,,,,,,
-25.33660135464459,25.336601,44.6,5001,45.477313109185104,39.43288700199246,-1.161859,0,46.42865581818182,30.545454545454547
,,,5048,,,,,,
,,,5177,,,,,,
,,,5271,,,,,,
,,,5367,,,,,,
,,,5412,,,,,,
,,,5488,,,,,,
,,,5570,,,,,,
,,,5641,,,,,,
,,,5767,,,,,,
,,,5851,,,,,,
,,,5918,,,,,,
-24.45199182782878,24.451994,44.6,6001,47.141087070051704,38.00533192690238,-1.1682429,0,44.53248636363635,29.636363636363637
,,,6009,,,,,,
,,,6103,,,,,,
,,,6183,,,,,,
,,,6299,,,,,,
,,,6431,,,,,,
,,,6487,,,,,,
,,,6561,,,,,,
,,,6644,,,,,,
,,,6703,,,,,,
,,,6814,,,,,,
,,,6893,,,,,,
,,,6982,,,,,,
-24.435985537815125,24.435986,44.6,7001,45.13863011603648,37.949737932409,-1.1687351,0,44.478167727272734,29.636363636363637
,,,7099,,,,,,
,,,7173,,,,,,
,,,7255,,,,,,
,,,7385,,,,,,
,,,7483,,,,,,
,,,7562,,,,,,
,,,7677,,,,,,
,,,7753,,,,,,
,,,7848,,,,,,
,,,7908,,,,,,
,,,7985,,,,,,
-24.555353539144093,24.555353,44.6,8001,41.370246174746796,38.120780193592395,-1.1768657,0,44.71708145454546,29.727272727272727
,,,8103,,,,,,
,,,8228,,,,,,
,,,8319,,,,,,
,,,8435,,,,,,
,,,8545,,,,,,
,,,8634,,,,,,
,,,8729,,,,,,
,,,8820,,,,,,
,,,8921,,,,,,
-24.059582080630296,24.059582,44.5,9001,41.55079626210404,37.24789485090996,-1.1777345,0,43.57234081818182,29.181818181818183
,,,9031,,,,,,
,,,9100,,,,,,
,,,9159,,,,,,
,,,9220,,,,,,
,,,9279,,,,,,
,,,9399,,,,,,
,,,9486,,,,,,
,,,9540,,,,,,
,,,9623,,,,,,
,,,9719,,,,,,
,,,9803,,,,,,
,,,9885,,,,,,
,,,9944,,,,,,
-24.635835759548993,24.635836,44.5,10001,45.32376576344386,38.28588073594846,-1.1688002,0,44.911607,29.818181818181817
,,,10004,,,,,,
,,,10092,,,,,,
,,,10235,,,,,,
,,,10322,,,,,,
,,,10452,,,,,,
,,,10553,,,,,,
,,,10735,,,,,,
,,,10831,,,,,,
,,,10922,,,,,,
-24.86097940592595,24.86098,44.6,11001,44.98208536819815,38.657719487939595,-1.1643893,0,45.405801545454544,30.09090909090909
,,,11013,,,,,,
,,,11090,,,,,,
,,,11211,,,,,,
,,,11284,,,,,,
,,,11344,,,,,,
,,,11462,,,,,,
,,,11542,,,,,,
,,,11621,,,,,,
,,,11694,,,,,,
,,,11827,,,,,,
,,,11893,,,,,,
-24.717334518994996,24.717335,44.8,12001,47.078406421553034,38.40401967700057,-1.169415,0,45.07736045454546,29.90909090909091
,,,12048,,,,,,
,,,12172,,,,,,
,,,12295,,,,,,
,,,12347,,,,,,
,,,12474,,,,,,
,,,12551,,,,,,
,,,12643,,,,,,
,,,12739,,,,,,
,,,12804,,,,,,
,,,12910,,,,,,
,,,12995,,,,,,
-23.847255940192895,23.847258,44.7,13001,41.37545486129799,36.93950290576249,-1.1769761,0,43.154385727272725,29.0
,,,13063,,,,,,
,,,13144,,,,,,
,,,13275,,,,,,
,,,13368,,,,,,
,,,13463,,,,,,
,,,13583,,,,,,
,,,13654,,,,,,
,,,13736,,,,,,
,,,13805,,,,,,
,,,13911,,,,,,
,,,13975,,,,,,
-24.51035202096447,24.510351,44.5,14001,46.915228613095444,38.02807431055275,-1.1733224,0,44.60484318181818,29.727272727272727
,,,14074,,,,,,
,,,14227,,,,,,
,,,14280,,,,,,
,,,14365,,,,,,
,,,14483,,,,,,
,,,14678,,,,,,
,,,14742,,,,,,
,,,14801,,,,,,
,,,14871,,,,,,
,,,14934,,,,,,
-24.561269300015205,24.561272,44.5,15001,47.27273337538787,38.14759857533351,-1.168708,0,44.74793827272728,29.818181818181817
,,,15083,,,,,,
,,,15154,,,,,,
,,,15238,,,,,,
,,,15304,,,,,,
,,,15384,,,,,,
,,,15475,,,,,,
,,,15600,,,,,,
,,,15662,,,,,,
,,,15805,,,,,,
,,,15905,,,,,,
,,,15971,,,,,,
-24.79905840948262,24.799059,44.6,16001,45.06629681133666,38.54790694146818,-1.1661077,0,45.26387172727272,30.0
,,,16105,,,,,,
,,,16176,,,,,,
,,,16262,,,,,,
,,,16313,,,,,,
,,,16448,,,,,,
,,,16547,,,,,,
,,,16610,,,,,,
,,,16660,,,,,,
,,,16759,,,,,,
,,,16842,,,,,,
,,,16955,,,,,,
-24.702020476769345,24.70202,44.6,17001,42.987289527564165,38.41895363575722,-1.1666055,0,45.087900090909095,29.90909090909091
,,,17106,,,,,,
,,,17193,,,,,,
,,,17280,,,,,,
,,,17356,,,,,,
,,,17506,,,,,,
,,,17638,,,,,,
,,,17701,,,,,,
,,,17760,,,,,,
,,,17826,,,,,,
,,,17889,,,,,,
,,,17958,,,,,,
-24.438293177219347,24.438293,44.8,18001,41.40444154718075,37.91895087425839,-1.1732194,0,44.42598263636364,29.545454545454547
,,,18035,,,,,,
,,,18121,,,,,,
,,,18236,,,,,,
,,,18355,,,,,,
,,,18443,,,,,,
,,,18508,,,,,,
,,,18599,,,,,,
,,,18680,,,,,,
,,,18806,,,,,,
,,,18905,,,,,,
,,,18990,,,,,,
-24.487785865917076,24.487785,44.7,19001,41.32315848599495,37.97924140481197,-1.1752238,0,44.521768,29.636363636363637
,,,19045,,,,,,
,,,19134,,,,,,
,,,19207,,,,,,
,,,19328,,,,,,
,,,19489,,,,,,
,,,19588,,,,,,
,,,19704,,,,,,
,,,19785,,,,,,
,,,19907,,,,,,
,,,19975,,,,,,
-24.110553053907122,24.110554,44.5,20001,46.995820480928614,37.39111877282001,-1.1695827,0,43.76220354545454,29.363636363636363
,,,20029,,,,,,
,,,20204,,,,,,
,,,20253,,,,,,
,,,20478,,,,,,
,,,20539,,,,,,
,,,20615,,,,,,
,,,20676,,,,,,
,,,20804,,,,,,
,,,20900,,,,,,
-23.819609334674457,23.81961,44.4,21001,41.162199094883775,36.89720088193709,-1.1749623,0,43.078729,28.90909090909091
,,,21001,,,,,,
,,,21087,,,,,,
,,,21188,,,,,,
,,,21247,,,,,,
,,,21341,,,,,,
,,,21492,,,,,,
,,,21561,,,,,,
,,,21653,,,,,,
,,,21755,,,,,,
,,,21858,,,,,,
,,,21934,,,,,,
-24.171490195233535,24.17149,44.4,22001,44.767971249935975,37.546531544057935,-1.1701969,0,43.94487818181819,29.363636363636363
,,,22024,,,,,,
,,,22112,,,,,,
,,,22176,,,,,,
,,,22296,,,,,,
,,,22374,,,,,,
,,,22487,,,,,,
,,,22540,,,,,,
,,,22624,,,,,,
,,,22723,,,,,,
,,,22812,,,,,,
,,,22904,,,,,,
,,,22986,,,,,,
-24.206558662946158,24.20656,44.4,23001,43.14577978120504,37.569929434908644,-1.1722054,0,43.97299581818182,29.363636363636363
,,,23104,,,,,,
,,,23204,,,,,,
,,,23279,,,,,,
,,,23467,,,,,,
,,,23559,,,,,,
,,,23694,,,,,,
,,,23769,,,,,,
,,,23848,,,,,,
,,,23930,,,,,,
