eval_qs_difference,eval_qs,total timesteps,eval_discount_q,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_returns,eval mean 100 episode reward,eval_time_elapsed
-3.1942208463162705,-2.5418842,1,4.243009503625961,13.0,3.1942208,4.285383090909091,4.141223504601431,4.3,0
,,107,,,,,,,
,,177,,,,,,,
,,243,,,,,,,
,,325,,,,,,,
,,460,,,,,,,
,,515,,,,,,,
,,580,,,,,,,
,,683,,,,,,,
,,781,,,,,,,
,,840,,,,,,,
,,908,,,,,,,
,,972,,,,,,,
-3.1754126747087055,-2.5428405,1001,4.2137421047375145,13.0,3.175413,4.253839,4.06780262107031,4.3,0
,,1053,,,,,,,
,,1143,,,,,,,
,,1208,,,,,,,
,,1286,,,,,,,
,,1384,,,,,,,
,,1462,,,,,,,
,,1534,,,,,,,
,,1607,,,,,,,
,,1670,,,,,,,
,,1752,,,,,,,
,,1856,,,,,,,
,,1935,,,,,,,
-3.172607321137764,-2.540648,2001,4.210487557633072,13.0,3.1726072,4.250537363636363,4.4073021691750505,4.3,0
,,2031,,,,,,,
,,2099,,,,,,,
,,2178,,,,,,,
,,2257,,,,,,,
,,2325,,,,,,,
,,2431,,,,,,,
,,2506,,,,,,,
,,2576,,,,,,,
,,2671,,,,,,,
,,2768,,,,,,,
,,2861,,,,,,,
,,2935,,,,,,,
-3.1989991930113773,-2.5395355,3001,4.250185114525008,13.0,3.1989992,4.293413636363636,4.361220943550244,4.3,0
,,3010,,,,,,,
,,3075,,,,,,,
,,3184,,,,,,,
,,3284,,,,,,,
,,3424,,,,,,,
,,3495,,,,,,,
,,3580,,,,,,,
,,3664,,,,,,,
,,3762,,,,,,,
,,3885,,,,,,,
,,3943,,,,,,,
-3.209132440300006,-2.5399575,4001,4.264809555646537,13.0,3.2091324,4.30915409090909,4.3145154232321605,4.3,0
,,4061,,,,,,,
,,4157,,,,,,,
,,4248,,,,,,,
,,4337,,,,,,,
,,4408,,,,,,,
,,4507,,,,,,,
,,4573,,,,,,,
,,4666,,,,,,,
,,4749,,,,,,,
