eval_ep_rewmean,eval_eplenmean,eval_discount_q,eval_abs_qs_difference,eval_qs,total timesteps,eval_time_elapsed,eval_qs_difference,eval_returns,eval mean 100 episode reward
0.8298144545454544,20.90909090909091,1.5325588879513474,3.2636535,-0.24507217,1,0,3.041733233384821,1.0176480893507767,0.8
,,,,,93,,,,
,,,,,207,,,,
,,,,,262,,,,
,,,,,350,,,,
,,,,,456,,,,
,,,,,548,,,,
,,,,,631,,,,
,,,,,739,,,,
,,,,,837,,,,
,,,,,981,,,,
0.8186858181818182,20.818181818181817,1.5184952701256542,3.2596786,-0.24770969,1001,0,3.0376357373336913,0.3990976584658372,0.8
,,,,,1047,,,,
,,,,,1118,,,,
,,,,,1182,,,,
,,,,,1270,,,,
,,,,,1343,,,,
,,,,,1417,,,,
,,,,,1478,,,,
,,,,,1569,,,,
,,,,,1629,,,,
,,,,,1685,,,,
,,,,,1782,,,,
,,,,,1874,,,,
,,,,,1966,,,,
0.7758222727272727,21.0,1.493293063231956,3.3152847,-0.24972153,2001,0,3.0956966951753624,0.8435539000825361,0.8
,,,,,2033,,,,
,,,,,2139,,,,
,,,,,2222,,,,
,,,,,2299,,,,
,,,,,2422,,,,
,,,,,2521,,,,
,,,,,2606,,,,
,,,,,2663,,,,
,,,,,2745,,,,
,,,,,2810,,,,
,,,,,2889,,,,
0.709750181818182,21.0,1.4288546828710655,3.3103635,-0.25418353,3001,0,3.102082540890676,0.7306028485988943,0.8
,,,,,3047,,,,
,,,,,3125,,,,
,,,,,3210,,,,
,,,,,3296,,,,
,,,,,3427,,,,
,,,,,3500,,,,
,,,,,3596,,,,
,,,,,3680,,,,
,,,,,3788,,,,
,,,,,3866,,,,
,,,,,3960,,,,
0.9156952727272728,21.0,1.618405406084812,3.2625468,-0.24758844,4001,0,3.0215831448491888,1.216527507700823,0.8
,,,,,4016,,,,
,,,,,4173,,,,
,,,,,4278,,,,
,,,,,4419,,,,
,,,,,4493,,,,
,,,,,4554,,,,
,,,,,4622,,,,
,,,,,4708,,,,
,,,,,4819,,,,
,,,,,4877,,,,
,,,,,4992,,,,
0.9027791818181818,20.90909090909091,1.5972241481322293,3.232639,-0.25682303,5001,0,2.98649732287604,0.6374773576448904,0.8
,,,,,5076,,,,
,,,,,5160,,,,
,,,,,5241,,,,
,,,,,5343,,,,
,,,,,5400,,,,
,,,,,5480,,,,
,,,,,5568,,,,
,,,,,5641,,,,
,,,,,5718,,,,
,,,,,5793,,,,
,,,,,5867,,,,
,,,,,5957,,,,
0.8371535454545455,20.90909090909091,1.5373187062852083,3.2504961,-0.25064155,6001,0,3.022747939165481,1.1651416212464145,0.8
,,,,,6014,,,,
,,,,,6141,,,,
,,,,,6235,,,,
,,,,,6310,,,,
,,,,,6449,,,,
,,,,,6519,,,,
,,,,,6589,,,,
,,,,,6659,,,,
,,,,,6764,,,,
,,,,,6870,,,,
,,,,,6999,,,,
0.8591610000000002,21.0,1.5624314514835667,3.2562964,-0.256065,7001,0,3.0184400929918636,0.9248886021175139,0.8
,,,,,7085,,,,
,,,,,7148,,,,
,,,,,7280,,,,
,,,,,7382,,,,
,,,,,7447,,,,
,,,,,7537,,,,
,,,,,7606,,,,
,,,,,7684,,,,
,,,,,7818,,,,
,,,,,7896,,,,
0.8228537272727272,21.0,1.5322707214708684,3.2813375,-0.25458434,8001,0,3.050626181878428,1.079364930832238,0.8
,,,,,8008,,,,
,,,,,8110,,,,
,,,,,8204,,,,
,,,,,8312,,,,
,,,,,8425,,,,
,,,,,8522,,,,
,,,,,8583,,,,
,,,,,8642,,,,
,,,,,8714,,,,
,,,,,8793,,,,
,,,,,8872,,,,
,,,,,8957,,,,
0.9454821818181819,20.90909090909091,1.6381317138257443,3.23116,-0.25309607,9001,0,2.980129340915831,1.1225691595706195,0.8
,,,,,9024,,,,
,,,,,9133,,,,
,,,,,9197,,,,
,,,,,9296,,,,
,,,,,9376,,,,
,,,,,9453,,,,
,,,,,9515,,,,
,,,,,9607,,,,
,,,,,9675,,,,
,,,,,9735,,,,
,,,,,9801,,,,
,,,,,9874,,,,
,,,,,9969,,,,
0.8845008181818182,20.90909090909091,1.5809722654517537,3.2414184,-0.25160933,10001,0,3.002763614481978,0.883925814027378,0.8
,,,,,10065,,,,
,,,,,10150,,,,
,,,,,10235,,,,
,,,,,10351,,,,
,,,,,10444,,,,
,,,,,10595,,,,
,,,,,10685,,,,
,,,,,10818,,,,
,,,,,10888,,,,
,,,,,10960,,,,
0.8285977272727273,21.0,1.533921620698756,3.2616255,-0.25632218,11001,0,3.029320252589183,0.35836796469634247,0.9
,,,,,11011,,,,
,,,,,11074,,,,
,,,,,11173,,,,
,,,,,11269,,,,
,,,,,11371,,,,
,,,,,11436,,,,
,,,,,11528,,,,
,,,,,11656,,,,
,,,,,11745,,,,
,,,,,11832,,,,
,,,,,11893,,,,
,,,,,11958,,,,
0.8475416363636363,21.0,1.5535647166720212,3.267111,-0.25712052,12001,0,3.0309144046505954,0.564754625556623,0.9
,,,,,12052,,,,
,,,,,12119,,,,
,,,,,12248,,,,
,,,,,12337,,,,
,,,,,12421,,,,
,,,,,12544,,,,
,,,,,12616,,,,
,,,,,12763,,,,
,,,,,12918,,,,
0.9114159999999999,20.90909090909091,1.6063671971526394,3.2391489,-0.25289056,13001,0,2.992162894703988,1.0259614164024127,0.9
,,,,,13006,,,,
,,,,,13060,,,,
,,,,,13163,,,,
,,,,,13244,,,,
,,,,,13330,,,,
,,,,,13396,,,,
,,,,,13463,,,,
,,,,,13507,,,,
,,,,,13624,,,,
,,,,,13723,,,,
,,,,,13810,,,,
,,,,,13872,,,,
,,,,,13937,,,,
0.8053884545454545,21.0,1.5153622832498685,3.2791047,-0.25931495,14001,0,3.049352487526141,0.5051132910927792,0.9
,,,,,14016,,,,
,,,,,14086,,,,
,,,,,14148,,,,
,,,,,14223,,,,
,,,,,14316,,,,
,,,,,14378,,,,
,,,,,14500,,,,
,,,,,14606,,,,
,,,,,14657,,,,
,,,,,14745,,,,
,,,,,14833,,,,
