eval_abs_qs_difference,eval_ep_rewmean,eval_returns,eval mean 100 episode reward,eval_eplenmean,eval_discount_q,eval_qs_difference,total timesteps,eval_qs,eval_time_elapsed
26.86635,-280.73178454545456,-490.2647581080967,-259.8,745.8181818181819,-40.104001865837496,26.75496113445199,1,-0.7519947,24
,,,,,,,413,,
,,,,,,,830,,
23.230509,-247.3393561818182,-440.84512664934346,-255.6,740.7272727272727,-34.9744184827046,23.175230301487694,1001,-0.70555073,23
26.736296,-305.01420845454544,-13.685380138954912,-285.9,823.6363636363636,-55.067417561164845,26.569940503081636,2001,-0.65762657,26
,,,,,,,2961,,
29.223017,-327.2213859090909,-334.956339161111,-289.0,827.2727272727273,-45.82998899104371,28.939441311868936,3001,-0.7100301,26
29.058393,-332.8955243636364,-320.77810259480367,-298.2,914.0,-42.33246127927796,28.928619739016312,4001,-0.76377875,29
,,,,,,,4158,,
,,,,,,,4544,,
,,,,,,,4678,,
,,,,,,,4922,,
22.549923,-232.75859790909092,-15.20823794456828,-291.9,764.3636363636364,-44.36247854582256,21.763639174706515,5001,-0.71006006,24
,,,,,,,5498,,
,,,,,,,5838,,
22.419477,-213.5983171818182,-424.7619216322519,-275.1,824.6363636363636,-43.3472076792713,17.94922545111353,6001,-0.6842991,26
,,,,,,,6030,,
21.109932,-225.41167063636365,-531.7138358459422,-267.6,743.4545454545455,-38.936894336152754,20.78286757840647,7001,-0.6524434,23
,,,,,,,7355,,
,,,,,,,7757,,
,,,,,,,7974,,
32.692265,-379.60684609090913,-458.80032399933503,-280.9,1000.0,-51.59298829486377,32.21642183848954,8001,-0.6365569,31
,,,,,,,8187,,
26.775084,-311.68210945454547,-7.100833813947245,-293.5,824.8181818181819,-49.67454857660143,26.667354022758616,9001,-0.7096371,26
24.802605,-247.60293609090905,-121.51922476154809,-290.9,822.9090909090909,-55.70884339044537,24.77771908814225,10001,-0.5656626,26
,,,,,,,10406,,
22.364683,-239.44899427272728,-502.0700768057861,-274.6,833.1818181818181,-44.35061356501902,22.204491339105846,11001,-0.58830047,26
,,,,,,,11886,,
25.23761,-259.7083597272727,-458.7975844827279,-269.5,741.7272727272727,-34.85929830456032,24.241540343252428,12001,-0.71275574,23
,,,,,,,12148,,
18.570534,-180.69821645454547,-268.7488819812871,-256.3,739.5454545454545,-33.29843269063166,16.142412648325063,13001,-0.666489,23
,,,,,,,13306,,
,,,,,,,13586,,
25.196333,-256.21575645454544,-14.470478604212833,-256.6,785.4545454545455,-45.98206478471181,25.132394816462874,14001,-0.6331244,25
,,,,,,,14729,,
27.195875,-296.6351958181818,-452.8768576916659,-264.2,736.7272727272727,-40.90304660592349,26.724752422786104,15001,-0.8019825,23
29.452673,-311.5156770909091,-443.15265493073554,-276.2,753.1818181818181,-51.09412108310733,29.41178776826412,16001,-0.7858652,24
,,,,,,,16057,,
,,,,,,,16383,,
,,,,,,,16575,,
26.015816,-255.33211236363633,-12.432645290503926,-268.7,792.3636363636364,-43.90936641786327,24.202365870349084,17001,-0.6983809,25
25.554075,-231.28176045454546,-9.043524260726718,-255.0,766.2727272727273,-39.50934005564864,22.781385896116674,18001,-0.7709728,24
,,,,,,,18039,,
,,,,,,,18325,,
,,,,,,,18483,,
22.463291,-260.56853927272726,-478.61209873141274,-252.2,827.6363636363636,-49.62875360380249,22.43586552442982,19001,-0.62874514,26
,,,,,,,19997,,
23.67384,-220.50499772727272,-388.4464870143186,-252.9,693.9090909090909,-38.76748337006848,20.532422128493717,20001,-0.7256717,22
24.599878,-264.55750418181816,-445.0987590389074,-251.8,748.8181818181819,-38.82751388556324,24.311241134071466,21001,-0.7326923,23
,,,,,,,21150,,
28.471315,-256.1594019090909,-70.40989449993872,-262.0,858.2727272727273,-50.05974399950765,27.40777988450926,22001,-0.6197014,27
,,,,,,,22343,,
,,,,,,,22481,,
,,,,,,,22847,,
25.653078,-257.33417872727273,-161.88931974543394,-261.6,848.5454545454545,-46.53080700396306,23.691096832100516,23001,-0.6331594,27
,,,,,,,23098,,
,,,,,,,23388,,
20.335276,-213.17405727272728,-354.2008167216986,-254.3,742.0,-35.20864254905156,18.79474945760306,24001,-0.70246655,23
,,,,,,,24683,,
183.87836,-2057.0539361818182,-2053.006140096013,-426.2,1000.0,-205.01307596082344,183.87834967339575,25001,-1.5307496,31
,,,,,,,25883,,
21.660069,510.3278615454545,514.2794300459778,-363.7,1000.0,53.10741950654585,-20.072999536174482,26001,25.702154,32
19.26294,774.4635761818182,575.6231097239415,-257.2,1000.0,81.87733294571652,-13.655704880341403,27001,55.6848,32
15.253751,852.5493015454545,847.1272444569246,-137.9,1000.0,87.78343396297619,-6.528376091998758,28001,70.035995,31
12.825016,915.0349372727273,896.4923248581536,-17.6,1000.0,92.78867474952898,-1.285918717048539,29001,81.031494,32
,,,,,,,29883,,
11.767328,963.3916309090908,974.5500447919584,121.2,1000.0,98.4080727922079,1.958976483634124,30001,88.55574,32
10.118478,949.4457481818182,959.1719882813319,254.8,1000.0,95.0904987419501,5.408947258699538,31001,90.93957,31
17.166214,877.4178695454546,943.492637771676,376.6,1000.0,87.60781273021756,17.164571319482267,32001,96.233185,31
17.583082,894.1294689090907,869.3322064264322,498.8,1000.0,92.47710890044301,17.186732429482678,33001,97.44445,32
,,,,,,,33883,,
17.359575,927.1376217272726,938.7651749823066,792.5,1000.0,98.81208740002984,13.776131113618884,34001,96.7075,31
36.91222,689.698558,595.7498246949034,867.0,916.9090909090909,102.84730259598582,35.71679157180524,35001,99.14446,29
35.33778,758.5092587272727,838.2784010957884,865.9,1000.0,99.20274757890485,25.709228467958972,36001,91.73908,31
61.294834,662.3106563636364,1024.308220786571,846.9,1000.0,81.10436851925807,15.190509267708768,37001,73.39224,31
,,,,,,,37883,,
52.83182,675.8816688181819,978.1246974538392,822.4,846.4545454545455,91.29704192696953,17.64359740333257,38001,83.61479,26
85.11746,414.6873703636363,71.17766380633915,772.2,852.0909090909091,78.55482403358177,63.336762168140815,39001,104.22244,26
92.725426,453.7339048181818,-192.9421847876406,720.0,1000.0,90.59561903072289,29.670602567079207,40001,66.07502,31
65.73504,677.1430192727272,487.2401211886498,690.0,760.1818181818181,100.81919096989635,16.966293106921245,41001,86.00306,24
,,,,,,,41238,,
83.85653,559.0122145454544,1036.8201984552481,647.1,744.3636363636364,83.55616449308265,31.471349994119397,42001,85.76575,23
41.752445,827.5002766363637,1474.4017528696702,634.0,725.5454545454545,108.83984916669252,16.15021874048566,43001,108.12949,22
,,,,,,,43605,,
80.994705,582.8436011818181,355.094677552518,625.5,854.4545454545455,91.01202094902831,56.47942380075786,44001,112.87095,26
79.0381,589.2194542727274,177.45281051003974,612.2,878.7272727272727,127.54856231818363,71.1562888502834,45001,128.43788,27
98.91263,347.77544854545454,1001.1459612188123,573.8,939.5454545454545,91.1574913902098,96.5857017182799,46001,128.36407,29
,,,,,,,46651,,
50.240597,778.365467,1048.3706076718477,581.3,764.6363636363636,97.34908088025703,42.759048814455376,47001,118.1305,23
15.149876,942.9812889090911,938.1324376930829,634.4,1000.0,87.91848447667421,8.6300622711928,48001,94.224266,31
74.17773,510.3473463636364,1000.2369223620041,637.9,506.1818181818182,93.414397787882,73.3989676191613,49001,144.04428,15
89.672775,338.0529966363636,74.55602484162743,616.5,358.1818181818182,61.782764265079635,88.58950503839402,50001,137.02902,11
,,,,,,,50651,,
89.31427,372.31718718181816,939.527780996703,587.5,369.09090909090907,73.09315972934849,87.23119621106257,51001,140.61029,11
41.512905,839.9319121818181,255.6923096658923,606.2,743.9090909090909,122.46822757739305,39.15826999773745,52001,135.70078,22
,,,,,,,52877,,
50.222713,759.5238359090908,137.7261789647775,606.9,704.1818181818181,107.7546952277802,48.30185104282639,53001,128.85976,22
28.8851,1177.9095695454546,1570.6564394492125,660.7,955.6363636363636,127.51997849757453,26.56841475236462,54001,137.15019,29
,,,,,,,54615,,
25.79807,1185.9460967272728,1543.314536569353,746.8,879.8181818181819,145.83888498071053,21.35287769550735,55001,142.5716,26
28.88081,1387.376062181818,1283.7445162844497,833.4,871.5454545454545,166.67020804934361,22.981329283862344,56001,162.04315,26
,,,,,,,56253,,
81.371704,599.6598799090909,248.31009525223882,804.7,449.09090909090907,108.148655098589,80.55350248733781,57001,164.21461,14
52.866,1162.0060956363636,1534.3714311758322,857.3,776.5454545454545,141.47783863395057,51.03859619395851,58001,161.18208,24
,,,,,,,58429,,
46.234135,1354.1168354545453,1892.3050838021504,954.3,773.8181818181819,150.76735244960614,43.47478729829647,59001,185.28247,24
38.120132,1528.1096665454547,1161.8375523120314,1099.0,856.0,172.01290527615984,26.20511063793374,60001,175.95612,26
,,,,,,,60945,,
77.88529,813.2498556363636,182.50416821470947,1108.3,536.3636363636364,125.86356165566463,77.26568674425681,61001,177.86021,16
40.270737,1334.7094009090908,1769.0276731286165,1144.5,870.0,140.8830620949535,36.651759490220826,62001,170.38593,27
,,,,,,,62707,,
58.919945,747.0370743636363,496.3293854637595,1132.4,616.5454545454545,130.51431556637112,58.28321074010237,63001,159.75905,19
51.32412,1160.8268156363636,957.8509486876148,1123.1,802.0909090909091,126.68947539171931,47.06477111058005,64001,157.00316,25
,,,,,,,64472,,
49.208847,902.3068008181817,1013.2528678270853,1072.8,747.3636363636364,136.76285093658623,47.31338895650095,65001,144.84546,23
32.10097,1384.732713181818,1593.2673372837917,1129.2,975.3636363636364,166.14377904653534,30.797209245113518,66001,156.84544,30
49.25542,1008.5185317272727,1407.165921901506,1144.8,806.3636363636364,151.13086678151427,48.40915116132642,67001,153.97536,25
,,,,,,,67595,,
47.52306,1548.934402363636,1651.5568212637504,1168.2,789.2727272727273,180.18172592047318,37.844371533270746,68001,200.413,24
41.220562,1180.5420574545453,1032.867614646862,1129.1,779.8181818181819,164.6230494768738,38.71686950652326,69001,172.7964,24
57.324364,1100.2225689999998,554.9259351756612,1149.8,760.0909090909091,168.37952597020495,55.914118116813,70001,168.29791,23
,,,,,,,70663,,
64.475716,1025.2296432727273,1708.249891711849,1122.4,636.5454545454545,153.60421894226803,62.64726698777586,71001,193.93898,19
66.92201,1171.3468135454546,1091.9593677796577,1156.4,713.7272727272727,169.9490140920575,65.35829306892414,72001,196.48505,21
90.51922,892.4114032727274,1098.2161303197042,1131.5,471.8181818181818,154.68397004503078,88.93988413325572,73001,219.86273,14
89.27552,872.3512831818181,84.27179384230278,1139.2,485.1818181818182,159.32988646124588,87.69994907616311,74001,214.33319,14
,,,,,,,74022,,
85.51767,953.3530408181819,428.5062514047054,1102.5,587.5454545454545,162.20186961542387,84.64524813601071,75001,211.60454,17
,,,,,,,75422,,
64.3698,1175.7719781818182,1146.9646264989353,1105.9,685.6363636363636,192.7098538690181,62.81162086734316,76001,201.23517,20
84.97108,855.4560140000001,1652.1009338179101,1015.6,553.3636363636364,160.87733133011326,82.8937363861048,77001,197.1729,16
45.752403,1347.5456074545452,1222.6757319974438,1046.7,831.3636363636364,196.020928118051,42.60656979136083,78001,180.35016,25
,,,,,,,78214,,
62.160427,986.549406909091,1151.2538171488388,1028.5,726.3636363636364,165.6353143762343,60.29858114495999,79001,174.00368,22
54.202686,1536.403980909091,2300.6467893478525,1075.8,730.4545454545455,196.51776274188762,50.03650938610242,80001,228.61598,22
62.183144,1537.0391516363636,935.5586692304828,1129.2,785.0909090909091,185.32556182512388,60.4747534174307,81001,221.8746,24
,,,,,,,81351,,
113.737595,601.607165090909,206.16032435177385,1115.3,329.6363636363636,174.58350800175214,112.70198996734383,82001,232.06044,9
134.74605,580.5397330000001,218.45405300227162,1059.8,242.63636363636363,165.06788144655857,134.05370108187174,83001,252.46948,7
55.79038,1491.207472181818,1102.7100114774146,1120.5,759.4545454545455,218.53341088429985,49.475260260001725,84001,212.53856,23
,,,,,,,84664,,
34.50328,1751.2147234545455,1490.9305277132983,1188.4,954.3636363636364,215.77202566609586,30.71002393058543,85001,193.18097,29
70.07635,1201.4254245454545,1307.277524643031,1226.4,649.0,198.84044621728117,68.69096132729558,86001,218.19408,19
,,,,,,,86397,,
96.560814,703.081686,772.5241038110769,1169.1,498.72727272727275,162.78439261040947,95.34856681689722,87001,206.4377,15
154.08789,442.0801425454545,12.823041343832156,1111.9,288.27272727272725,115.36377129337437,153.23017145186824,88001,234.12955,9
,,,,,,,88526,,
89.1879,745.6104026363638,1045.3678068591078,1013.2,573.6363636363636,150.09398012893396,86.6915740359871,89001,194.59697,18
,,,,,,,89984,,
75.31935,1037.9122034545455,180.10301033820238,965.1,685.7272727272727,167.74959959855875,72.26901912673749,90001,186.98415,21
70.88611,1764.5958563636364,2314.4259643606897,1049.4,848.2727272727273,208.28646042014407,70.08904751498102,91001,251.39403,26
64.32764,1629.0154315454545,2563.7153237484104,1163.3,820.6363636363636,215.97707509292022,62.953854683881566,92001,227.66827,25
,,,,,,,92482,,
93.42701,873.7187462727273,1141.518757612994,1142.5,462.72727272727275,196.835022332294,92.14118965230827,93001,244.68047,14
52.430435,2122.8144997272725,2858.8607130189216,1155.3,910.1818181818181,206.20848441604392,46.031701470283856,94001,238.8481,27
,,,,,,,94994,,
102.85696,1026.8392594545455,363.54088329406613,1151.3,518.9090909090909,184.03240656821086,101.78942232813961,95001,243.85303,16
46.295265,1595.8674569090908,1305.0654066659965,1235.5,821.3636363636364,229.57201233410126,41.04594292927837,96001,214.29785,25
68.81219,1334.6642427272727,2413.7172120856735,1320.9,768.8181818181819,199.8475747731868,64.77227178022116,97001,203.01991,24
,,,,,,,97938,,
76.48644,1783.7285029999998,2685.210415619374,1440.0,741.7272727272727,216.55923996112142,75.02421012467754,98001,270.90555,22
95.42185,1169.318392,398.686945829429,1462.8,599.6363636363636,190.55658448058082,93.89812650816901,99001,247.21451,18
,,,,,,,99927,,
85.43329,1152.529479090909,945.032663998926,1432.6,661.9090909090909,196.4778770156501,83.8048541130734,100001,224.56505,20
65.83516,2331.055357818182,1950.6973420033712,1495.0,926.7272727272727,235.9015811411492,65.2772682429188,101001,288.89108,28
96.454865,1022.4296872727274,1197.3558404135429,1498.9,586.5454545454545,187.22675220829507,94.4596489201179,102001,231.7807,18
,,,,,,,102922,,
99.19607,1485.9940773636363,2296.3560453277028,1450.9,646.4545454545455,198.62214769867242,98.0316245900487,103001,269.59515,19
50.2337,2297.1365277272726,2811.842105128695,1537.2,1000.0,236.9703182976269,48.08891861891447,104001,254.34251,31
65.64806,2258.2305215454544,2740.342540753914,1631.0,921.5454545454545,234.65299932047137,64.71279511964151,105001,284.18362,28
,,,,,,,105686,,
72.77841,1892.3829465454546,2507.269449087408,1718.3,762.0909090909091,238.1726177635834,71.18372453574825,106001,287.45496,23
93.28796,2108.8268492727275,2573.3398221087546,1733.3,836.9090909090909,213.286586808864,93.19549641254417,107001,299.56595,25
70.67693,2461.0499781818185,2579.685298573238,1874.8,963.5454545454545,224.6222199428348,70.29964698682001,108001,302.56653,29
,,,,,,,108763,,
77.81126,1988.7032805454544,1233.1734811723989,1985.2,845.8181818181819,225.2036522178464,77.26018401765343,109001,282.48798,27
61.89911,1950.8511444545454,2020.7383328024546,1947.9,739.8181818181819,254.83364912177638,55.23875252993212,110001,280.1952,23
77.018196,2020.7218270000003,2974.4811450109382,2013.8,788.0,250.02061061019032,74.22473496969683,111001,276.2171,24
,,,,,,,111852,,
46.146698,2330.268287909091,1458.2122715859155,2146.4,893.1818181818181,252.62334138870062,40.37949443380149,112001,271.5398,28
79.64997,2324.298190090909,2754.962615378132,2153.1,873.6363636363636,229.5130850736273,77.60991919435467,113001,299.50714,27
62.791073,2656.9476077272734,1467.2875499604872,2207.7,838.7272727272727,260.03679283301074,49.462071086925704,114001,307.82507,26
,,,,,,,114324,,
48.78054,3007.003815363636,3221.276108683427,2294.8,995.2727272727273,271.9431939181301,40.70258230608066,115001,315.78235,31
80.412605,2152.339868090909,3114.4098287130087,2317.3,752.2727272727273,223.43169846317534,76.0656536050678,116001,307.25455,23
55.768253,2524.2030837272728,2966.0105393146046,2325.8,929.1818181818181,256.9378551611189,48.22757559389238,117001,291.83353,29
61.822704,2884.973756181818,3064.9686955890484,2412.0,1000.0,260.84867995423286,61.19811753049135,118001,323.87146,31
,,,,,,,118324,,
75.84223,2702.2337977272728,2882.545797016007,2507.2,906.4545454545455,243.63170591979403,71.35898360204845,119001,319.37,28
49.07988,2772.181787636364,3023.3051322019946,2583.4,925.2727272727273,283.494044594977,39.231767499686406,120001,308.50327,29
42.466133,3363.4402180909096,3331.753555275631,2696.0,1000.0,306.70809520587227,29.545714374062367,121001,335.52567,31
67.489006,2745.1867889090904,3056.8163341065447,2751.3,929.3636363636364,242.93245338235846,65.49591082992616,122001,328.7103,29
,,,,,,,122324,,
63.433434,2825.0335697272726,3031.226121089219,2764.2,938.0909090909091,260.42750362958157,61.1305230843071,123001,332.5028,29
63.809055,2960.1969886363636,2918.793506806907,2776.3,1000.0,267.0981242149896,58.92081261520204,124001,328.4978,31
89.60528,2097.9331815454548,3269.810081931938,2754.5,731.6363636363636,260.4619883605081,85.2191393741205,125001,315.40677,23
51.14946,3260.7515714545457,3465.1976874553393,2842.5,962.1818181818181,304.18762475054865,37.45566337439504,126001,344.29126,30
,,,,,,,126324,,
46.85753,3391.841810363636,3411.366997839744,2897.8,1000.0,308.0348107271637,40.82594142058771,127001,349.51468,31
64.0958,3242.530130909091,3644.6602756448633,2953.9,920.4545454545455,273.24819845411827,39.01142741003084,128001,345.36838,28
