eval_qs,eval_qs_difference,total timesteps,eval_eplenmean,eval_discount_q,eval_abs_qs_difference,eval mean 100 episode reward,eval_ep_rewmean,eval_returns,eval_time_elapsed
-0.7340666,78.67390697927411,1,988.3636363636364,-83.61820205450876,78.73807,-872.3,-869.6361545454546,-842.9860229382101,31
,,379,,,,,,,
-0.7769234,71.70008854489618,1001,939.5454545454545,-89.21901950207243,71.700516,-824.0,-777.0189631818182,-808.9647044719308,29
-0.8445957,74.5673658830762,2001,913.7272727272727,-82.98988724153136,74.5711,-816.5,-818.2556386363635,-986.592353075192,29
,,2468,,,,,,,
,,2857,,,,,,,
-0.6947417,70.8882203822574,3001,853.4545454545455,-83.36238253218737,70.8883,-791.3,-711.842821909091,-917.8637862398946,27
-0.7081098,58.631694706093455,4001,670.2727272727273,-75.27209017953314,58.63591,-759.7,-559.896525090909,-81.44679571866557,21
,,4075,,,,,,,
-0.7556913,65.32871037156238,5001,693.6363636363636,-79.37917912957826,65.32962,-717.7,-589.6400401818182,-935.5990863712375,22
,,5248,,,,,,,
-0.7279482,67.49672729724301,6001,764.1818181818181,-82.26862572037406,67.49687,-713.5,-675.7750327272727,-798.7856044683008,24
,,6399,,,,,,,
,,6586,,,,,,,
,,6829,,,,,,,
-0.75583595,65.76596294101103,7001,862.3636363636364,-82.22924494316115,65.76623,-713.2,-699.2128805454545,-663.707499520451,27
-0.76826894,72.55388385972623,8001,1000.0,-82.31809879087326,72.554474,-723.4,-814.7164456363637,-782.3800581540307,31
,,8895,,,,,,,
-0.77038854,71.96161724647038,9001,876.7272727272727,-86.64934390451924,71.961975,-712.2,-736.7882857272728,-791.9544707411256,27
-0.71410435,64.58544803556097,10001,789.4545454545455,-82.10150853520567,64.619995,-695.7,-629.1131997272727,-804.3427309253066,24
,,10987,,,,,,,
-0.6840529,66.29022962124056,11001,803.9090909090909,-79.17793838213275,66.323685,-679.6,-681.3842393636364,-898.4296407807701,25
,,11169,,,,,,,
,,11467,,,,,,,
,,11862,,,,,,,
-0.7213229,72.13443870466826,12001,917.7272727272727,-82.14994168027191,72.134575,-687.0,-776.2853025454547,-861.8689574252433,29
,,12975,,,,,,,
-0.6780223,67.96301084805657,13001,754.5454545454545,-76.90803608138475,67.96422,-692.3,-674.2212250909091,-899.5888549119492,23
,,13490,,,,,,,
,,13884,,,,,,,
-0.7470102,68.99032765807009,14001,912.5454545454545,-83.68725576542334,68.99067,-710.8,-762.0330040909091,-904.9738807286808,28
,,14393,,,,,,,
-0.76957804,68.45364512632,15001,910.4545454545455,-78.07448814551866,68.454056,-727.0,-766.7737979090908,-1011.9573751861732,28
,,15721,,,,,,,
-0.7618259,74.34352145203663,16001,852.9090909090909,-80.37825879180562,74.39135,-729.1,-769.5262912727273,-828.0094585396967,27
,,16063,,,,,,,
,,16186,,,,,,,
,,16536,,,,,,,
,,16746,,,,,,,
-0.7349821,70.24487167874484,17001,863.1818181818181,-87.18083521642833,70.476555,-726.6,-742.1832826363635,-835.1952139117683,26
,,17269,,,,,,,
-0.7270033,65.19960757871355,18001,773.2727272727273,-79.17820223879255,65.20324,-717.9,-652.1192201818182,-937.3054857007334,24
,,18431,,,,,,,
,,18677,,,,,,,
,,18841,,,,,,,
-0.78283954,67.19906272059198,19001,848.3636363636364,-83.38306728710397,67.199425,-727.0,-710.9488509090909,-777.7740646960383,26
,,19033,,,,,,,
,,19318,,,,,,,
,,19959,,,,,,,
-0.7662208,65.56782555501348,20001,834.7272727272727,-75.89423925332594,65.56802,-736.6,-698.4310589090909,-110.7906648171131,26
-0.7244502,67.27796763182994,21001,839.5454545454545,-82.91144407918624,67.27815,-720.3,-695.4310762727273,-811.0201495393152,26
,,21199,,,,,,,
-0.69604534,67.55562210824318,22001,754.4545454545455,-81.26158991943534,67.555954,-719.9,-669.4834205454546,-113.19172058511273,23
-0.76008725,65.01588155848012,23001,762.9090909090909,-83.02145181421353,65.01699,-707.8,-648.9008903636364,-832.1308903005582,24
,,23426,,,,,,,
-0.7240957,64.54632867018391,24001,749.0,-77.32351198692884,64.55167,-703.3,-639.1329259999999,-103.76883980936647,23
,,24660,,,,,,,
-0.6613796,98.73935185478558,25001,1000.0,-118.752630597898,98.74085,-728.9,-1111.5724189090909,-1152.2281648246656,31
,,25836,,,,,,,
23.564302,-54.0329476904009,26001,1000.0,86.19160176940017,54.72134,-573.5,861.3021768181818,858.3391047589367,31
64.91981,-24.253484538508737,27001,1000.0,95.35212184463784,29.950764,-387.7,986.1315689090909,987.4302017676952,31
89.15275,2.9149004401605896,28001,1000.0,94.4547797665045,11.084283,-207.7,955.8887709999999,955.5362656223897,31
98.86336,18.774202304930075,29001,1000.0,88.1882741318245,18.774202,-25.8,888.1979713636364,885.9381737047219,31
,,29836,,,,,,,
102.001564,39.106403832472324,30001,1000.0,71.67190599999505,39.1064,122.0,699.9067472727273,770.6816094521441,31
99.79155,57.95825227756441,31001,1000.0,59.28137818189188,57.958256,257.6,477.02151072727264,471.16211423062447,31
105.15821,22.123937715867363,32001,1000.0,92.05758397957284,22.124086,418.3,921.4797801818182,927.721926734578,31
105.39926,20.310622107500578,33001,1000.0,87.18979741368949,20.310621,597.6,937.2042099090909,951.4206898318279,31
,,33836,,,,,,,
106.82484,24.630159184400938,34001,1000.0,98.1395120319721,24.676336,808.8,919.1048993636366,942.4375395807161,31
108.0654,26.40545207168394,35001,919.1818181818181,107.31845767935457,27.311779,851.4,884.4966791818183,938.5831171320461,29
109.54712,36.15520101756724,36001,911.2727272727273,102.47169479093672,39.145184,837.8,829.7866703636363,836.8723063275397,29
113.48762,54.49576331024613,37001,1000.0,86.28649668793376,54.625954,808.7,675.3421249090909,602.9701418221495,32
,,37836,,,,,,,
118.19311,59.48785774551431,38001,1000.0,89.31343444816139,59.50149,783.4,675.4726529999999,648.9499819042156,31
119.18714,55.179908503554316,39001,835.5454545454545,94.64455212993101,55.182472,774.6,660.6167455454544,773.1345207592042,26
112.95197,72.92512079134394,40001,914.8181818181819,76.15030584600714,72.92512,766.2,447.48695390909086,796.6429475432576,28
111.55449,51.380900032391395,41001,747.7272727272727,82.12173200236526,52.51566,738.1,598.2954886363636,942.9036866130081,23
,,41034,,,,,,,
112.12168,65.69627626014652,42001,518.1818181818181,77.67133360773481,66.60389,684.4,342.4182968181818,-166.15920714036648,16
113.04453,61.673756550652186,43001,780.6363636363636,83.47873278159459,61.817444,629.1,504.2675445454546,770.7097602040128,24
,,43871,,,,,,,
122.42776,17.63660196299811,44001,925.4545454545455,119.46383022266558,26.174065,644.8,1078.4074042727273,1337.6385396323008,29
119.6525,60.985380522152106,45001,1000.0,108.74194729497435,61.455517,638.4,694.3257205454545,467.92005548502647,31
111.29988,29.597768810680613,46001,866.0909090909091,104.68280133099721,30.455626,644.3,833.6339639999999,986.949669923852,27
,,46903,,,,,,,
