#{"t_start": 1641997262.592715, "env_id": "Ant-v2"}
r,l,t
-10.459403,37,40.595438
-343.933092,1000,71.100974
-2.437344,32,71.349826
-27.88543,220,71.903825
-65.688479,291,72.715084
-98.846132,66,72.975307
-38.658124,36,73.061219
24.322826,140,73.498301
-53.310748,286,95.323153
-365.438938,1000,124.431565
-7.240217,46,124.714321
-14.810915,37,124.803711
-35.46863,33,125.032609
-5.057503,37,125.115902
-49.760655,265,126.130146
-1.752506,14,126.214379
-10.668523,113,126.624194
-4.183787,43,126.734353
-254.783021,1000,159.317575
-7.20278,33,159.799271
-16.559589,50,159.908426
-18.509501,242,184.273947
-27.233269,50,184.426048
-24.498452,47,184.779851
-15.476093,21,184.83624
-2.232775,35,184.912906
-77.354559,108,185.394125
-27.945145,100,185.880826
-13.66381,25,186.209227
-1.081215,18,186.251819
-17.004092,27,186.311681
-7.415228,36,186.391534
-45.254158,134,187.197732
-46.457309,92,187.683092
-0.137987,38,187.779277
-27.955579,48,187.888638
-23.850087,55,188.284755
-15.847405,145,188.879807
-2.517081,20,212.241285
-320.722207,1000,239.25647
-95.912157,225,240.595889
-398.213834,1000,270.982465
7.912079,88,271.73897
-331.140759,1000,306.41116
-7.03178,46,306.698768
-4.161568,65,307.27099
-60.709649,58,307.847414
-50.929535,68,308.00227
-35.626014,100,308.671687
-33.102422,129,309.420772
-10.97204,14,309.919936
-40.388215,108,310.592849
-3.226797,27,310.673432
-353.953429,1000,340.591232
-224.175509,292,368.708297
-8.954101,132,369.565623
-111.016467,471,373.175146
24.353433,302,399.248801
-33.141017,96,400.023418
-55.69521,130,400.832226
9.152994,56,401.501613
-8.10223,23,401.559504
-24.146812,25,401.61543
-8.003526,63,402.332421
-6.200937,21,402.391063
-13.484955,76,403.153014
-13.377406,51,403.27862
-8.833543,54,403.981279
-6.45489,25,404.043839
18.331332,26,404.102429
-3.698306,37,404.796494
-48.5446,55,404.926055
2.575801,52,405.681034
34.718872,177,430.454842
-20.220802,55,430.609161
-8.320062,21,430.666525
0.926043,14,431.337006
-101.452406,106,432.207927
-280.241156,1000,464.859312
-372.016094,1000,491.358277
-46.648463,59,491.679471
1.287979,17,491.726554
-7.675802,36,492.514066
-30.6445,50,492.627101
-4.014071,31,493.421852
-16.927112,280,495.440743
-7.799176,32,496.29596
3.88849,256,521.753946
-52.268739,62,522.705302
-29.118276,32,522.78805
-42.87231,50,523.658864
-132.142162,315,526.670814
-14.968053,114,527.761455
-26.244082,40,527.869276
1.53337,19,528.708008
2.004179,25,528.765864
-41.146666,152,529.893086
-9.455307,24,530.771817
-25.258108,117,551.880934
-48.897138,127,552.966475
-25.753606,115,554.014551
-39.569323,29,554.097667
-33.006166,137,555.994519
-7.786565,13,556.050772
-52.290675,173,558.012585
-10.491417,39,558.125047
-154.126729,300,561.24307
-307.705891,1000,589.666559
-1.141169,112,616.803661
-0.499723,24,616.87753
-340.878202,1000,651.11413
-15.182522,90,652.446258
-348.049906,1000,687.190561
0.799777,15,687.422766
-1.415767,80,688.561223
1.364972,74,689.700536
-323.263711,1000,727.238954
-27.22282,53,727.528763
-42.759285,51,728.598894
-317.308036,1000,768.84955
-21.790504,50,770.229033
-18.863621,38,770.322807
-11.223005,15,770.364032
20.23161,30,770.431996
-20.499281,72,771.695964
-16.900709,62,772.966291
-85.471711,240,775.736609
-5.341303,25,775.838901
-2.646087,22,800.602666
10.288661,36,800.684914
-3.998124,54,800.808822
-422.635644,1000,850.448073
892.635813,1000,918.229145
895.812625,1000,985.539161
663.67743,1000,1054.188128
713.858081,1000,1121.819262
824.632716,1000,1191.154919
824.589747,1000,1261.418525
819.303491,1000,1331.788942
57.078689,329,1347.279714
454.866592,1000,1417.483311
935.326987,1000,1483.284584
756.7444,1000,1554.797692
824.197709,1000,1624.444439
15.828573,20,1624.70608
634.294411,1000,1694.181356
594.299605,567,1746.690168
601.137204,602,1770.921001
375.049776,1000,1833.18435
445.475589,354,1846.13638
1241.867193,1000,1907.602586
1375.989533,1000,1980.986613
724.016709,1000,2048.180441
1487.669025,1000,2119.551037
528.148477,315,2158.000858
1412.55565,1000,2227.226239
1145.090589,1000,2298.356444
1704.679838,1000,2373.569021
1348.577029,776,2440.64025
1644.294474,1000,2518.335611
1949.546916,1000,2594.916322
1806.290175,1000,2666.187292
2000.140832,1000,2738.440661
1209.984506,671,2771.143215
79.300553,63,2771.466689
24.792554,14,2775.982093
170.669549,113,2780.793647
1483.46542,1000,2852.031605
860.706912,1000,2909.001252
826.90265,416,2947.82462
393.055636,198,2957.446516
818.904099,1000,3032.214536
160.841905,89,3037.283116
7.92029,22,3037.367692
1017.477508,1000,3106.305882
593.736662,359,3155.003599
1530.545527,1000,3234.836009
968.998055,1000,3316.411932
1483.783594,782,3352.104311
985.893833,1000,3426.627656
1129.108912,543,3484.94799
630.468905,312,3500.53776
1223.492214,581,3554.963907
6.125072,11,3555.109859
416.911669,228,3565.578141
893.683522,1000,3638.867743
895.165027,1000,3718.862411
1582.450323,1000,3797.979367
1317.32992,1000,3872.643171
2176.654285,1000,3949.983233
923.16178,1000,4030.170494
1496.571118,771,4100.965244
34.18263,30,4101.207102
1210.351668,1000,4174.598673
474.033272,261,4191.007494
393.501211,181,4201.66233
1143.664071,1000,4275.606501
2018.524962,1000,4353.536712
1041.789642,1000,4441.344287
1086.127261,1000,4525.272397
1553.644692,879,4601.016183
2136.905928,1000,4686.245354
2210.165855,1000,4772.081067
435.109967,193,4784.249563
757.677776,326,4830.94267
154.345726,102,4837.069244
1280.774889,1000,4923.20053
2447.035537,1000,5016.382481
2300.948531,1000,5106.605566
1938.03352,1000,5201.634988
1119.036665,1000,5289.918952
2022.675715,1000,5374.571633
1353.566048,1000,5470.25573
807.406243,334,5489.691849
974.621344,419,5515.421555
229.429651,120,5548.941444
1688.15036,1000,5647.674871
2264.565876,1000,5737.791239
109.781535,68,5744.441063
2147.361702,1000,5839.503438
2442.471398,1000,5935.022326
2334.304042,1000,6031.110639
1190.919466,1000,6130.177144
1943.899611,1000,6224.842954
2421.480942,1000,6325.335564
1479.059138,636,6366.447631
2575.586091,1000,6463.695335
1578.335828,626,6543.098936
2539.637114,1000,6638.18457
2633.263327,1000,6738.787832
2356.842145,1000,6838.474762
997.039898,1000,6937.219157
574.292135,262,6951.466043
2451.607194,1000,7051.997487
2501.859598,1000,7146.650401
2652.113546,1000,7244.687913
2365.733101,1000,7338.639604
