eval_qs,eval_qs_difference,total timesteps,eval_time_elapsed,eval_ep_rewmean,eval_discount_q,eval_abs_qs_difference,eval mean 100 episode reward,eval_returns,eval_eplenmean
-0.50432783,96.57183500170946,1,29,-1042.335925,-84.353519716437,96.57409,-1011.1,-1354.4469194286803,914.4545454545455
-0.6960132,93.84204417713183,1001,28,-1019.8997667272729,-74.53689823838121,94.073166,-1021.7,-1228.960058264916,910.4545454545455
,,1289,,,,,,,
,,1822,,,,,,,
-0.5595798,75.38397150220852,2001,20,-767.5524986363636,-66.12727814596614,75.65067,-934.1,-1237.8199012169632,680.0909090909091
-0.5230318,84.75571016830794,3001,25,-915.8700725454546,-70.17531251925958,84.755745,-929.9,-1215.3505171058093,820.3636363636364
,,3191,,,,,,,
,,3540,,,,,,,
-0.53901005,96.64284739942782,4001,28,-1038.8788448181817,-72.37705986679167,96.64285,-951.8,-1233.2963842512088,910.7272727272727
,,4729,,,,,,,
-0.52611727,74.4671637724646,5001,23,-797.1515518181818,-59.24618669701695,75.24753,-930.3,-931.8686514951606,731.3636363636364
,,5118,,,,,,,
,,5382,,,,,,,
,,5488,,,,,,,
,,5800,,,,,,,
-0.48253223,73.24031462609803,6001,22,-781.8220105454544,-60.891776514379586,73.24136,-920.9,-6.99941993813666,730.4545454545455
-0.5314742,69.32441536221343,7001,21,-702.1195154545454,-62.18244558140577,69.33343,-879.4,-1214.3053385857565,698.4545454545455
,,7020,,,,,,,
-0.56516296,86.7436904826722,8001,24,-914.7224076363636,-72.83733518529222,86.75325,-883.3,-1224.817588243756,788.7272727272727
-0.6314745,97.76509769597932,9001,28,-1056.3171633636364,-76.36722767913112,97.76511,-905.0,-6.681728804109129,910.1818181818181
,,9333,,,,,,,
,,9570,,,,,,,
,,9921,,,,,,,
-0.5213621,80.9641237737644,10001,23,-852.562176090909,-70.58765261395001,80.96878,-873.3,-1257.263381566971,736.7272727272727
-0.5162679,80.82104610435894,11001,25,-876.142529,-74.49043189251346,80.82129,-873.4,-1198.6904126120733,821.4545454545455
,,11372,,,,,,,
-0.44758818,73.77861201478112,12001,23,-765.489901,-64.16321801686385,73.77862,-867.0,-152.32598076533873,751.8181818181819
,,12371,,,,,,,
,,12538,,,,,,,
,,12740,,,,,,,
,,12883,,,,,,,
-0.49638137,71.93445441824771,13001,23,-757.7600821818181,-65.24431623383006,71.95192,-846.9,-20.89511218374958,735.0909090909091
,,13188,,,,,,,
-0.5007475,81.89259485810415,14001,24,-851.7448426363636,-68.79814490011643,81.904,-844.3,-847.9908630009453,769.5454545454545
-0.49326536,61.250167240666876,15001,17,-646.2119777272727,-52.971047140155726,61.29159,-816.3,-1124.5709683101331,550.8181818181819
,,15308,,,,,,,
,,15470,,,,,,,
-0.46359876,70.69104808717094,16001,23,-728.4979769999999,-56.61378220410151,70.704216,-842.5,-10.482144304686189,739.7272727272727
,,16069,,,,,,,
,,16528,,,,,,,
,,16726,,,,,,,
-0.51955485,68.52375437230491,17001,20,-723.2281859999999,-63.20530557256379,68.52375,-810.7,-5.554996911473264,644.3636363636364
,,17146,,,,,,,
,,17440,,,,,,,
-0.44182032,58.38829662297588,18001,17,-604.3671118181818,-54.320078169957235,58.593723,-748.6,-1242.9761962269195,565.7272727272727
,,18952,,,,,,,
-0.47764912,80.18986323251664,19001,25,-860.4542246363636,-67.01006385287418,80.19476,-773.8,-7.688027878893485,822.1818181818181
-0.59117913,80.65397252149862,20001,23,-866.3467539090908,-66.99439993282944,81.18129,-760.4,-10.719255253625581,737.4545454545455
,,20178,,,,,,,
-0.47889277,83.48049690862649,21001,23,-886.0869551818181,-67.3299517565915,84.20912,-761.6,-1283.0746075554036,747.6363636363636
,,21347,,,,,,,
-0.5056472,89.49902488184532,22001,25,-964.4677334545453,-77.30708532261889,89.49903,-784.2,-1251.1042739229088,820.8181818181819
-0.56624794,87.08870642661122,23001,28,-946.3090910909091,-74.92809486621775,87.08871,-815.4,-9.092887487626216,910.1818181818181
,,23451,,,,,,,
,,23584,,,,,,,
,,23983,,,,,,,
-0.5759581,82.63332636175242,24001,23,-880.172068090909,-70.44447705395332,83.773865,-818.1,-1380.0193862143992,739.3636363636364
-0.36784494,123.82950597532508,25001,31,-1377.8414938181816,-137.24038869563574,123.8295,-889.5,-1376.455249849561,1000.0
,,25095,,,,,,,
15.435959,-68.9918480576943,26001,31,936.829975090909,93.48676832155405,69.24432,-729.0,934.6328960673254,1000.0
89.22343,8.222476756151865,27001,31,898.647797909091,89.53362650936248,9.2054405,-565.9,924.595253545414,1000.0
90.90611,34.746753230658655,28001,31,623.5915518181818,62.624276397456406,34.74675,-398.6,525.0399521142684,1000.0
90.66999,21.656964623784962,29001,31,768.8896882727273,79.55494388427952,21.68767,-220.1,663.4212704549649,1000.0
,,29095,,,,,,,
90.41342,13.382314813438864,30001,31,855.2828825454545,85.83015744693589,13.386106,-32.1,874.745436841534,1000.0
97.78662,39.54153692970852,31001,31,653.9142968181818,72.18537140980762,39.733376,136.1,781.9687820068441,1000.0
96.43155,47.865373905606695,32001,31,561.7207831818181,76.82730450725232,47.886574,317.8,476.0221626339913,1000.0
,,32424,,,,,,,
57.849583,53.144406421957676,33001,31,120.73093400000002,74.42340924167054,55.17224,419.4,0.7700401359683196,1000.0
64.51813,-0.4563874686765543,34001,26,679.7807902727274,94.39592854485187,51.5462,634.3,916.6335203827753,841.8181818181819
91.24149,13.723304938059549,35001,31,882.2035847272728,108.10273448027678,45.33286,674.0,957.1604797634444,1000.0
100.14981,31.820073510958437,36001,29,747.9070097272728,110.5589708109033,51.209496,655.9,1010.2406212245983,939.3636363636364
,,36424,,,,,,,
110.93013,81.58384225249553,37001,28,343.8676109090909,61.91354954053434,87.92785,627.3,220.16899758481907,912.5454545454545
106.56519,40.269396855957936,38001,27,681.7412966363636,100.91459641814436,55.133106,621.8,122.71579448748597,867.6363636363636
,,38613,,,,,,,
124.65479,26.968975472636693,39001,20,883.681235090909,121.68595399218064,42.190613,614.9,1332.2319446278725,662.0909090909091
134.7988,35.39688838577003,40001,19,878.131812090909,123.20396965992259,42.834198,643.3,654.9896437465129,633.0909090909091
135.49193,16.476918275885506,41001,30,1295.1943120909093,134.09351845772596,22.770876,712.4,1393.7077717552781,978.0
,,41967,,,,,,,
124.01513,20.03808183660071,42001,24,1001.4181918181818,136.41845768687256,36.19427,792.9,1391.647860564926,776.2727272727273
