eval_qs,total timesteps,eval_eplenmean,eval_abs_qs_difference,eval_discount_q,eval mean 100 episode reward,eval_ep_rewmean,eval_time_elapsed,eval_qs_difference,eval_returns
-0.14660312,1,1000.0,57.001644,-73.9319775746414,-645.3,-644.6750978181818,33,57.00164088981267,-638.8420090958401
-0.17097566,1001,1000.0,57.922363,-75.57541821479687,-651.0,-655.7530603636363,33,57.922363981176005,-633.894513843121
,1475,,,,,,,,
,1746,,,,,,,,
-0.1685582,2001,1000.0,58.100525,-76.27458506154423,-653.3,-658.2027087272726,34,58.10052876768195,-639.8917987237288
,2028,,,,,,,,
,2229,,,,,,,,
-0.1560958,3001,1000.0,57.59036,-74.92484600859599,-652.7,-651.6401890000001,33,57.59036334508085,-644.8190769616756
,3445,,,,,,,,
-0.12324912,4001,1000.0,56.720142,-73.49744877630425,-650.4,-641.1963929090908,33,56.7201427564429,-642.592907454057
,4674,,,,,,,,
-0.24597302,5001,1000.0,59.92942,-80.47535333004974,-655.2,-681.424539909091,33,59.92942100734238,-670.921501835719
-0.11082684,6001,1000.0,56.504444,-74.27904600924008,-653.5,-639.6889571818182,33,56.504443293298095,-634.1836208492819
,6896,,,,,,,,
-0.21526434,7001,1000.0,58.863903,-78.1507515587788,-655.3,-668.1605119090909,33,58.86386243036334,-639.966200644122
,7370,,,,,,,,
,7692,,,,,,,,
-0.15467238,8001,1000.0,57.565247,-74.18378342936008,-654.4,-650.6412156363635,33,57.56525462659178,-677.9711776111563
,8040,,,,,,,,
,8352,,,,,,,,
-0.14658509,9001,1000.0,57.18823,-75.03040514488403,-654.6,-647.6282458181818,33,57.18822936487727,-635.2720580060504
,9646,,,,,,,,
-0.17307693,10001,1000.0,58.283047,-74.48647659283682,-654.9,-658.3028846363637,33,58.28305036392077,-691.7146513197403
-0.16043936,11001,1000.0,57.784718,-76.5585693239692,-654.7,-655.2445504545454,33,57.78471731250995,-683.4374885983327
-0.14804035,12001,1000.0,57.29896,-73.86375416790187,-654.9,-647.5951592727273,33,57.29896389463586,-654.3415843426963
,12105,,,,,,,,
,12545,,,,,,,,
,12898,,,,,,,,
-0.13997708,13001,1000.0,57.28417,-72.27912157695127,-654.6,-645.7978027272728,33,57.28417016085207,-685.9440209741873
,13182,,,,,,,,
-0.15625077,14001,1000.0,58.02438,-76.27419980071194,-652.8,-657.3177104545455,33,58.02437448404092,-651.2262187694074
,14555,,,,,,,,
-0.1806803,15001,1000.0,57.5752,-74.27939259310438,-653.7,-651.0954227272728,33,57.57520211292915,-645.3853770236441
,15664,,,,,,,,
-0.15780702,16001,1000.0,57.712265,-74.85811791421733,-652.5,-652.8101756363637,33,57.71225687435224,-632.4349269718138
,16806,,,,,,,,
-0.17817974,17001,1000.0,58.389015,-73.79986364284501,-653.0,-658.7335453636364,33,58.38898827571743,-625.6516425124452
-0.22493863,18001,1000.0,58.64756,-74.46318203716524,-654.5,-662.4417189999999,33,58.64737822187274,-647.5563006834598
,18013,,,,,,,,
,18360,,,,,,,,
,18644,,,,,,,,
,18844,,,,,,,,
-0.1795237,19001,1000.0,57.863125,-76.45181061475643,-655.2,-656.1132984545455,33,57.86307689027432,-649.7171757423913
-0.1725167,20001,1000.0,58.200497,-75.53564684675744,-654.6,-658.5104764545454,32,58.20050192651633,-653.6291670514668
,20049,,,,,,,,
-0.1604175,21001,1000.0,57.552433,-74.829008700482,-654.6,-651.2092054545456,32,57.552431173733495,-656.0997870734789
,21402,,,,,,,,
,21592,,,,,,,,
-0.17194217,22001,1000.0,58.219994,-75.7286825090827,-656.6,-658.8896683636364,33,58.21988512515175,-637.4132046844246
,22912,,,,,,,,
-0.16884784,23001,1000.0,58.060246,-74.58460331499475,-656.5,-656.1297136363637,32,58.06024777770751,-629.9774044645868
,23069,,,,,,,,
-0.22264105,24001,1000.0,59.287796,-72.6885701639326,-657.9,-667.0660616363638,33,59.287796669704264,-649.119263606214
,24746,,,,,,,,
-0.9814337,25001,1000.0,132.26031,-149.3900932649459,-740.1,-1480.3136122727274,32,132.26030838252407,-1488.7055701769068
,25949,,,,,,,,
16.287004,26001,1000.0,73.43334,95.01729350744644,-583.9,988.571997090909,32,-73.16348075301362,987.210572743881
48.044846,27001,1000.0,44.583984,97.37807781540327,-401.5,995.0571794545453,32,-41.82044751558765,991.982427880721
98.90799,28001,1000.0,10.39102,95.20646329447753,-221.6,983.7190307272726,32,9.961522139332173,984.2347652062415
98.09687,29001,1000.0,14.939334,90.58516840237918,-46.9,921.2622227272727,32,14.938577060095072,919.0815911299495
,29949,,,,,,,,
102.79562,30001,1000.0,18.837223,95.94393280392165,127.5,934.5683856363635,32,18.837225551644895,939.6249715426396
101.386154,31001,1000.0,52.697205,60.134197342832856,263.6,546.4223804545454,32,52.69720237687753,493.77967869535837
99.93564,32001,1000.0,29.062819,84.95149052608593,421.2,792.8300880000002,32,29.062816102406817,741.8693916672433
100.01043,33001,1000.0,11.598058,102.505497575079,600.6,986.9101106363636,32,11.467465349230622,989.3498313407721
,33949,,,,,,,,
106.477486,34001,914.4545454545455,33.602154,97.01514298131256,836.7,814.0840968181818,29,32.62431269450178,958.8135620833339
109.75176,35001,1000.0,53.803978,74.26764992776911,851.6,633.5604642727272,32,53.74822022467174,509.44514034026435
115.355316,36001,916.2727272727273,38.36772,82.38206951132675,831.0,843.8596956363635,29,38.36772879824268,913.4279937542572
109.32651,37001,1000.0,31.178936,82.17613661776508,821.1,898.2930361818181,32,27.632634523244715,941.9944921395006
,37949,,,,,,,,
108.029205,38001,910.6363636363636,40.899605,85.81225000729304,801.9,762.1407927272728,29,39.90252332826671,985.9105661041981
114.76116,39001,1000.0,69.37251,70.16245042801175,760.2,526.1967207272727,32,69.08757439803681,701.0769092529738
116.17907,40001,966.8181818181819,53.943333,98.53019416696515,767.0,707.1986392727272,30,53.126390231612454,925.5476628078346
103.30112,41001,839.3636363636364,48.421616,86.67029355188399,757.9,632.7010702727273,26,42.03037171354335,679.8436734443513
,41199,,,,,,,,
119.386345,42001,684.1818181818181,42.980076,108.78509720203287,727.2,711.3673977272726,21,40.43917550016397,1079.2089214217156
113.50257,43001,684.9090909090909,58.481155,108.16345840055068,705.7,535.4141555454545,22,53.58773225021826,42.3065039397161
118.68002,44001,1000.0,55.215405,120.82276150407215,710.3,796.4437220909091,32,50.99709882762765,520.3654868968343
,44675,,,,,,,,
103.448006,45001,915.1818181818181,36.650436,119.52611189702125,709.8,808.7748378181819,29,30.274204978713364,1040.7259820193635
114.55359,46001,547.4545454545455,47.9693,114.55174432783691,683.0,575.4172914545455,17,40.234740716366034,173.70155157368325
115.075874,47001,565.8181818181819,61.185463,82.55641846720545,645.2,499.36314409090903,18,55.34470785620246,968.6900299205267
,47719,,,,,,,,
103.17703,48001,949.3636363636364,25.33034,115.19934048599052,687.1,972.9484023636364,30,12.355463403888558,1085.30878777872
104.55573,49001,737.8181818181819,62.285427,97.6832097563968,688.4,572.819195090909,23,50.57980910170836,60.219381803178244
108.84461,50001,867.5454545454545,67.95459,87.07589975279363,669.7,533.5374977272727,27,57.2843973431137,-52.83759226323406
119.0541,51001,846.0,48.182194,113.3755154077685,682.3,803.5343992727271,27,42.928579368690684,975.3953056849147
,51719,,,,,,,,
117.20464,52001,775.6363636363636,30.733046,123.24190458041217,698.4,848.3217530000001,25,27.37774438094342,1176.5766825891085
133.06216,53001,927.5454545454545,46.180264,119.54292138314639,725.1,987.4096601818181,29,43.078077498406536,1413.4421878404673
,53566,,,,,,,,
121.35156,54001,956.7272727272727,27.0687,135.74644769080743,764.2,1097.9297834545455,31,20.388896831186482,1497.8593735890704
144.63629,55001,585.0909090909091,62.139896,123.669751612265,778.2,671.4067815454545,18,58.78811274057966,186.9783082371208
,55793,,,,,,,,
115.69751,56001,917.5454545454545,31.104694,130.48921550505585,821.7,989.5167375454545,29,22.3020636586866,1093.2344019595853
147.86168,57001,773.7272727272727,44.68137,130.17086159808858,841.6,1049.6264993636362,24,39.487265133519344,996.49695602689
155.49385,58001,780.6363636363636,58.851383,124.45244782788842,863.8,981.2881993636364,25,56.64483958311605,1321.4830418382383
145.65025,59001,798.1818181818181,33.351425,160.42369680747586,932.8,1106.5613489999998,27,27.0702126807137,1365.4481271250959
,59004,,,,,,,,
148.7404,60001,466.09090909090907,70.37215,118.27542247396747,925.6,550.3982598181818,15,67.20831180598367,551.1798516141249
141.92635,61001,775.0,59.060547,107.1811902655027,915.3,829.7995546363636,24,57.96410501003131,1055.328601671505
159.02022,62001,598.0,67.02296,134.64258065206334,897.0,767.3103960909091,19,65.46949196577042,1337.5305632180232
,62159,,,,,,,,
164.60265,63001,615.5454545454545,59.643936,133.3638747505882,871.8,798.6346649090909,19,58.35803569187413,727.4355116625197
175.48146,64001,683.7272727272727,72.14342,129.8610743864353,877.5,874.9186031818182,21,71.30829278539208,1323.413143082106
165.35606,65001,849.5454545454545,59.03567,138.92777879818433,894.0,1121.4741792727273,27,57.63376237445668,1587.1641516584916
,65143,,,,,,,,
156.99376,66001,861.0,41.259953,158.942049147518,903.3,1194.1056633636363,27,39.50424512150311,1311.4280423924997
193.70912,67001,777.2727272727273,55.09276,157.5434397885953,956.4,1371.3870564545455,24,53.12160917239639,1055.0311914378926
164.28357,68001,448.72727272727275,95.67305,99.12704342294369,890.8,525.7560503636364,14,93.8988060680118,936.448307098261
,68280,,,,,,,,
212.73999,69001,861.2727272727273,46.49434,176.8823028635647,1002.3,1676.4038098181818,27,45.110816480849344,2045.9322594853788
168.06798,70001,626.8181818181819,66.97142,162.01470934998486,1027.6,882.8338194545454,20,64.74335929365064,784.3422589657512
200.43149,71001,744.7272727272727,43.086582,182.94896268473488,1086.1,1395.6022186363637,23,39.329185872808495,2140.204665649938
,71365,,,,,,,,
196.36417,72001,703.7272727272727,55.09711,183.07912401140553,1140.8,1259.5212834545453,22,50.70762786558637,1010.6346526341589
208.877,73001,428.27272727272725,77.54554,164.4090852352661,1137.3,789.3828383636363,13,76.59333644078897,1071.7767912464792
,73239,,,,,,,,
187.90659,74001,654.6363636363636,65.99088,165.2843915544073,1125.1,1056.8879092727273,21,63.16837503926244,2260.3892583051784
175.62816,75001,676.9090909090909,60.28024,152.31657027960202,1106.5,969.0925468181817,22,56.56295321906611,1101.6320449964096
,75826,,,,,,,,
222.2251,76001,576.4545454545455,67.582306,178.35832433763915,1081.1,1157.9430333636362,18,65.57560810617618,162.20404734062078
243.48022,77001,988.1818181818181,48.01454,198.57994564604323,1237.5,2129.1479746363634,31,47.94439926895323,2159.2164534372714
,77925,,,,,,,,
228.1186,78001,913.3636363636364,48.30781,198.27663298322807,1301.5,1952.095186090909,29,45.42117107504416,1137.919578533803
240.60376,79001,745.8181818181819,55.59466,195.27560040244146,1356.7,1600.0365752727273,24,54.25334268260133,994.0612780293606
,79899,,,,,,,,
217.19125,80001,567.0909090909091,101.6163,152.09758925718396,1339.4,896.1188733636366,18,98.47033886980131,279.15306108927115
243.15718,81001,687.8181818181819,63.270924,208.8434775139711,1338.5,1500.1705624545457,22,62.04859565377017,1618.1535268581097
214.52757,82001,723.4545454545455,57.873558,195.69498207723544,1394.6,1374.6648194545453,23,54.49446111302791,890.0313003934968
,82952,,,,,,,,
216.81476,83001,536.2727272727273,86.61508,182.04196971811032,1399.6,937.8264839090909,17,85.37638320064812,1074.2954838008584
260.8013,84001,848.1818181818181,59.130028,202.8089544418335,1482.2,1951.7188847272723,27,58.68455859814687,2403.4885229638826
217.72838,85001,437.54545454545456,109.79902,135.59173562536492,1424.1,680.1531058181818,14,109.11411333604313,1273.7362953302663
,85351,,,,,,,,
233.2206,86001,598.8181818181819,68.79477,206.50116332614198,1352.4,1196.3222910000002,19,66.11216917142939,2093.7443693660966
,86601,,,,,,,,
227.06032,87001,899.7272727272727,46.046688,215.85149971043674,1329.1,1852.5333483636364,29,44.703099560933985,2565.1013742166683
263.8685,88001,930.8181818181819,43.647297,234.11949934929228,1407.3,2333.193049181818,30,39.45829581641549,2417.6987051752244
265.10043,89001,752.3636363636364,64.63919,221.91990279577595,1519.7,1908.3086690000002,24,60.41532326644207,659.6692555652612
,89627,,,,,,,,
248.36403,90001,741.4545454545455,67.612076,206.09907034727237,1547.8,1708.6767797272726,23,65.19153363611909,1314.9976278752767
216.1463,91001,878.8181818181819,54.638004,187.19350566621588,1566.7,1619.285094090909,28,53.384719982526946,1335.0696345721044
,91744,,,,,,,,
240.73741,92001,906.0909090909091,60.34691,207.3881937544749,1666.6,1862.4632637272732,29,59.825285872618906,1483.8793998916865
224.28285,93001,491.1818181818182,105.55854,165.96994212659675,1568.7,864.4573406363637,15,104.5736042518488,1770.3415569879842
235.0403,94001,601.0,84.77234,189.35476840444574,1629.3,1236.5977591818182,19,83.27987172412291,349.62953986241956
,94946,,,,,,,,
270.9111,95001,663.1818181818181,77.623955,216.69045804448027,1701.5,1860.7877527272728,21,64.62100131004193,713.9297486628506
271.8691,96001,840.1818181818181,66.50836,203.03538478176705,1729.8,2105.8395591818185,27,64.93415049292638,2506.0266178035718
242.17339,97001,748.8181818181819,64.413994,214.8791767854667,1662.0,1658.715596181818,24,61.54140598124472,1480.956109763188
271.6139,98001,910.6363636363636,55.305637,224.97842510753816,1664.6,2254.218840363636,29,53.079354610696264,2535.310574818499
,98574,,,,,,,,
259.16443,99001,766.8181818181819,58.57294,220.2184055569448,1689.0,1808.9535429090909,25,56.825004568930666,1133.2554079914798
262.31296,100001,981.5454545454545,39.454464,234.43641079772735,1780.4,2473.747668727273,32,33.71111865345122,2732.0593131440655
242.6377,101001,850.2727272727273,53.97661,208.4351647886785,1785.0,1927.9170432727274,27,49.85850880688831,2795.619369602808
,101353,,,,,,,,
223.77745,102001,642.2727272727273,73.37951,203.7029763859863,1830.1,1297.9010229090911,21,69.72235407217376,2215.91828691027
258.78485,103001,814.0909090909091,53.307827,231.35439541913675,1921.1,1997.5821410909093,26,48.76563611424277,1095.6053260125607
261.08588,104001,680.8181818181819,59.195435,245.9729062086944,1885.2,1709.1218868181816,22,53.86988623109548,1937.3763176287353
,104232,,,,,,,,
243.50848,105001,976.2727272727273,38.652775,231.63215468317574,1925.0,2316.822424272727,31,28.91031673260351,2092.507161340645
259.75314,106001,902.9090909090909,52.719532,226.058994539814,1994.2,2208.994790090909,29,46.97277169831684,2395.7731522241456
,106171,,,,,,,,
223.41978,107001,648.9090909090909,73.844086,208.13037924249286,1884.0,1219.3932764545455,21,71.06714929642757,1204.6585655021993
264.34656,108001,852.4545454545455,62.42158,213.101871066443,1924.4,2140.874166181818,27,57.331330257458056,1176.7900063133422
245.44516,109001,798.0,62.24514,216.04735436106887,1856.2,1827.4302560909093,25,57.930494502510804,2825.2096851887304
254.40771,110001,829.2727272727273,45.6801,242.5758937046984,1874.1,1971.2837444545453,26,41.37551852862997,1724.1185097716461
,110171,,,,,,,,
245.38393,111001,629.0,94.64175,222.02964822422135,1830.9,1155.086794181818,20,93.25739228630209,2164.3981084428206
266.59787,112001,892.7272727272727,55.887745,241.88924866244477,1841.1,2157.1514274545452,28,53.82764490149486,2454.781100196284
275.65988,113001,866.5454545454545,56.713135,238.65924789254234,1900.0,2144.396019727273,27,55.56155524424642,1275.9319532762802
,113684,,,,,,,,
251.99554,114001,840.5454545454545,55.173756,236.94089114857616,1860.9,1915.7788653636364,27,52.98226498984627,1392.6161674788314
255.71611,115001,952.7272727272727,49.291615,218.12011823518526,1854.1,2192.4439336363635,30,47.38398456857456,2750.304815008057
293.1029,116001,937.0,47.309048,252.39118627646695,1989.0,2618.5315886363633,30,43.37226528367969,2874.542957681526
284.2319,117001,939.1818181818181,48.2041,254.77751629579052,2023.1,2542.741513818182,30,43.8049933863524,2647.882002937027
,117149,,,,,,,,
297.04996,118001,977.7272727272727,60.52346,237.67263589237763,2144.7,2551.5931032727267,31,59.911094325880484,2516.6585019354407
266.6929,119001,773.6363636363636,69.85791,230.06556199489407,2122.3,1996.4126573636363,25,65.0405223851632,2761.603483403153
289.36438,120001,801.6363636363636,69.338585,232.70638645180645,2233.9,2246.0929849999998,25,64.02812053591477,2982.0768662320656
251.18921,121001,1000.0,46.00687,238.76510929404802,2292.8,2310.9230079090908,32,43.73467135638049,1664.480617884591
,121067,,,,,,,,
298.821,122001,816.4545454545455,64.876884,246.24292354335375,2281.8,2279.8321040909086,26,61.525688844387055,2915.8927916024973
240.1875,123001,881.8181818181819,49.87938,239.7092143668082,2285.9,1918.4077315454547,28,47.32790630537304,1041.9324216910254
281.55585,124001,1000.0,45.6401,244.59649766452188,2338.1,2636.6794525454543,32,42.10293020488417,2922.739410999636
225.22543,125001,869.0909090909091,56.81163,225.35025748061568,2250.5,1704.743989636364,28,54.11163595350226,2736.411431893876
,125067,,,,,,,,
272.23242,126001,810.5454545454545,57.195065,243.06865501611736,2204.7,2103.298432181818,26,52.786490368812316,255.79900895938
280.16235,127001,963.9090909090909,37.184128,262.2203513715044,2216.3,2757.960535909091,31,20.494848217797436,3063.2411638268627
267.20285,128001,1000.0,38.222813,264.80593879988345,2276.1,2719.4169775454548,32,21.47691694050072,3076.569779251823
,128155,,,,,,,,
310.15045,129001,825.9090909090909,68.39505,249.07995311984635,2305.1,2365.2992750909093,26,64.44016422942644,2976.6400216907623
274.77542,130001,911.7272727272727,58.98084,238.39988772286873,2314.4,2463.391959545455,29,49.8747618163982,3364.122649915982
304.86935,131001,808.5454545454545,71.97281,268.0506549076908,2356.3,2455.714063636364,26,59.845040067245165,467.0680234889971
,131211,,,,,,,,
303.1064,132001,754.1818181818181,74.794075,257.32022704879677,2371.5,2314.633764454545,24,59.7974359848447,3355.3839631060805
295.78455,133001,1000.0,73.61751,258.70741757423633,2381.0,2509.2657877272727,32,70.4700111655011,2956.9288989990323
264.11407,134001,1000.0,122.77131,236.91002042254956,2358.6,1678.8024217272725,32,119.68793011483143,3072.3676352015204
,134778,,,,,,,,
303.03528,135001,940.5454545454545,73.28129,265.22057796598637,2376.6,2472.6117924545456,30,68.89507554167481,3228.537354674968
292.99707,136001,772.3636363636364,80.847466,258.29961693958916,2366.0,2113.408798272727,25,75.50215827062867,1656.0537725236734
314.03397,137001,946.0,46.976906,287.1032330909209,2357.7,2943.8090000909087,30,32.32471493068485,3018.328771411944
,137697,,,,,,,,
334.11282,138001,938.8181818181819,50.643955,302.1061813744924,2461.2,3221.374862454546,30,26.42461869984952,3587.6165292920296
293.58594,139001,976.9090909090909,62.798878,275.9959479927486,2460.4,2641.919851818182,31,50.58416680567976,3239.8637146770543
282.22662,140001,833.0,65.462456,263.5920486766199,2446.7,2156.4154919999996,27,60.46781610386301,1372.3662205753203
277.1077,141001,844.1818181818181,63.332676,251.98086142846807,2419.2,2080.3992385454544,27,59.2934905083188,2134.7421648195773
,141475,,,,,,,,
272.01508,142001,655.0909090909091,163.02992,170.27320850866673,2280.9,898.5356746363636,21,162.2152049294621,123.21774588453832
318.9988,143001,928.2727272727273,70.11561,280.11270053466956,2343.9,2675.837555272727,30,67.31363928390586,3134.8978422442506
,143467,,,,,,,,
340.6304,144001,854.6363636363636,68.41589,283.2803133441425,2388.7,2732.968269,27,62.74096681834358,3408.840951406273
316.9902,145001,867.9090909090909,78.6833,276.24488836654496,2382.9,2390.6548443636366,28,74.2414316901727,3253.6748673852926
298.2802,146001,862.1818181818181,67.28004,282.0401916818344,2361.6,2311.404349,28,61.73717953891683,2137.338604688447
,146617,,,,,,,,
335.80698,147001,764.3636363636364,80.41733,263.2228404699319,2270.2,2357.1691712727275,24,74.75751759066515,2946.4965958958987
348.2003,148001,863.3636363636364,72.86133,275.7420794091282,2275.4,2756.8461934545453,27,66.5633605840577,3010.2616199417093
304.54968,149001,921.9090909090909,50.52672,288.8385210886693,2286.3,2678.330008090909,29,42.41242021346044,3147.232754689784
,149892,,,,,,,,
318.11334,150001,964.4545454545455,51.355236,311.59884531820813,2418.0,2979.8347222727275,31,40.166712768568736,2930.987306774679
285.85574,151001,731.6363636363636,88.68785,282.4550152433609,2490.4,1862.396594909091,23,83.26735429567566,1358.632660983204
332.90417,152001,739.9090909090909,81.69566,271.46025674194345,2459.7,2283.4350814545455,23,73.57808394181865,3609.8214400820266
353.83768,153001,895.5454545454545,56.77625,304.6739311952479,2503.1,3080.5445147272726,28,47.44685354419667,3603.0041642188694
,153453,,,,,,,,
316.9161,154001,901.5454545454545,74.69257,297.3521421773624,2575.1,2590.2203928181816,29,66.24225779640724,639.9978293237347
318.9744,155001,812.3636363636364,72.34777,313.66354920474174,2536.1,2416.2513754545453,26,64.79360865902673,3316.822358353377
317.45532,156001,853.6363636363636,72.03952,311.17006416988215,2582.4,2576.121024818182,27,61.42564477312678,3129.773171899517
,156480,,,,,,,,
311.49686,157001,864.0,69.6214,281.3713596117373,2568.7,2606.0481490909087,28,59.66336594382082,3375.122913568256
363.1537,158001,984.0,53.76375,297.4281195499127,2662.7,3500.3956550000003,31,37.6206165909294,3354.668781920861
354.7532,159001,782.4545454545455,76.00385,292.6161647022462,2654.7,2821.600917636364,25,62.69578604232321,1120.361346512461
294.7041,160001,939.3636363636364,51.14285,283.0367943326992,2711.1,2668.2160597272728,30,39.508016991164205,3569.5642250261512
,160059,,,,,,,,
278.2318,161001,696.1818181818181,109.12046,225.96341813392775,2631.6,1611.7312531818184,22,106.25315199228258,3443.553823402823
334.33728,162001,703.7272727272727,102.5545,287.4196481991962,2561.1,2020.6830518181816,22,100.46872428318974,1943.8004617909753
348.14084,163001,955.1818181818181,53.277065,324.3803843830526,2605.3,3340.5321120000003,30,31.728205892744374,1777.500928312053
369.08792,164001,934.1818181818181,54.68168,319.70705055458484,2704.6,3427.319484909091,30,37.48028891034203,3867.6249597465526
,164059,,,,,,,,
321.80457,165001,1000.0,54.81365,301.43858156761127,2780.2,3064.5054368181814,32,45.19644894003782,3668.9128466794805
304.4223,166001,798.9090909090909,69.72239,305.3541738256018,2768.2,2227.5322313636366,25,63.33668730295323,1577.7633950608326
362.72424,167001,913.4545454545455,71.236404,298.7838632718295,2721.9,3271.917554545455,29,58.601218520789295,3629.3848844609065
299.59485,168001,841.5454545454545,75.49204,267.61372297722943,2618.4,2161.7322926363636,27,71.24213317633236,1131.638285437251
,168043,,,,,,,,
377.3137,169001,1000.0,53.548122,319.0214857628816,2738.4,3698.531173545455,32,39.04371379963503,3780.66941006452
371.6074,170001,895.7272727272727,67.57733,326.925050815977,2933.8,3180.6689782727276,28,56.03764063055434,3768.629273289387
,170887,,,,,,,,
373.64716,171001,917.1818181818181,72.39696,315.11424859612686,3048.2,3363.8775613636362,29,60.65342160237471,3865.7386462246263
363.3748,172001,622.6363636363636,126.62292,245.72626427051853,2939.0,2248.791929363637,20,116.9967972380456,3649.5959481083028
377.0746,173001,869.2727272727273,66.50758,334.70695008223817,2957.3,3373.516650090909,27,41.79038505883567,4054.344219155417
378.80334,174001,877.2727272727273,55.635677,331.55475155967656,2973.9,3411.4892674545463,28,32.35885109413314,3635.7945830126046
,174494,,,,,,,,
376.64694,175001,771.0909090909091,69.31953,326.2826507612941,3087.8,2994.260562727273,24,47.3306910766576,1082.5985115336357
386.3923,176001,1000.0,52.711525,313.1237949952114,3136.5,3757.453127181819,32,41.64628528065414,3841.9347774816597
,176903,,,,,,,,
382.71805,177001,910.1818181818181,59.47947,334.0606687643996,3242.5,3482.644165818181,29,39.77450177731944,2776.139401134384
385.59357,178001,949.7272727272727,58.415672,329.4978288556104,3278.9,3658.0321042727273,30,39.201808815477115,3882.334748332431
367.7843,179001,950.8181818181819,53.715763,327.92431363652327,3307.5,3459.0805414545453,30,39.353674114009436,4087.1044021051403
385.1911,180001,919.2727272727273,72.07366,316.0555855277541,3325.3,3526.1765099090912,29,54.65139457444463,3890.8914756634395
,180784,,,,,,,,
394.205,181001,961.3636363636364,54.975956,335.01440067854503,3497.0,3813.2461115454544,31,33.16607842784918,4044.4559177070732
395.54675,182001,998.3636363636364,58.63756,327.3427316343432,3553.6,3844.6776239090905,32,42.91267130423474,4042.6726477543734
395.4093,183001,916.1818181818181,66.48133,324.02963854807876,3558.2,3480.004569272727,29,54.903882028041046,3814.09078074158
380.51233,184001,965.9090909090909,62.33434,330.7523744325426,3566.0,3504.5095829090906,31,52.017855875659805,3350.1994021755254
,184526,,,,,,,,
397.29794,185001,1000.0,65.69866,330.95797448881063,3616.7,3790.0378228181817,32,51.0589864451964,4033.726598080007
366.90408,186001,713.1818181818181,92.37747,301.3256633291587,3461.6,2385.215838363636,22,86.41663078120929,3930.171540575149
404.1464,187001,1000.0,53.851273,344.46375242743403,3547.8,4108.131008636365,32,27.435236734773692,3940.2015223488524
,187531,,,,,,,,
386.51407,188001,1000.0,53.527775,339.9454003594626,3565.6,3879.324265272727,32,32.236254753482136,4256.577704662797
387.5718,189001,1000.0,57.586754,335.1161293427712,3618.7,3766.109723454545,32,44.13735866679293,3986.374784122058
390.81073,190001,1000.0,58.421192,354.7380550189299,3631.6,3882.430903727273,32,37.686705681274226,3952.4406246543326
,190430,,,,,,,,
390.59134,191001,756.6363636363636,114.18801,287.8727752643762,3577.7,3012.726028454545,24,98.31460545087337,16.979615228056204
410.5234,192001,1000.0,55.70902,355.1883481780868,3607.7,4168.7991218181805,32,28.80711906784866,4228.280148213861
383.4277,193001,901.2727272727273,78.39471,309.39061752134535,3596.6,3432.656884818182,29,61.781452213200424,4237.146840243468
411.0254,194001,958.5454545454545,61.12095,345.61386251508304,3624.1,3947.1891101818183,30,35.802249883155824,4158.503615361315
,194375,,,,,,,,
394.33444,195001,839.3636363636364,68.303215,353.1396797086156,3703.9,3304.3978345454543,27,43.06582497699367,4247.347056614086
