#{"t_start": 1641847556.8953052, "env_id": "HalfCheetah-v2"}
r,l,t
-187.413188,1000,37.036716
-200.574324,1000,66.062055
-193.863296,1000,95.467148
-243.42589,1000,125.240687
-366.622893,1000,155.738541
-314.710656,1000,185.94427
-184.381727,1000,217.131491
-141.274327,1000,248.612994
-324.288072,1000,280.256799
-442.886733,1000,312.095796
-218.111892,1000,344.314502
-269.665359,1000,376.747512
-270.693718,1000,410.147084
-367.350074,1000,443.635472
-269.397007,1000,477.918243
-229.492567,1000,512.476205
-343.677816,1000,547.493487
-380.493211,1000,582.913579
-157.411825,1000,618.205341
-230.248174,1000,653.614767
-235.737537,1000,689.823308
-284.96316,1000,726.270098
-274.81347,1000,762.872492
-364.39508,1000,800.535452
-252.205674,1000,837.787312
-460.707675,1000,898.382183
-460.418781,1000,957.582997
-580.954216,1000,1017.023702
-513.56614,1000,1077.30048
410.346267,1000,1137.651756
975.618131,1000,1197.972509
1099.176748,1000,1258.57074
1492.517079,1000,1322.280409
1637.783968,1000,1386.463151
1878.961693,1000,1451.159984
1959.945963,1000,1515.35062
2404.520101,1000,1581.164623
2505.826314,1000,1646.428455
2409.407182,1000,1711.828818
2409.646117,1000,1777.924464
2436.22959,1000,1844.151832
3054.853854,1000,1910.964169
3051.240727,1000,1977.911616
3149.356352,1000,2045.859508
3251.838806,1000,2114.144702
3468.341982,1000,2183.939802
3495.134105,1000,2253.864228
3369.48926,1000,2323.955303
2716.972536,1000,2394.673119
3661.870134,1000,2466.051997
3369.789962,1000,2537.807664
1527.179647,1000,2610.090345
-170.379195,1000,2682.38318
3905.221461,1000,2755.163205
3861.869069,1000,2828.684642
2252.856818,1000,2902.608417
3834.61754,1000,2976.957123
-24.12568,1000,3052.030231
442.852845,1000,3127.29915
4018.758612,1000,3203.040526
4127.695534,1000,3278.60942
3986.244113,1000,3354.989081
4503.450455,1000,3432.026651
1974.756151,1000,3509.217559
4415.216583,1000,3586.750977
4285.008263,1000,3664.213799
4577.67843,1000,3742.459319
4033.308045,1000,3820.872559
4217.977581,1000,3900.196599
4655.775502,1000,3980.119252
4846.460322,1000,4061.145993
4800.08681,1000,4141.603578
5037.310913,1000,4223.071192
5000.671914,1000,4304.723805
5069.202446,1000,4386.115707
5206.021116,1000,4467.768808
5196.253267,1000,4550.116909
5139.437429,1000,4632.986004
5245.377512,1000,4716.88595
5201.333023,1000,4801.109281
5395.589292,1000,4885.378184
5369.429919,1000,4969.758989
5342.882507,1000,5054.737681
5408.607025,1000,5138.908455
5594.655161,1000,5222.728638
5714.385375,1000,5306.46485
5823.344958,1000,5390.50143
5655.579975,1000,5476.149087
5397.310072,1000,5561.680653
5687.926434,1000,5647.619681
5690.321349,1000,5734.4103
5751.18592,1000,5820.352902
5667.944572,1000,5912.468472
5833.468305,1000,6004.295624
5557.962707,1000,6096.056717
6030.079349,1000,6186.522513
6132.586006,1000,6277.60175
5996.580146,1000,6368.877182
6096.767609,1000,6460.268222
6099.724232,1000,6552.133766
6026.795294,1000,6644.090597
5989.942049,1000,6736.283543
6079.76725,1000,6828.077948
6333.393393,1000,6921.312886
6065.254546,1000,7014.863372
5931.426054,1000,7107.884526
6242.617092,1000,7200.989374
6116.525604,1000,7296.84225
6392.563768,1000,7389.761788
6559.178613,1000,7482.532407
6465.172865,1000,7576.179997
6351.830153,1000,7670.627108
6568.915127,1000,7764.671198
6478.788286,1000,7858.756626
6567.192196,1000,7952.644212
6603.683986,1000,8046.879898
6591.932571,1000,8140.607855
6547.581446,1000,8234.48655
6387.950939,1000,8328.270721
6623.237251,1000,8422.427469
6736.747496,1000,8515.044504
6678.788915,1000,8608.826385
6615.007392,1000,8704.046324
6546.094824,1000,8798.727592
6723.610763,1000,8892.272443
6718.953045,1000,8986.072132
6913.903619,1000,9079.356544
6827.834639,1000,9172.929663
6935.335109,1000,9266.343975
6963.438937,1000,9360.381195
6848.323321,1000,9454.394578
7100.083131,1000,9548.766128
6825.114953,1000,9641.89354
6890.085587,1000,9735.846274
7004.425335,1000,9829.753446
7115.307463,1000,9923.160183
7055.421263,1000,10017.253901
7004.18894,1000,10111.330844
7308.379933,1000,10206.188407
7280.864343,1000,10299.539649
7329.593925,1000,10392.618576
7259.82487,1000,10486.710176
7265.587539,1000,10580.488093
7229.140191,1000,10678.063386
7264.820154,1000,10775.690187
7295.745163,1000,10873.380662
7251.296206,1000,10971.0812
7268.625432,1000,11067.10805
7389.018077,1000,11163.97057
7334.155924,1000,11260.931474
7603.529925,1000,11356.308108
7528.703108,1000,11453.550598
7513.365885,1000,11551.10497
7569.056658,1000,11649.206194
7522.94172,1000,11745.345916
7311.383522,1000,11842.775638
7362.205083,1000,11940.681542
7664.615994,1000,12038.382258
7705.216878,1000,12135.796158
7629.175087,1000,12233.214538
7541.100852,1000,12330.471567
7680.544675,1000,12428.039508
7760.116073,1000,12525.365659
7822.879837,1000,12621.471221
7871.663391,1000,12718.254313
7659.948505,1000,12815.207456
8063.361787,1000,12912.652533
7659.467838,1000,13009.265301
7939.453337,1000,13107.404308
7900.023968,1000,13205.281803
7983.340982,1000,13301.421627
7510.48237,1000,13398.348228
7853.317022,1000,13495.910212
8004.69466,1000,13593.598815
7659.142197,1000,13691.3566
8125.341134,1000,13788.710774
8098.902305,1000,13885.6425
8128.662793,1000,13981.377244
7855.662618,1000,14074.367162
7535.399379,1000,14166.244585
7774.380697,1000,14257.494182
8045.894424,1000,14348.853024
8089.957597,1000,14439.961624
8158.890583,1000,14532.283027
8246.163786,1000,14625.049474
7842.814272,1000,14716.917446
8116.629632,1000,14809.057086
8365.930301,1000,14901.132473
4818.669042,1000,14993.066046
8159.949092,1000,15085.169536
8143.210042,1000,15176.649576
8479.201265,1000,15268.84813
8367.036911,1000,15360.669114
8524.628404,1000,15452.138523
8287.182544,1000,15543.403222
8199.271117,1000,15634.796322
8625.914087,1000,15726.193024
8333.040858,1000,15817.705663
8389.50864,1000,15909.147801
8336.36506,1000,16002.888597
8535.359606,1000,16095.314432
8604.248835,1000,16186.658779
8619.883851,1000,16278.599743
8675.500846,1000,16370.652189
8721.171449,1000,16462.783217
8788.549229,1000,16554.684116
8590.683869,1000,16646.852907
8566.74632,1000,16738.865889
8758.050607,1000,16831.910997
8820.673275,1000,16924.089021
