eval_eplenmean,eval_discount_q,eval_ep_rewmean,eval mean 100 episode reward,eval_returns,eval_qs,eval_qs_difference,total timesteps,eval_abs_qs_difference,eval_time_elapsed
1000.0,-36.825375987285916,-353.26212354545453,-353.4,-351.8356140255028,-1.2144313,30.466068724334004,1,30.4828,26
1000.0,-36.33224329984947,-356.05844818181816,-355.7,-332.96761252221916,-1.2099541,30.798998523014152,1001,30.80525,26
1000.0,-33.29781623620158,-353.7761771818182,-354.7,-345.1932204102457,-1.2168518,30.86428205747546,2001,30.88515,26
1000.0,-33.213001038337566,-326.58688563636366,-347.2,-356.3390610426345,-1.2156161,28.1549853448574,3001,28.161768,26
,,,,,,,4000,,
1000.0,-34.7271038684618,-331.92022127272725,-344.3,-344.5308450252717,-1.2189678,28.53507100124436,4001,28.565523,26
1000.0,-34.9947921686772,-345.2548199090909,-344.1,-368.6453700664406,-1.2161775,29.844820171511845,5001,29.85071,26
1000.0,-35.59089523187717,-345.02274736363637,-344.5,-346.2548423685438,-1.2150583,29.763717739900564,6001,29.773775,26
1000.0,-38.72056372757302,-354.57053454545456,-345.8,-350.4986727101028,-1.2173991,30.406318526413642,7001,30.413023,26
,,,,,,,8000,,
1000.0,-39.38222296927122,-353.7812448181818,-346.3,-383.41538089343067,-1.2120223,30.267262047322035,8001,30.278809,26
1000.0,-30.643918526234373,-339.16195890909097,-345.5,-350.87762376238305,-1.214626,29.66782190038166,9001,29.69848,26
1000.0,-39.085190424988326,-351.4660738181818,-344.3,-378.2453461857188,-1.2148707,30.062302847502302,10001,30.079987,26
1000.0,-34.816837103721724,-337.5760422727273,-343.3,-331.07789439661764,-1.2174506,29.093286678321547,11001,29.100666,25
,,,,,,,12000,,
1000.0,-35.84342556989591,-345.5141274545454,-344.8,-315.9493469757293,-1.2171111,29.785802376372033,12001,29.795618,26
1000.0,-35.47398601371663,-338.7207656363637,-344.5,-395.3962391457409,-1.2163357,29.14381634579884,13001,29.15739,26
1000.0,-36.31726957124999,-339.1277883636364,-345.1,-339.9687413368384,-1.2139012,29.10346802872152,14001,29.124596,26
1000.0,-36.568913435384964,-348.9473244545454,-345.5,-326.5597268582174,-1.2142549,30.060155271599992,15001,30.07317,26
,,,,,,,16000,,
1000.0,-37.45769001247493,-339.67253090909094,-343.9,-304.25721461998324,-1.2200385,29.03890328125981,16001,29.0644,26
1000.0,-37.325230602992505,-347.2943839090909,-342.8,-413.96182805527275,-1.2133242,29.82091644937614,17001,29.82707,26
1000.0,-35.31914719042941,-340.148047,-343.3,-352.59649693608947,-1.2170653,29.30114375441052,18001,29.315504,25
1000.0,-33.733762251834804,-344.8216119090909,-342.8,-325.1285331225862,-1.219717,29.922801755571076,19001,29.930483,25
,,,,,,,20000,,
1000.0,-33.96587439143665,-344.1439021818182,-342.9,-334.033876136827,-1.2156733,29.836095358959483,20001,29.841978,26
1000.0,-38.77197609126584,-350.2918322727273,-342.9,-368.0072733070262,-1.2183715,29.97238616578816,21001,29.979218,25
1000.0,-33.81384828074909,-331.27523327272723,-344.1,-301.810959865927,-1.2220185,28.557933786428734,22001,28.564192,25
1000.0,-35.748767353240694,-347.70661509090905,-343.8,-369.5051565737166,-1.2173446,30.01418890460991,23001,30.018799,26
,,,,,,,24000,,
1000.0,-36.041279177711324,-336.3735676363636,-342.5,-388.4274754390536,-1.214226,28.85504413894657,24001,28.865267,25
1000.0,-57.93115632158209,-597.2367220909092,-367.4,-597.45283637136,-1.2974482,52.69103956078283,25001,52.69264,26
1000.0,-60.150564000775404,-662.057907909091,-402.4,-671.5377918300177,6.3480897,66.59897448015307,26001,66.598976,26
1000.0,-25.252307369478487,-494.4367820909092,-420.2,-580.1734072806315,6.1334324,53.07713276948519,27001,53.077133,25
,,,,,,,28000,,
1000.0,-38.11500161469268,-697.2724298181818,-457.4,-733.0578924145425,6.7052917,72.65915040727485,28001,72.65915,26
1000.0,22.34172651337249,211.68673454545453,-406.0,219.3446826973772,38.401108,19.444263864200703,29001,19.444265,26
1000.0,97.92048488916583,1035.6893088181819,-261.8,1032.4594204778177,53.924374,-39.95043099129905,30001,43.34953,26
1000.0,107.21473912791016,1158.048364090909,-98.4,1170.4474521665613,59.911045,-45.27953078442585,31001,49.10107,25
,,,,,,,32000,,
1000.0,123.97120104734107,1402.398715090909,91.0,1441.6314340679212,106.90197,-21.064761023432855,32001,32.468685,26
1000.0,151.68834223697266,1740.4792919090908,315.8,1737.8009867891415,122.356415,-36.67436365922301,33001,48.302574,26
1000.0,178.81989102562324,2054.489286454546,599.9,2052.0959455125576,157.83665,-29.90911033502673,34001,46.98322,26
1000.0,184.98597725748468,2106.143054090909,902.5,2095.983364364167,174.56557,-17.73514745226471,35001,38.962063,26
,,,,,,,36000,,
1000.0,202.80646810173266,2341.9638052727273,1214.0,2344.402295212252,204.25415,-9.86437870937777,36001,37.298668,27
1000.0,207.87743825167198,2404.322298,1551.2,2417.578046768636,213.79286,-6.059501474198209,37001,35.94898,26
1000.0,236.6737916688639,2842.541902090909,1855.3,2841.426987900146,242.44052,-18.382949704440858,38001,49.754696,26
1000.0,212.8623825901348,2630.1622918181815,2049.7,2572.8957360134395,244.67831,2.735465077806636,39001,62.65094,26
,,,,,,,40000,,
1000.0,230.73280505720166,2569.081935,2204.1,2918.9776788483055,265.91208,31.846451090275266,40001,48.998314,26
1000.0,257.81322069472793,3141.3844050000002,2399.2,3003.9514856093206,308.69763,20.082672433310098,41001,39.870853,26
1000.0,277.62539620882706,3439.517455363636,2584.7,3836.267597122466,321.81778,5.35095655268536,42001,46.918545,26
1000.0,271.9036820387069,3284.17386190909,2731.3,3321.149169255738,336.57507,35.076159902894865,43001,37.32578,26
,,,,,,,44000,,
1000.0,302.2130941819967,3600.4587326363635,2893.9,3612.9499095988244,343.30652,13.17974439821462,44001,43.918613,26
1000.0,310.3027858301079,3820.6718098181814,3059.3,3800.7904320186108,349.21094,-2.136237180039049,45001,54.212215,26
1000.0,322.0264660684851,3972.077099818182,3231.5,3961.913283888193,350.23654,-15.090550870270482,46001,62.80908,26
1000.0,284.4252203530238,3044.879555,3266.8,3506.9636115285425,332.94608,56.61624865580548,47001,58.42029,26
,,,,,,,48000,,
1000.0,300.43630161826593,3610.504868272728,3376.1,3520.0861719791155,369.25394,37.9466604463281,48001,42.071487,26
1000.0,340.4565698675901,4180.276623181818,3546.2,3728.9063590063743,375.71262,-8.60980708723806,49001,63.143898,26
1000.0,350.2249077439883,4368.030109181817,3681.9,4377.770581894515,380.19052,-21.940218269647993,50001,70.377075,26
1000.0,344.46966855584793,4012.241017090908,3762.2,3811.635307037153,380.18585,13.064266948773628,51001,53.81631,26
,,,,,,,52000,,
1000.0,364.00899375345,3764.855452727272,3805.2,4226.055460143647,351.5991,11.150459268415574,52001,82.42528,26
1000.0,330.3162272976793,3502.2745256363637,3799.6,4130.740559629812,347.31027,29.784108828255786,53001,80.84883,26
1000.0,337.3541399918269,3277.2810394545454,3747.9,3889.8554353767267,347.85974,53.529715146855274,54001,66.36696,26
1000.0,352.6101401194007,2983.5038533636366,3657.0,2410.1478327150644,310.66214,47.220126527339765,55001,70.41209,26
,,,,,,,56000,,
1000.0,271.6714511509356,691.716686,3395.5,1664.6112312584512,180.39233,138.11613627774986,56001,138.37384,26
1000.0,355.0420524200118,2724.3571875454545,3308.3,776.2675797688275,331.69617,94.40959754434151,57001,99.558685,26
1000.0,333.1306800430778,2474.4684481818176,3123.1,1409.176491286292,327.05164,112.5847213278199,58001,112.936005,26
1000.0,333.3106393368232,3142.630312090909,3011.1,146.30642223506732,384.76712,103.50184244315241,59001,103.662506,26
,,,,,,,60000,,
1000.0,370.09395204985145,4263.652242909091,2985.5,4238.451944991557,474.7537,85.0277668221005,60001,85.05307,26
1000.0,393.46271898086,3866.7334407272733,3035.0,1252.794065628513,407.84512,60.12458978157761,61001,82.53301,26
1000.0,394.17131286172645,4440.261133727273,3104.1,4697.55783580237,462.26218,57.25897315895827,62001,67.83484,26
1000.0,406.0085280421381,4824.706347363636,3226.6,5224.708449784679,472.05292,29.77714365041822,63001,71.94041,26
,,,,,,,64000,,
1000.0,418.0015216648106,4669.108751272727,3437.0,5091.883499189005,467.77753,42.24878294258959,64001,72.56874,26
1000.0,391.3243697860493,4850.445272545454,3851.2,4579.432740893082,499.04083,52.73744562772215,65001,64.68403,26
1000.0,347.0322949374517,4541.414663,4065.8,4649.834577948373,489.09686,69.3115659430067,66001,80.42286,26
1000.0,453.6967738902369,5596.769318909091,4393.4,5851.976366760478,514.3897,-0.37126677006115083,67001,79.45761,26
,,,,,,,68000,,
1000.0,366.87284921018653,4530.222530727274,4569.6,4589.208415806715,503.25,86.54813958288646,68001,87.07869,26
1000.0,437.5254389507614,5395.619580454546,4728.7,5513.250785050537,521.7151,25.46814830801162,69001,64.98831,26
1000.0,405.38384918633585,5153.855117454546,4848.3,5077.6458927414205,521.4307,46.178203323039284,70001,58.66355,26
1000.0,401.72323263612964,4828.498585363636,4949.0,2932.331813081005,507.94864,64.86938318719017,71001,76.60102,26
,,,,,,,72000,,
1000.0,438.60570099945016,5316.982423181818,4987.6,5351.272782539073,526.7539,38.47764496865117,72001,61.35225,26
1000.0,431.4397464605699,5283.715450272727,5051.4,5559.050476083775,518.663,33.00398981178825,73001,76.100784,26
1000.0,454.39779509261314,5552.427476,5119.4,5581.50928312196,537.6405,27.38310374436853,74001,64.92073,26
1000.0,449.30766822906213,5441.230835909091,5221.0,5398.663794200988,539.402,39.760375297785636,75001,58.775307,26
,,,,,,,76000,,
1000.0,439.66492001189914,5467.734407454546,5225.6,5582.855211875966,541.17926,37.932696536817836,76001,60.867847,26
1000.0,461.80654966948856,5624.912907636364,5321.4,5803.0023897449055,547.07855,30.30607105443586,77001,65.68434,26
1000.0,471.2701815087985,5658.676858454545,5369.3,5786.388226520981,548.0828,28.87088683559334,78001,66.10143,26
1000.0,492.171102498969,6217.280003727272,5472.7,6205.71230020871,558.31885,-14.684163640841689,79001,92.59044,26
,,,,,,,80000,,
1000.0,482.95128007678267,6050.58998381818,5587.3,6106.838547426721,562.63306,5.386257164197715,80001,78.62778,26
1000.0,499.4614703049908,6350.667370818181,5726.6,6172.054235412415,566.83276,-18.787337806286803,81001,96.502815,26
1000.0,473.9484584831967,5750.251744090909,5783.2,6010.927264175565,558.43964,30.33543134271537,82001,81.922554,26
1000.0,472.45791040460887,6278.999598909091,5859.2,6508.944026356419,569.2989,-11.827754244955196,83001,95.13264,26
,,,,,,,84000,,
1000.0,468.8046484156302,5800.875577090908,5902.2,5780.972139975586,571.9049,38.22902635634819,84001,63.129868,26
1000.0,485.5556711350871,6084.283489545455,5970.5,6011.695582002916,578.06976,17.711436760236232,85001,73.5935,26
1000.0,513.3170352473754,6489.755194727273,6064.7,6465.772103164515,586.26666,-11.890464844423036,86001,96.64782,26
1000.0,485.0989466334652,6195.287386818181,6124.9,6145.293484400429,582.14545,10.64146495664146,87001,84.03321,26
,,,,,,,88000,,
1000.0,485.480219038279,5953.929017090909,6111.9,5696.861710350925,588.18713,40.856812602696024,88001,69.21935,26
1000.0,508.76986975849525,6575.18675881818,6160.5,6579.6991322753365,599.03455,-8.115962820724224,89001,96.57107,25
1000.0,495.3546489743227,6333.372738727272,6165.3,6053.281647180443,599.1932,14.896012649320637,90001,81.53123,26
1000.0,524.1867793442166,6720.341255454545,6259.5,6773.278429864348,604.0277,-16.111952162249466,91001,99.765305,26
,,,,,,,92000,,
1000.0,520.8739488953274,6679.0663888181825,6313.7,6555.849072667522,607.18677,-9.153389189640734,92001,93.76557,27
1000.0,497.2102187719019,6119.388027818181,6342.5,6088.940566306783,598.27905,35.564078250239874,93001,70.934204,26
1000.0,510.2792746841045,6351.338975272727,6373.4,6385.514051637854,613.54663,28.930381534331207,94001,73.243095,26
1000.0,559.0522763463622,7422.714718636364,6473.8,7433.030219144411,618.3093,-68.61594813400174,95001,143.02745,26
,,,,,,,96000,,
1000.0,532.2211149537659,7003.037181909091,6561.4,7062.903315998303,619.28156,-28.332255998159493,96001,109.52969,26
1000.0,529.8181845091299,6717.925285363636,6638.5,6808.83310595236,624.0057,4.665170195043681,97001,90.62179,26
1000.0,535.8713830754166,6882.252090818181,6687.2,6820.40596164394,621.1869,-13.987041401762916,98001,102.656425,26
1000.0,527.3911158893229,6649.41412809091,6718.1,6668.761334512387,628.72925,15.999544616399383,99001,81.977264,26
,,,,,,,100000,,
1000.0,548.6641655017172,7020.62326809091,6757.7,7010.49061874154,635.156,-12.588568556840839,100001,103.3938,26
1000.0,525.5759331828647,6703.82145890909,6761.9,6604.169408922401,641.56274,23.212565710205965,101001,81.12835,26
1000.0,515.7566165919924,6412.8197231818185,6788.6,6340.373992068051,641.11914,50.89702897712426,102001,67.77935,26
1000.0,545.0007064183369,6952.664884363636,6851.9,7009.971075211471,643.2117,1.9002014880575808,103001,94.0583,26
,,,,,,,104000,,
1000.0,532.9905865876013,6789.583601545454,6805.9,6747.53375688285,643.08496,16.89264112388271,104001,86.28966,26
1000.0,531.6727936487572,6734.891330727271,6770.5,6690.958708953294,648.05493,27.201460627051265,105001,79.235054,26
1000.0,540.6361697595438,7384.20005718182,6827.0,7757.113347105388,653.04047,-31.856547505313074,106001,118.90166,26
1000.0,527.2117279461786,6518.041557818182,6799.2,6488.985830218944,645.7107,46.10047088802432,107001,72.84628,26
,,,,,,,108000,,
1000.0,553.0626914961492,7077.5080677272745,6838.6,6973.151832171344,656.1717,3.174124879292828,108001,96.95942,26
1000.0,535.1375084840897,6620.210094181818,6805.7,6576.949473049117,660.76855,51.726169716174155,109001,69.96346,26
1000.0,556.0297702942981,7205.456851999999,6847.0,7226.396263794539,667.1514,1.652718022143848,110001,98.14379,26
1000.0,557.0986373948928,7061.045722818182,6914.3,7123.342341452906,671.1614,20.20959750794909,111001,86.89785,26
,,,,,,,112000,,
1000.0,512.5172309038875,6482.886242818183,6882.1,6438.483973251433,666.1697,68.62023157223626,112001,73.84055,26
1000.0,548.5208982609606,6923.772389,6886.4,6825.122590814089,667.65924,29.58560959286767,113001,81.30927,26
1000.0,571.6428514253565,7227.923156090909,6937.4,7216.238183503888,676.6807,10.481029588613616,114001,93.61084,26
1000.0,567.6790172234823,7143.029008727272,6931.7,7126.627302049105,677.98004,19.877341144491837,115001,89.3154,26
,,,,,,,116000,,
1000.0,570.1227531709172,7340.811743363636,6996.7,7324.3132628155545,689.85443,12.215442676348609,116001,94.19441,26
1000.0,529.5812677761246,6455.383709181819,6947.8,6406.8853722944195,676.288,83.1782327715981,117001,89.4734,26
1000.0,558.4587200456034,7040.380479727272,6979.1,6962.595072045054,684.6013,35.850733607020786,118001,84.468376,26
1000.0,576.6589700278007,7736.038406181819,7039.5,7950.120091314205,696.3116,-20.203056960655918,119001,113.94209,26
,,,,,,,120000,,
1000.0,576.6318389037949,7417.492078454546,7081.6,7429.667042482045,699.10065,14.438057754732426,120001,94.0632,26
1000.0,583.8598418546725,7641.853729,7195.5,7510.791508196489,705.5082,-0.8750920356844745,121001,105.453125,26
1000.0,582.5787986081797,7654.284456272727,7284.0,7749.475351493431,707.7085,-0.04465403559504466,122001,103.192375,26
1000.0,571.627070692406,7403.636023181817,7312.8,7336.135423310611,703.9026,20.13010995734481,123001,91.35637,26
,,,,,,,124000,,
1000.0,567.367784240779,7235.512101,7322.4,7264.85456259721,707.61206,40.2303221564905,124001,81.99384,26
1000.0,577.5479839037797,7458.703409454546,7337.8,7364.906481487273,706.04584,17.352752405690993,125001,92.4648,26
1000.0,582.5957994700049,7513.764005181819,7434.8,7466.210405464762,711.80334,18.103989393313565,126001,93.84395,26
1000.0,545.3085954825939,6982.565381363636,7443.7,7024.081795829255,706.7469,62.47588893567434,127001,74.88462,26
,,,,,,,128000,,
1000.0,579.3546212348607,7517.058371727273,7432.1,7422.4238921774395,712.9004,18.550677599401897,128001,95.05718,26
1000.0,565.5615030835622,7299.930119818182,7412.5,7384.782360991954,710.12946,36.12700465131402,129001,84.78803,26
1000.0,574.279943165883,7340.133111,7383.0,7273.437391938291,716.365,39.20537132658557,130001,83.168144,26
1000.0,579.5839594151016,7379.680066272727,7354.9,7410.635509418356,720.734,40.14484742606655,131001,82.115265,26
,,,,,,,132000,,
1000.0,577.7441138804564,7451.772971272727,7351.6,7467.576709009353,723.3261,35.34546989126161,132001,87.31564,26
1000.0,566.8200436545,7255.40501790909,7354.9,7186.759067762029,725.01697,55.59166140843941,133001,78.19622,26
1000.0,578.9616553054138,7565.050605727273,7366.8,7560.9386758648525,732.57117,33.38330474376944,134001,88.242325,26
1000.0,603.3282198898629,7844.904898636363,7401.2,7857.086818204902,733.3469,8.585872236042116,135001,103.08426,26
,,,,,,,136000,,
1000.0,584.6311878264825,7608.882500727272,7462.5,7626.940378882444,734.7618,31.752067245830983,136001,88.78173,26
1000.0,607.381969480443,7795.730979909091,7498.6,7896.224403195713,738.06366,18.62131005850573,137001,98.170044,26
1000.0,597.7615056075751,7792.243030727273,7551.5,7868.475181358912,741.61914,21.573215500759673,138001,95.11793,26
1000.0,588.9091860517933,7647.380754090909,7588.1,7632.1302973271695,744.2732,37.83711072674821,139001,86.32423,26
,,,,,,,140000,,
1000.0,609.7456470153965,7954.229934181818,7648.6,7987.469941950293,748.0178,12.959597968434185,140001,103.03909,26
1000.0,604.222779531508,7781.456203454546,7688.7,7811.292660238167,746.68146,28.353892347674353,141001,94.18997,26
