eval_eplenmean,eval_returns,eval_discount_q,eval mean 100 episode reward,eval_qs,eval_abs_qs_difference,eval_qs_difference,eval_time_elapsed,eval_ep_rewmean,total timesteps
1000.0,-437.6695242013869,-44.7044968308758,-460.8,-1.3288709,40.11589,40.11309474868638,27,-458.6771095454545,1
1000.0,-402.03032521260695,-42.324727333567914,-453.6,-1.3339319,38.871376,38.864734165407285,27,-443.8881395454545,1001
1000.0,-469.70722542635207,-44.33746856893317,-444.2,-1.3392144,37.52083,37.51264164562928,27,-432.412654,2001
1000.0,-505.1546468179404,-46.03926262080069,-444.4,-1.3350319,38.919125,38.91337219579159,26,-448.0629093636364,3001
,,,,,,,,,4000
1000.0,-491.1218955317918,-45.64779880066579,-443.0,-1.3386025,37.798885,37.79345539987384,26,-436.51190136363635,4001
1000.0,-442.03559907481707,-47.165988093862296,-447.4,-1.3303767,40.424847,40.41869477126947,27,-464.1850437272727,5001
1000.0,-464.2566208524701,-42.53523721893442,-446.5,-1.3330188,38.78782,38.783086592128406,27,-443.270938,6001
1000.0,-394.33633969528915,-43.08194908623778,-447.5,-1.3278588,39.24656,39.23840853110063,27,-448.31380336363634,7001
,,,,,,,,,8000
1000.0,-475.8532467871265,-43.64734119729054,-448.9,-1.3363804,41.038483,41.035004028075925,27,-466.9247122727273,8001
1000.0,-432.3022379425062,-45.203463382231966,-446.9,-1.3378447,38.14492,38.14034803205025,27,-439.5333556363637,9001
1000.0,-468.77114288007454,-48.360944850621145,-447.7,-1.3390979,39.338783,39.3346686301357,27,-454.61500036363634,10001
1000.0,-410.3968981606637,-43.16837558350376,-448.7,-1.3259166,37.945774,37.94030524555203,27,-435.3989094545455,11001
,,,,,,,,,12000
1000.0,-417.3921241542765,-40.44146353616434,-447.6,-1.336154,38.055496,38.05209054203265,27,-433.9194929090909,12001
1000.0,-414.02651372998594,-48.26229716045495,-448.1,-1.3280314,38.279392,38.27554499857933,27,-443.81543800000003,13001
1000.0,-398.64384396808356,-42.52201318279537,-447.0,-1.3388556,39.192745,39.18874511615541,27,-447.37280009090915,14001
1000.0,-431.95374083037825,-44.54547359114949,-445.7,-1.33399,38.217686,38.214020705278664,27,-439.5801261818182,15001
,,,,,,,,,16000
1000.0,-463.9927413493941,-45.38191934960732,-444.9,-1.3406559,39.81744,39.81309645741449,27,-456.4656238181818,16001
1000.0,-458.2794177510924,-47.5585484079995,-445.8,-1.3332951,39.859066,39.85383259578098,27,-458.9542404545454,17001
1000.0,-422.58350524609364,-48.20056900372295,-447.9,-1.3312504,40.33834,40.33302568208919,27,-464.36132463636363,18001
1000.0,-465.38758077688226,-42.239987871948685,-446.4,-1.3355503,38.288063,38.28171759152964,27,-437.9902678181818,19001
,,,,,,,,,20000
1000.0,-458.36127008625925,-45.840759295510885,-447.5,-1.3364588,39.444008,39.43562172971537,27,-453.1031567272728,20001
1000.0,-477.77357436184946,-44.56281450414558,-447.9,-1.333596,37.495174,37.490848371802244,27,-432.3616298181818,21001
1000.0,-477.9307086582599,-44.91759401806948,-448.2,-1.3335942,38.940937,38.93362269303442,27,-447.1405864545455,22001
1000.0,-455.7093627670733,-44.72700847858147,-446.8,-1.3404078,37.595917,37.59118245998138,27,-433.5956414545454,23001
,,,,,,,,,24000
1000.0,-458.26667453499647,-44.99204272041414,-447.8,-1.3383856,39.38705,39.382964861116584,27,-451.7556273636364,24001
1000.0,-597.6661255417731,-57.55885244386927,-462.2,-0.046423484,53.968693,53.96868948850286,27,-597.1343936363636,25001
1000.0,-315.58803417351953,-33.634211761814925,-453.2,8.300498,39.54031,39.54031058835505,27,-345.69599963636364,26001
1000.0,541.4778800990764,11.725596059551838,-412.2,15.445975,43.48321,18.556726771125742,27,-19.499178909090936,27001
,,,,,,,,,28000
1000.0,-565.3197761607018,-32.457087177614625,-415.0,6.465654,59.739697,59.739686602357025,26,-564.8728420909091,28001
1000.0,-50.86320863318201,-1.8759396743360945,-376.7,30.54904,35.82348,35.823474450066676,26,-54.60151945454545,29001
1000.0,527.9708366809409,49.311048803949205,-276.7,43.810528,9.40731,-3.9370556545031787,26,526.2937730909091,30001
1000.0,653.7135692219774,60.63201116620828,-160.0,48.292862,14.022274,-8.60493253260283,26,629.0036461818181,31001
,,,,,,,,,32000
1000.0,1343.431619005217,116.32946231971714,30.1,83.80088,46.995052,-40.472387214829986,26,1357.8988996363637,32001
1000.0,2245.2150034670694,176.92146998308667,325.4,123.04166,99.12566,-91.08692537509107,26,2316.438080818182,33001
1000.0,2083.345272643306,161.19901150293592,622.0,175.70934,42.098694,-19.057053568545786,26,2107.2509242727274,34001
1000.0,2123.1517000537997,158.90032716328668,865.1,204.49493,55.897396,38.22957888036871,26,1819.9650007272728,35001
,,,,,,,,,36000
1000.0,2383.8212209033786,190.47959251427957,1154.5,234.91307,37.532955,6.165130636311966,26,2476.0541276363642,36001
1000.0,2635.0067086684057,217.93391526375692,1481.1,248.736,31.922039,7.463870880490134,27,2628.4757916363637,37001
1000.0,2764.140868489022,197.8738797981595,1783.4,254.9855,36.11769,13.344944149278653,26,2612.3008797272723,38001
1000.0,2606.47904876249,203.9623448050121,2009.6,253.5998,47.769955,27.482751508164586,26,2463.0929784545456,39001
,,,,,,,,,40000
1000.0,2686.119089860195,209.0041217899413,2249.5,287.30463,42.52255,28.250711358877478,27,2797.4535369090913,40001
1000.0,2963.5851827428887,230.00915618983834,2406.2,301.1665,59.63678,56.222786651274895,26,2677.1462926363633,41001
1000.0,3002.2259183078027,241.5751897802845,2501.0,329.4365,52.929874,51.54591649806716,26,3018.0654517272724,42001
1000.0,623.2688359165702,274.4345533657945,2645.4,329.66888,47.91328,34.240506773515406,26,3225.973885818182,43001
,,,,,,,,,44000
1000.0,3485.306500644825,297.7019160276234,2786.1,342.57733,54.54448,24.60041261090097,26,3474.4941695454545,44001
1000.0,4367.477635246533,321.4232854803409,2997.5,377.99704,71.63277,-21.04247377376095,26,4308.6043269090915,45001
