eval_abs_qs_difference,eval_qs_difference,total timesteps,eval_returns,eval mean 100 episode reward,eval_time_elapsed,eval_qs,eval_ep_rewmean,eval_discount_q,eval_eplenmean
23.169785,23.168783076993343,1,-248.16408583547033,-251.7,27,-0.26918942,-251.3606772727273,-17.15247683772326,1000.0
23.27402,23.273045141335363,1001,-258.0016333083325,-251.5,27,-0.27083242,-252.16930381818182,-16.89952324420271,1000.0
23.145853,23.145206750637694,2001,-251.97209821476676,-251.1,27,-0.2699902,-249.76081754545456,-15.766513060778113,1000.0
23.127266,23.12619034776791,3001,-244.4924532568285,-250.9,27,-0.275715,-249.84719709090905,-15.98802411793585,1000.0
,,4000,,,,,,,
23.215385,23.215258279497846,4001,-247.31520182732365,-250.9,27,-0.27216262,-251.09511218181814,-16.38475080087317,1000.0
23.139091,23.138371072319092,5001,-241.13411845385116,-251.0,27,-0.2778697,-250.804365,-16.810057895511004,1000.0
23.252678,23.252058440538814,6001,-250.42350155915042,-251.0,27,-0.27473333,-252.07554272727273,-16.977399219976967,1000.0
23.208178,23.207278811842286,7001,-249.19365251757318,-251.1,27,-0.26827282,-251.61095854545454,-17.025699083395697,1000.0
,,8000,,,,,,,
22.9895,22.98857160726578,8001,-246.9884415081085,-250.9,27,-0.26886317,-249.0095359090909,-16.601200139319477,1000.0
23.141975,23.141487689288496,9001,-244.98013498837412,-250.7,27,-0.27717268,-250.0956447272727,-16.06973811735948,1000.0
23.277954,23.277197493444135,10001,-264.0676582338716,-250.7,27,-0.2738439,-252.2764348181818,-16.935374626137513,1000.0
22.922626,22.92142614150599,11001,-247.24452480446098,-250.5,27,-0.2763107,-247.24429272727272,-15.421135450142458,1000.0
,,12000,,,,,,,
23.09027,23.08900166383075,12001,-260.8408095577044,-250.4,27,-0.2718995,-250.5961338181818,-17.158709047148868,1000.0
23.073889,23.072564221138368,13001,-251.86431105160509,-250.5,27,-0.2717378,-250.96820627272726,-17.702208211250323,1000.0
23.119938,23.119381662065074,14001,-259.2040627869145,-250.3,27,-0.27014637,-250.8073822727273,-17.082931245455352,1000.0
23.204926,23.20387448980043,15001,-249.10392713580086,-250.3,27,-0.2686868,-249.98394027272727,-15.412451821411247,1000.0
,,16000,,,,,,,
23.056719,23.055440860409703,16001,-241.70096923456052,-250.2,27,-0.2741576,-249.5086783636364,-16.376458383260953,1000.0
22.99398,22.993160501108854,17001,-249.46481366842758,-249.8,27,-0.27489322,-247.75897263636364,-15.23074282726638,1000.0
23.23794,23.236816343945808,18001,-238.8338538902851,-250.0,27,-0.270518,-250.67862854545453,-15.762914541779843,1000.0
23.170195,23.16936333078992,19001,-254.9120793079733,-249.9,27,-0.26667595,-251.21012245454548,-17.01992917051366,1000.0
,,20000,,,,,,,
23.086218,23.08531696774145,20001,-259.5194685926465,-250.1,27,-0.27267358,-250.81340036363633,-17.407570820897657,1000.0
23.028261,23.02732675869057,21001,-248.1901825437849,-250.3,27,-0.2765067,-249.68542945454547,-16.815247236108288,1000.0
23.1366,23.13621696897763,22001,-246.85104990333926,-250.3,27,-0.27630365,-251.6892970909091,-17.741506124194732,1000.0
23.00558,23.004632069481172,23001,-252.64180523114462,-250.1,27,-0.2754328,-249.5445263636364,-16.913007706438012,1000.0
,,24000,,,,,,,
23.276588,23.276136350243657,24001,-257.7831939980948,-250.3,27,-0.2712878,-252.81292045454546,-17.513817397247642,1000.0
53.478527,53.478523174437434,25001,-594.8526166974922,-284.8,27,-0.468902,-594.1836943636364,-55.26206292218811,1000.0
52.885666,52.88566347184056,26001,-533.4923957909923,-311.5,27,8.384525,-484.8421929090909,-40.23314086349455,1000.0
42.739376,42.71059895755613,27001,-44.64857324717067,-328.5,27,9.521591,-360.976888,-29.380620624910794,1000.0
,,28000,,,,,,,
57.697433,57.69743035332095,28001,-556.6058070780563,-355.2,27,6.001051,-539.0666152727273,-22.326077866173023,1000.0
25.440125,25.440126224136794,29001,86.54378667084647,-324.9,27,32.866764,83.32991654545454,9.155054000908487,1000.0
40.71814,-37.96361501411272,30001,937.5121919011012,-204.6,27,46.467464,919.7482247272727,76.19941048251175,1000.0
40.8081,-37.45270078172091,31001,994.5819048034418,-67.6,27,53.266342,999.746389090909,93.49091736509602,1000.0
,,32000,,,,,,,
35.809982,-26.367660293268145,32001,1328.7997958839965,104.3,27,95.94878,1343.6709876363636,121.72386087184081,1000.0
68.46815,-11.000340062017399,33001,2003.057035394016,249.6,27,89.38489,1130.1177142727274,127.54083464324472,1000.0
85.45648,55.0653024881861,34001,-777.3735424503533,394.9,27,98.93649,535.248815181818,97.51215377246382,1000.0
36.8069,7.138005798411882,35001,2356.0303272918613,667.2,27,217.18246,2267.7633950909094,169.0087981232725,1000.0
,,36000,,,,,,,
41.612034,41.30271645367725,36001,2540.980365384395,986.8,27,271.60754,2517.5668697272727,216.6854773283234,1000.0
39.923595,39.871679393418354,37001,2655.3411399151305,1332.1,27,283.02716,2656.9702801818185,227.69261565818016,1000.0
36.031372,10.427763133969728,38001,3004.6004055012163,1665.5,27,288.48288,3028.099906090909,250.04926127816654,1000.0
33.797165,13.781659758959812,39001,2963.9714855251777,1910.1,27,286.72806,2984.4448172727275,257.5565402133712,1000.0
,,40000,,,,,,,
40.640446,4.569164049028173,40001,3080.4097702536556,2143.3,27,293.02585,3119.6797302727277,237.4880445992655,1000.0
85.83859,85.49722203738064,41001,2298.6657258121368,2236.8,27,272.80643,2058.574590363636,187.35590553244376,1000.0
96.41167,95.35568721791128,42001,2003.586438873055,2340.2,27,270.90204,1941.8092760909092,188.22830923270223,1000.0
54.58748,5.319531949813174,43001,3550.180807805933,2574.6,27,306.7117,3300.2577492727273,289.2284318810125,1000.0
,,44000,,,,,,,
79.47649,56.09617216813271,44001,1027.5914453241126,2685.1,27,279.6112,2490.6104116363636,258.04070181927034,1000.0
47.789627,20.078971395750553,45001,3373.9140384250713,2782.0,27,346.90704,3556.1888273636364,290.81615749563025,1000.0
59.545776,-7.180148610773327,46001,4027.2243480846505,2928.6,27,364.16824,4026.1626926363638,315.83722796915987,1000.0
41.26503,37.631251562301635,47001,3650.2142774808817,3011.0,27,376.1588,3681.5452214545453,299.2623367211641,1000.0
,,48000,,,,,,,
59.87223,-3.2409377766765086,48001,4296.035499802007,3140.6,27,385.73547,4226.837297818181,340.4778793095662,1000.0
73.37974,-20.262648153904127,49001,4403.667675839593,3289.1,27,389.58047,4453.579519363637,358.73561777368013,1000.0
59.551914,-1.0673475643582824,50001,4331.457786260679,3527.9,27,400.1908,4359.400412727273,350.32214403059675,1000.0
43.65952,26.818916059383852,51001,4140.962109727489,3766.6,27,406.79953,4138.860354727273,342.47886476667986,1000.0
,,52000,,,,,,,
52.131912,12.868474626000415,52001,4403.729866547028,3905.2,27,415.76672,4385.480943727272,360.09933616637926,1000.0
50.616306,16.159057513190632,53001,4385.560768589606,4054.3,27,418.14023,4373.32593,357.0851570200268,1000.0
55.989807,9.981240237371015,54001,4507.561225457345,4221.8,27,422.65622,4498.572664090909,375.57854607368625,1000.0
73.16997,-13.17535536652722,55001,4789.378131850083,4315.9,27,429.75858,4822.188582181818,396.8173645157627,1000.0
,,56000,,,,,,,
45.09464,32.877488033610184,56001,4278.513840322617,4387.0,27,430.9001,4344.021699272727,367.47051338126437,1000.0
56.405766,12.51902977617734,57001,4657.7249345211585,4441.3,27,439.16077,4653.337226909091,390.8281960875771,1000.0
55.812992,13.744378706683433,58001,4663.673613409016,4467.0,27,441.40598,4656.387594636363,383.60745324571235,1000.0
54.09441,18.504213164440795,59001,4647.620695205781,4497.5,27,444.16263,4638.872894090909,386.1502744024316,1000.0
,,60000,,,,,,,
52.525272,22.819512985678497,60001,4595.30617232687,4544.7,27,445.67148,4610.38052190909,385.71796549139214,1000.0
46.117977,35.80450369229987,61001,4488.9983527552495,4563.5,27,448.46085,4501.264648909092,378.4858628952892,1000.0
48.520847,29.605529165923407,62001,4564.534863435326,4588.9,27,451.91287,4610.2820598181825,391.120022785008,1000.0
50.29213,30.769215545011345,63001,4641.646376328292,4606.6,27,457.46756,4647.369530727273,384.22803543009036,1000.0
,,64000,,,,,,,
51.527077,26.841429806152334,64001,4730.649584312562,4599.7,27,459.18893,4715.600651545455,396.08675121204016,1000.0
54.205116,22.67289375146952,65001,4777.750141286053,4640.5,27,462.91757,4797.759600363636,399.30610075547196,1000.0
54.587955,22.729126088291437,66001,4850.801490328953,4664.2,27,464.80975,4817.650595181818,400.85296237943606,1000.0
68.012085,6.651028460359064,67001,5203.171816754253,4711.3,27,476.00394,5110.041629727272,420.7194638775764,1000.0
,,68000,,,,,,,
55.80229,23.70752998157116,68001,5105.481646018758,4749.4,27,481.37823,4986.540948727273,413.97335608608614,1000.0
61.17512,16.76492114921849,69001,5118.3312879087725,4807.9,27,488.81583,5146.148228727273,429.93903811301664,1000.0
58.103027,21.935889137475023,70001,5168.7132447736285,4872.9,27,492.3109,5124.991299363635,425.49610416272407,1000.0
60.151585,22.263162653206063,71001,5152.880447055656,4933.8,27,493.72058,5137.126116636364,426.82049822359164,1000.0
,,72000,,,,,,,
61.665367,20.777160003772895,72001,5200.743126245454,4993.7,27,496.7791,5187.5117782727275,431.8102040188658,1000.0
65.41682,12.12201022745635,73001,5284.140484652925,5061.3,27,501.58878,5323.455722,433.1191203341941,1000.0
69.81132,7.854716490530124,74001,5410.131441569459,5126.0,27,502.97293,5386.922640363636,440.1420834568187,1000.0
77.053955,-1.0196687822917996,75001,5586.091328209246,5206.6,27,510.51053,5559.732672545455,448.9198420423573,1000.0
,,76000,,,,,,,
