#{"t_start": 1641683003.1958938, "env_id": "Hopper-v2"}
r,l,t
19.301498,24,6.631662
17.294239,16,6.660824
14.896157,20,6.692821
12.834409,15,6.719444
16.221515,19,6.751084
11.829244,18,7.321577
10.895741,12,7.342608
20.309789,35,7.389709
24.659663,46,7.50381
7.305863,32,7.55578
70.4891,65,7.702139
9.212321,22,7.744101
10.765426,22,7.77791
11.827408,15,7.802749
13.04575,14,7.825035
17.219189,21,7.855312
8.96839,14,7.972775
14.107879,20,8.00151
14.005407,15,8.025047
24.163708,24,8.058684
8.143538,15,8.085349
16.828061,23,8.237109
62.396924,41,8.292947
13.370421,15,8.321023
45.893925,37,8.371413
14.020659,17,8.543886
20.300671,20,8.572893
10.337767,32,8.61926
14.254429,15,8.647175
9.542081,16,8.671325
9.320189,15,8.839762
4.194958,9,8.855258
14.45726,24,8.889021
24.267293,29,8.93162
8.499065,26,9.13097
87.419845,54,9.202859
7.957677,16,9.237898
9.076073,11,9.256102
161.09809,97,9.55422
14.44424,28,9.816906
43.707886,38,9.875158
10.314099,19,9.911239
27.209248,28,9.953519
14.280638,23,10.207183
16.650456,17,10.235381
107.182959,59,10.31205
7.670673,15,10.574972
10.801801,15,10.598764
14.719458,16,10.624493
9.448397,13,10.646135
37.269003,44,10.707156
28.129915,36,11.033526
9.385281,14,11.063057
10.758285,13,11.083484
6.480234,9,11.098706
11.908729,16,11.121537
13.210454,20,11.419635
7.303519,11,11.438411
13.051581,21,11.467698
19.104678,21,11.499942
29.443392,29,11.542405
26.442765,35,11.896973
11.653877,39,11.956581
21.514159,28,12.001927
11.475135,13,12.330729
11.271264,13,12.351236
21.709277,21,12.380934
13.502841,20,12.411761
9.286362,11,12.432115
5.056114,12,12.450749
8.35323,10,12.467072
11.815075,16,12.835344
9.294807,14,12.859364
4.860091,8,12.873986
25.048333,23,12.906569
9.776284,15,12.932303
13.115916,18,12.960082
28.286686,28,13.365789
29.90285,35,13.419542
13.598064,17,13.45148
93.660298,82,13.953736
11.526915,32,14.016657
7.184599,10,14.039193
12.089523,15,14.452482
86.557631,68,14.542281
7.005757,10,14.573546
7.126963,9,14.588751
21.95884,25,15.050403
10.21308,16,15.07752
9.94624,31,15.120829
9.078818,18,15.152001
10.117729,21,15.183697
21.852095,26,15.637149
17.876387,22,15.670784
11.707737,19,15.69995
8.962245,13,15.721341
29.754259,24,16.178417
20.454663,18,16.208244
22.292055,26,16.246968
12.1453,26,16.286706
20.333564,27,16.329012
54.33121,39,16.844554
5.647175,15,16.87576
11.751723,14,16.898271
12.626263,15,16.922421
26.722729,24,17.483178
9.850271,15,17.509378
26.009352,29,17.551582
40.965606,33,17.603324
15.709935,16,17.63231
7.270753,17,18.182088
19.359411,39,18.238018
14.93423,22,18.277206
13.064153,18,18.305638
12.957653,19,18.897829
12.411557,17,18.92534
6.206098,10,18.944185
15.477919,16,18.968637
11.848508,16,18.994865
8.35031,11,19.015111
34.098142,50,19.674429
19.192162,20,19.71297
