eval_discount_q,eval_qs_difference,eval_eplenmean,eval_returns,eval mean 100 episode reward,eval_ep_rewmean,eval_qs,total timesteps,eval_abs_qs_difference,eval_time_elapsed
115.70193733564405,-64.12988116909253,27.363636363636363,135.15475471131674,131.2,131.51696663636363,-2.1921084,1,64.12988,0
,,,,,,,91,,
,,,,,,,187,,
,,,,,,,275,,
,,,,,,,398,,
,,,,,,,484,,
,,,,,,,584,,
,,,,,,,665,,
,,,,,,,753,,
,,,,,,,844,,
,,,,,,,918,,
115.22849811293995,-63.83716330380084,27.272727272727273,140.18310538274798,130.8,130.91147563636366,-2.19561,1001,63.83716,0
,,,,,,,1011,,
,,,,,,,1092,,
,,,,,,,1177,,
,,,,,,,1298,,
,,,,,,,1390,,
,,,,,,,1505,,
,,,,,,,1616,,
,,,,,,,1698,,
,,,,,,,1784,,
,,,,,,,1859,,
,,,,,,,1965,,
113.98880525986056,-63.1836026533031,26.90909090909091,124.92594002473332,130.7,129.2795733636364,-2.1992252,2001,63.183605,0
,,,,,,,2059,,
,,,,,,,2165,,
,,,,,,,2269,,
,,,,,,,2359,,
,,,,,,,2464,,
,,,,,,,2565,,
,,,,,,,2705,,
,,,,,,,2795,,
,,,,,,,2885,,
,,,,,,,2973,,
112.39619222983202,-62.26374866591416,26.545454545454547,138.69044685826586,129.5,127.24797563636362,-2.217923,3001,62.263756,0
,,,,,,,3057,,
,,,,,,,3139,,
,,,,,,,3225,,
,,,,,,,3307,,
,,,,,,,3427,,
,,,,,,,3535,,
,,,,,,,3639,,
,,,,,,,3739,,
,,,,,,,3831,,
,,,,,,,3906,,
,,,,,,,3980,,
116.1720841158287,-64.3416173067769,27.545454545454547,129.2854713468154,130.2,132.14116290909092,-2.1985154,4001,64.34162,0
,,,,,,,4070,,
,,,,,,,4153,,
,,,,,,,4259,,
,,,,,,,4346,,
,,,,,,,4424,,
,,,,,,,4536,,
,,,,,,,4640,,
,,,,,,,4741,,
,,,,,,,4846,,
,,,,,,,4943,,
115.30921624763187,-63.80377413150832,27.363636363636363,129.69132926313262,130.4,131.02803409090907,-2.2053006,5001,63.803772,0
,,,,,,,5026,,
,,,,,,,5141,,
,,,,,,,5231,,
,,,,,,,5322,,
,,,,,,,5422,,
,,,,,,,5516,,
,,,,,,,5606,,
,,,,,,,5700,,
,,,,,,,5808,,
,,,,,,,5893,,
,,,,,,,5974,,
116.50659220617962,-64.50370521869515,27.636363636363637,124.6110129709161,130.8,132.57951390909088,-2.1894078,6001,64.5037,0
,,,,,,,6093,,
,,,,,,,6204,,
,,,,,,,6317,,
,,,,,,,6423,,
,,,,,,,6509,,
,,,,,,,6605,,
,,,,,,,6701,,
,,,,,,,6820,,
,,,,,,,6910,,
,,,,,,,6999,,
113.81095026653537,-62.9755398619175,27.0,129.18183851507087,130.5,129.0998251818182,-2.2024312,7001,62.975536,0
,,,,,,,7097,,
,,,,,,,7195,,
,,,,,,,7282,,
,,,,,,,7384,,
,,,,,,,7480,,
,,,,,,,7572,,
,,,,,,,7647,,
,,,,,,,7756,,
,,,,,,,7846,,
,,,,,,,7931,,
117.12171556951844,-64.89350732262056,27.727272727272727,129.52778018125994,130.8,133.36660590909088,-2.1802657,8001,64.8935,0
,,,,,,,8034,,
,,,,,,,8145,,
,,,,,,,8254,,
,,,,,,,8328,,
,,,,,,,8425,,
,,,,,,,8536,,
,,,,,,,8663,,
,,,,,,,8764,,
,,,,,,,8864,,
,,,,,,,8944,,
