eval_eplenmean,eval_discount_q,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,eval mean 100 episode reward,eval_returns,eval_time_elapsed,eval_qs,total timesteps
20.0,88.13214070891227,-48.423346319242974,96.74572581818182,48.423344,96.8,96.56194501180804,0,-0.9488142,1
,,,,,,,,,86
,,,,,,,,,220
,,,,,,,,,313
,,,,,,,,,400
,,,,,,,,,502
,,,,,,,,,616
,,,,,,,,,716
,,,,,,,,,811
,,,,,,,,,897
20.0,88.31974264624222,-48.60601328894407,96.96753945454545,48.606014,96.8,97.52897726975876,0,-0.9510421,1001
,,,,,,,,,1022
,,,,,,,,,1115
,,,,,,,,,1207
,,,,,,,,,1317
,,,,,,,,,1414
,,,,,,,,,1513
,,,,,,,,,1605
,,,,,,,,,1707
,,,,,,,,,1834
,,,,,,,,,1955
20.0,88.17079384094599,-48.502798788394465,96.79942627272726,48.502796,96.8,96.73684830664928,0,-0.9510968,2001
,,,,,,,,,2036
,,,,,,,,,2132
,,,,,,,,,2213
,,,,,,,,,2319
,,,,,,,,,2417
,,,,,,,,,2502
,,,,,,,,,2573
,,,,,,,,,2680
,,,,,,,,,2778
,,,,,,,,,2879
,,,,,,,,,2975
20.0,88.39734533680416,-48.65800378049396,97.05483818181818,48.658005,96.9,96.42461000891873,0,-0.95067304,3001
,,,,,,,,,3071
,,,,,,,,,3157
,,,,,,,,,3245
,,,,,,,,,3345
,,,,,,,,,3467
,,,,,,,,,3550
,,,,,,,,,3652
,,,,,,,,,3754
,,,,,,,,,3864
,,,,,,,,,3965
20.0,88.31303639915201,-48.589794851983534,96.95834945454546,48.589794,96.9,97.12658439817429,0,-0.9475775,4001
,,,,,,,,,4066
,,,,,,,,,4138
,,,,,,,,,4232
,,,,,,,,,4351
,,,,,,,,,4439
,,,,,,,,,4535
,,,,,,,,,4615
,,,,,,,,,4708
,,,,,,,,,4797
,,,,,,,,,4896
,,,,,,,,,4991
20.0,88.26711564928146,-48.54025169446418,96.90230645454544,48.54025,96.9,96.89641236605512,0,-0.9509413,5001
,,,,,,,,,5079
,,,,,,,,,5187
,,,,,,,,,5265
,,,,,,,,,5346
,,,,,,,,,5473
,,,,,,,,,5587
,,,,,,,,,5671
,,,,,,,,,5757
,,,,,,,,,5840
,,,,,,,,,5950
20.09090909090909,88.49289504042285,-48.626755494881394,97.188541,48.626755,96.9,97.03733163437512,0,-0.94865036,6001
,,,,,,,,,6039
,,,,,,,,,6128
,,,,,,,,,6235
,,,,,,,,,6345
,,,,,,,,,6464
,,,,,,,,,6570
,,,,,,,,,6653
,,,,,,,,,6736
,,,,,,,,,6830
,,,,,,,,,6919
20.0,88.2573319375209,-48.540718757313215,96.89251145454546,48.540714,96.9,97.09867937684842,0,-0.9519544,7001
,,,,,,,,,7010
,,,,,,,,,7102
,,,,,,,,,7178
,,,,,,,,,7265
,,,,,,,,,7355
,,,,,,,,,7428
,,,,,,,,,7524
,,,,,,,,,7607
,,,,,,,,,7688
,,,,,,,,,7785
,,,,,,,,,7887
,,,,,,,,,7985
20.0,88.39543428777829,-48.65287002462872,97.05164754545454,48.65287,97.0,96.80569476456125,0,-0.95203185,8001
,,,,,,,,,8081
,,,,,,,,,8185
,,,,,,,,,8301
,,,,,,,,,8414
,,,,,,,,,8530
,,,,,,,,,8615
,,,,,,,,,8706
,,,,,,,,,8787
,,,,,,,,,8888
,,,,,,,,,8984
