eval_ep_rewmean,eval_returns,eval_eplenmean,eval_discount_q,eval_time_elapsed,eval mean 100 episode reward,total timesteps,eval_abs_qs_difference,eval_qs_difference,eval_qs
226.072549,232.53638662540715,45.45454545454545,182.26439512998942,1,225.4,1,101.207855,-101.20786052001007,-0.862883
,,,,,,86,,,
,,,,,,191,,,
,,,,,,300,,,
,,,,,,380,,,
,,,,,,476,,,
,,,,,,587,,,
,,,,,,689,,,
,,,,,,822,,,
,,,,,,923,,,
226.0248876363636,206.57081125060338,45.36363636363637,182.2337012906896,1,227.0,1001,101.33818,-101.33816939654493,-0.8774735
,,,,,,1017,,,
,,,,,,1141,,,
,,,,,,1249,,,
,,,,,,1340,,,
,,,,,,1425,,,
,,,,,,1528,,,
,,,,,,1613,,,
,,,,,,1706,,,
,,,,,,1799,,,
,,,,,,1916,,,
228.29535909090907,215.14165017095243,46.45454545454545,183.44021788049366,1,227.2,2001,101.164375,-101.1643792876626,-0.8431015
,,,,,,2032,,,
,,,,,,2124,,,
,,,,,,2235,,,
,,,,,,2316,,,
,,,,,,2401,,,
,,,,,,2500,,,
,,,,,,2599,,,
,,,,,,2703,,,
,,,,,,2786,,,
,,,,,,2866,,,
,,,,,,2968,,,
223.7601749090909,244.71082652942437,45.18181818181818,180.5725840198191,1,225.6,3001,100.03925,-100.03925125862925,-0.85880834
,,,,,,3055,,,
,,,,,,3151,,,
,,,,,,3265,,,
,,,,,,3361,,,
,,,,,,3444,,,
,,,,,,3555,,,
,,,,,,3648,,,
,,,,,,3762,,,
,,,,,,3847,,,
,,,,,,3926,,,
226.49081181818184,232.89194389951675,45.81818181818182,182.40660771027612,1,226.0,4001,100.89831,-100.89830189153318,-0.85601556
,,,,,,4016,,,
,,,,,,4108,,,
,,,,,,4204,,,
,,,,,,4304,,,
,,,,,,4394,,,
,,,,,,4482,,,
,,,,,,4586,,,
,,,,,,4674,,,
,,,,,,4773,,,
,,,,,,4864,,,
,,,,,,4940,,,
226.4519601818182,202.57667626330897,46.54545454545455,182.1795526330618,1,226.5,5001,99.77073,-99.77072845508589,-0.8338039
,,,,,,5038,,,
,,,,,,5130,,,
,,,,,,5221,,,
,,,,,,5314,,,
,,,,,,5402,,,
,,,,,,5507,,,
,,,,,,5592,,,
,,,,,,5676,,,
,,,,,,5768,,,
,,,,,,5845,,,
,,,,,,5949,,,
218.39575872727272,206.810365881609,44.72727272727273,176.97557790469722,1,225.3,6001,97.205864,-97.20586758846393,-0.8438505
,,,,,,6026,,,
,,,,,,6120,,,
,,,,,,6265,,,
,,,,,,6364,,,
,,,,,,6457,,,
,,,,,,6540,,,
,,,,,,6636,,,
,,,,,,6737,,,
,,,,,,6827,,,
,,,,,,6924,,,
219.79835354545457,216.9980768840439,44.72727272727273,177.9486340157329,1,224.5,7001,98.10422,-98.10421319757738,-0.8723818
,,,,,,7065,,,
,,,,,,7167,,,
,,,,,,7261,,,
,,,,,,7375,,,
,,,,,,7464,,,
,,,,,,7559,,,
,,,,,,7651,,,
,,,,,,7736,,,
,,,,,,7820,,,
,,,,,,7914,,,
231.0603892727273,241.37353683234574,46.63636363636363,185.3422670636672,1,225.0,8001,102.57754,-102.57754497776328,-0.8677922
,,,,,,8020,,,
,,,,,,8155,,,
,,,,,,8253,,,
,,,,,,8332,,,
,,,,,,8424,,,
,,,,,,8513,,,
,,,,,,8589,,,
,,,,,,8691,,,
,,,,,,8773,,,
,,,,,,8882,,,
,,,,,,8987,,,
221.76160754545455,213.13766572281878,44.72727272727273,179.4143097377086,1,225.0,9001,99.483894,-99.48389513393404,-0.87333924
,,,,,,9088,,,
,,,,,,9211,,,
,,,,,,9302,,,
,,,,,,9382,,,
,,,,,,9470,,,
,,,,,,9582,,,
,,,,,,9661,,,
,,,,,,9737,,,
,,,,,,9850,,,
,,,,,,9938,,,
213.9446460909091,211.0547521686317,42.81818181818182,174.38373538300337,1,223.3,10001,97.21919,-97.21918995269822,-0.8949816
,,,,,,10036,,,
,,,,,,10128,,,
,,,,,,10224,,,
,,,,,,10330,,,
,,,,,,10443,,,
,,,,,,10548,,,
,,,,,,10652,,,
,,,,,,10743,,,
,,,,,,10846,,,
,,,,,,10941,,,
