eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,eval_discount_q,eval_qs_difference,eval_qs,eval mean 100 episode reward,eval_returns,eval_abs_qs_difference,total timesteps
17.181818181818183,84.05472754545455,0,77.58521246499298,-43.91319445280605,-1.7627709,84.2,83.09299401418251,43.913193,1
,,,,,,,,,92
,,,,,,,,,209
,,,,,,,,,301
,,,,,,,,,404
,,,,,,,,,510
,,,,,,,,,616
,,,,,,,,,689
,,,,,,,,,794
,,,,,,,,,893
,,,,,,,,,998
17.181818181818183,84.01895918181818,0,77.55142444076479,-43.896686899818256,-1.7608181,83.8,88.19867093361138,43.89669,1001
,,,,,,,,,1082
,,,,,,,,,1185
,,,,,,,,,1280
,,,,,,,,,1376
,,,,,,,,,1491
,,,,,,,,,1589
,,,,,,,,,1679
,,,,,,,,,1767
,,,,,,,,,1858
,,,,,,,,,1939
17.09090909090909,83.65296172727273,0,77.24917848144521,-43.73745287544438,-1.7590874,83.9,83.20045410239474,43.737453,2001
,,,,,,,,,2020
,,,,,,,,,2129
,,,,,,,,,2221
,,,,,,,,,2298
,,,,,,,,,2424
,,,,,,,,,2523
,,,,,,,,,2618
,,,,,,,,,2697
,,,,,,,,,2826
,,,,,,,,,2917
17.272727272727273,84.46138663636363,0,77.92432402154108,-44.092416664338046,-1.7597499,84.0,88.05621860744975,44.092415,3001
,,,,,,,,,3034
,,,,,,,,,3155
,,,,,,,,,3251
,,,,,,,,,3347
,,,,,,,,,3429
,,,,,,,,,3508
,,,,,,,,,3619
,,,,,,,,,3719
,,,,,,,,,3815
,,,,,,,,,3897
,,,,,,,,,3988
17.272727272727273,84.43708936363636,0,77.9020366807287,-44.080640180885766,-1.7607139,84.1,83.09621012650715,44.08064,4001
,,,,,,,,,4072
,,,,,,,,,4151
,,,,,,,,,4267
,,,,,,,,,4365
,,,,,,,,,4475
,,,,,,,,,4567
,,,,,,,,,4642
,,,,,,,,,4733
,,,,,,,,,4837
,,,,,,,,,4951
17.09090909090909,83.65572372727273,0,77.25189363246533,-43.73977391269052,-1.760744,84.1,83.06921783205597,43.739773,5001
,,,,,,,,,5047
,,,,,,,,,5139
,,,,,,,,,5245
,,,,,,,,,5341
,,,,,,,,,5434
,,,,,,,,,5544
,,,,,,,,,5631
,,,,,,,,,5733
,,,,,,,,,5841
,,,,,,,,,5938
17.0,83.13941672727272,0,76.81036883448806,-43.506808604368004,-1.7588577,83.9,83.30160380836627,43.50681,6001
,,,,,,,,,6050
,,,,,,,,,6135
,,,,,,,,,6265
,,,,,,,,,6343
,,,,,,,,,6436
,,,,,,,,,6569
,,,,,,,,,6674
,,,,,,,,,6778
,,,,,,,,,6881
,,,,,,,,,6978
17.272727272727273,84.55565672727273,0,78.01139364716825,-44.13945944867532,-1.7599311,84.0,83.34635359918437,44.13946,7001
