#{"t_start": 1642298385.940139, "env_id": "Humanoid-v2"}
r,l,t
136.411521,27,12.068063
106.566159,21,12.123272
231.907716,46,12.23786
134.111278,26,12.578588
171.193213,37,12.671178
90.107539,18,12.719492
95.566279,19,12.766731
83.233035,17,12.830948
83.405522,17,12.872826
123.360246,24,12.931811
152.155333,31,13.008562
134.270793,27,13.107439
196.829618,38,13.201486
118.799886,23,13.262225
144.34951,28,13.330853
103.412401,21,13.446155
164.561478,34,13.529046
130.142565,25,13.589356
112.987655,22,13.686608
145.022561,28,13.750357
100.514649,20,13.798579
104.586055,21,13.846904
138.968331,28,13.912692
182.188767,35,14.050129
168.489068,32,14.126199
139.183535,29,14.194563
123.906273,24,14.315604
98.835323,20,14.36426
127.563255,25,14.421885
203.809248,40,14.583074
83.687833,17,14.626356
88.321931,18,14.66792
152.446178,30,14.735875
126.678504,25,14.795132
112.459148,22,14.929318
107.308631,21,14.978364
95.09467,19,15.023062
88.746243,18,15.0648
88.919614,18,15.107383
89.083868,18,15.983704
108.517054,21,16.031851
94.711336,19,16.076398
106.247344,21,16.125116
168.606919,35,16.305931
238.334103,48,16.416599
190.650716,38,16.507562
116.049835,23,16.673147
113.116386,22,16.723806
196.280751,40,16.814976
104.899466,21,16.867008
125.798709,26,17.045468
94.855372,19,17.089922
148.370138,29,17.155791
138.646334,27,17.21864
100.478746,20,17.393543
94.94828,19,17.437707
105.698695,22,17.488634
90.090041,18,17.530532
185.883121,37,17.750833
124.542183,24,17.808837
124.681295,25,17.867044
109.36941,23,17.920806
144.066143,29,18.133063
151.998837,30,18.202825
137.370578,27,18.267049
110.390909,22,18.318248
83.463804,17,18.525869
96.659801,19,18.573073
111.921936,22,18.628052
146.835031,29,18.699051
89.65185,18,18.745089
78.45538,16,18.959856
78.567591,16,18.998946
88.446497,18,19.041719
95.205261,19,19.087593
177.869909,34,19.347566
83.327743,17,19.390218
91.193876,18,19.431902
99.209886,20,19.477802
106.146189,21,19.526554
88.898408,18,19.569108
105.15576,21,20.545978
146.08191,30,20.615203
90.298739,18,20.658665
106.013957,21,20.70731
124.237837,24,20.959279
89.175629,18,21.002147
206.751071,40,21.092477
110.757665,23,21.149142
128.940406,28,21.419008
88.71146,18,21.46199
83.28296,17,21.500822
105.208963,21,21.549286
126.085736,25,21.606748
183.800725,36,21.90687
96.694382,19,21.953466
78.440913,16,21.990873
123.832322,24,22.04504
88.947886,18,22.311736
83.819795,17,22.350672
121.850694,24,22.404635
95.889714,19,22.448857
158.900551,33,22.756319
88.273287,18,22.800038
83.106068,17,22.839278
112.275998,22,22.889894
121.778057,24,22.945076
83.449541,17,23.229488
96.66323,19,23.273318
111.019176,22,23.324507
83.360353,17,23.363814
142.483272,28,23.427121
141.960432,28,23.746979
123.844779,24,23.803427
114.885993,23,23.861582
83.496059,17,23.902329
168.75023,32,24.243272
83.590784,17,24.285311
78.390718,16,24.322341
88.531171,18,24.363222
94.828453,19,24.407545
94.471779,19,24.730774
130.324363,27,24.792626
89.444292,18,24.835992
131.594325,26,24.894766
88.558092,18,24.936933
99.059438,20,25.99058
121.643326,25,26.047331
146.603942,29,26.11444
121.246569,24,26.171071
102.559003,20,26.51461
122.464,24,26.568992
83.179662,17,26.609643
94.875278,19,26.652812
111.617853,22,26.702799
153.478977,32,27.084233
95.326621,19,27.130425
134.68279,26,27.189953
83.331995,17,27.230337
112.239974,22,27.594682
115.239776,23,27.647727
83.477975,17,27.687344
83.416031,17,27.726045
132.75506,27,27.787062
88.417198,18,28.155595
100.559362,20,28.2009
206.695894,41,28.293119
138.458443,27,28.358726
83.51175,17,28.733959
111.435999,23,28.786101
150.456442,29,28.852298
136.72978,27,28.915669
88.40821,18,29.302357
135.798362,28,29.364838
143.381037,28,29.429855
89.670899,18,29.472913
102.005273,20,29.872295
101.631974,20,29.918575
154.551094,30,29.987291
89.707196,18,30.03072
143.316319,27,30.453391
191.266916,38,30.539733
198.942446,40,30.63351
83.211118,17,30.676401
94.942977,19,31.093261
126.090315,25,31.150444
118.891073,23,31.204535
89.736339,18,31.246845
96.505976,19,31.290526
95.832116,19,32.437635
107.203966,21,32.486036
113.016851,22,32.536746
141.436374,27,32.598922
127.986636,25,33.052975
112.003594,22,33.104418
150.08843,30,33.171999
105.410585,21,33.222181
106.340489,21,33.676333
166.274582,34,33.753112
133.122347,26,33.815435
95.906068,19,33.860504
198.383632,40,34.363995
191.163926,37,34.451352
88.316743,18,34.495684
123.918123,27,34.973693
101.534132,20,35.021447
158.577901,31,35.091498
88.828625,18,35.135896
114.915309,22,35.187894
95.205029,19,35.666054
97.220748,19,35.709977
101.549607,20,35.756095
89.253563,18,35.79879
123.101061,24,35.853255
95.405053,19,36.337553
112.154928,22,36.388138
142.578564,27,36.449928
88.823601,18,36.492894
88.536571,18,36.981725
190.753922,38,37.066693
100.953183,20,37.115839
221.852124,42,37.66488
198.412951,42,37.763981
83.642179,17,37.807568
83.569202,17,37.846354
145.06587,29,38.380184
83.358262,17,38.421223
144.787463,29,38.485801
110.702962,22,38.537682
107.443328,21,38.586508
88.608957,18,39.827013
204.382153,40,39.916804
89.164213,18,39.962403
112.186299,22,40.012528
125.409203,24,40.563703
151.153046,30,40.636072
182.254287,38,40.728169
114.802042,23,41.27895
88.89516,18,41.321055
211.884366,43,41.417284
90.949175,18,41.463589
127.752309,25,42.019748
165.559698,34,42.097506
83.400006,17,42.139315
214.910583,42,42.738647
107.524154,21,42.791231
327.318402,64,42.934352
124.69619,24,43.513345
98.698671,20,43.560288
143.169362,29,43.624738
88.745155,18,43.667702
129.163399,26,44.250216
114.951903,23,44.304047
121.26962,24,44.359097
91.554586,19,44.403731
93.870822,19,44.447505
174.114768,34,45.059518
107.744333,21,45.110188
89.061001,18,45.156175
156.056841,32,45.229327
130.675916,26,45.835622
90.177809,18,45.878317
168.570927,32,45.949628
83.55112,17,45.991202
106.22033,21,46.59193
89.421924,18,46.633468
120.773617,24,46.687216
198.693764,39,46.774869
113.561767,23,48.119577
112.135218,23,48.172618
153.397876,30,48.240926
163.247968,33,48.886348
157.091207,30,48.956411
181.297101,36,49.039477
101.717174,20,49.088797
108.303331,22,49.716671
123.223451,25,49.773854
101.561334,20,49.821166
95.740259,19,49.864595
262.142087,56,50.597867
95.33551,19,50.653405
120.469996,25,50.713457
83.803527,17,50.756302
240.787811,47,51.474263
95.73615,19,51.524298
116.202196,23,51.577589
83.432027,17,51.617272
222.349535,44,52.322673
158.706633,31,52.39635
106.608078,21,52.447182
112.93181,22,53.111351
152.468414,31,53.181103
164.83007,35,53.262467
83.611808,17,53.304324
90.641251,18,53.981678
135.626485,27,54.045871
104.740512,21,54.097559
95.397508,19,54.142054
170.882799,34,54.860109
153.942486,31,54.934084
101.233237,20,54.983407
194.72952,38,55.720106
120.691409,23,55.775259
111.265955,22,55.826677
83.539063,17,55.866459
95.587503,19,55.909187
173.463153,34,57.366245
174.873248,34,57.446209
135.56744,27,57.509748
148.66385,30,58.236313
176.660448,34,58.314847
105.099607,21,58.365777
97.002239,19,58.410101
113.645816,23,59.12692
101.188403,20,59.173323
160.800461,32,59.245938
94.949281,19,59.292004
195.160553,37,60.048343
90.012035,18,60.093359
89.758328,18,60.134384
134.123045,26,60.192391
118.107239,23,60.931298
179.429504,35,61.011267
105.516938,21,61.061838
83.492005,17,61.101373
156.285389,31,61.865178
83.480458,17,61.90633
106.748413,21,61.953647
172.209684,34,62.03
110.64177,22,62.785201
94.985299,19,62.830442
90.173973,18,62.87217
96.160039,19,62.91608
88.405298,18,62.95812
127.530457,25,63.736101
151.32095,30,63.805137
173.729625,35,63.886433
111.269222,22,63.939992
105.919723,21,64.720592
146.325164,30,64.790178
101.028937,20,64.839118
145.951529,29,64.906061
137.989593,27,65.709234
118.537228,24,65.764798
95.898361,19,65.810244
194.971047,39,65.897108
172.837375,33,67.445084
112.365399,23,67.499295
171.749574,32,67.571391
162.203771,31,68.391563
83.114506,17,68.43641
185.728971,36,68.524556
100.550814,20,68.577739
128.026427,26,69.449513
135.221737,27,69.514802
196.057239,39,69.609724
107.344244,21,70.449378
94.215488,19,70.493595
123.38747,25,70.549998
94.611389,19,70.594002
100.904588,20,70.640238
206.590088,41,71.506371
98.817685,20,71.555858
162.604772,35,71.634448
147.185634,29,72.482553
162.115711,33,72.558542
186.294655,37,72.644518
156.414463,32,73.508428
109.961502,22,73.561055
93.950857,19,73.605145
100.929816,20,73.651736
127.419635,25,73.708744
102.139185,20,74.554525
107.69536,23,74.607223
116.210326,23,74.659844
140.990609,27,74.72105
149.925681,30,75.603183
143.843641,28,75.668184
94.194914,19,75.713156
95.109102,19,75.756895
108.483584,21,76.621701
99.773239,20,76.667563
143.862623,27,76.727898
83.658605,17,76.768609
107.254361,21,76.817051
129.961194,25,78.427666
112.492472,22,78.479279
133.778671,26,78.538978
138.98029,27,78.601513
88.232075,18,79.481667
112.413618,22,79.531604
147.968186,30,79.599712
218.687117,43,80.542382
107.199868,22,80.596375
125.91873,26,80.656006
188.363256,38,80.744677
226.099647,45,81.703502
186.583238,38,81.793944
141.344641,29,82.720282
202.003774,40,82.811747
96.550842,19,82.859243
163.228964,31,82.928809
89.876835,18,83.846072
115.028285,23,83.903801
89.454162,18,83.949537
244.186401,47,84.061677
89.673388,18,85.008858
114.698675,23,85.061076
110.395392,22,85.11199
101.576483,20,85.158081
142.926616,28,86.1082
90.383194,18,86.150699
90.027113,18,86.192307
78.597313,16,86.229356
89.780242,18,86.269998
83.573933,17,86.308726
118.931809,24,87.26343
132.143947,26,87.32269
118.389144,24,87.378441
83.717325,17,87.418319
88.957654,18,88.376975
141.623182,28,88.443845
112.96741,22,88.49926
83.37213,17,88.540992
133.436361,26,88.603432
88.429909,18,90.323648
96.367489,19,90.36687
151.274652,29,90.431313
134.829476,26,90.492445
118.930478,24,91.477052
101.006649,20,91.524005
136.448243,27,91.58447
168.398409,34,91.661561
119.521112,24,92.65539
89.530779,18,92.697927
111.892451,22,92.747802
163.241037,33,92.822666
147.891069,29,93.841608
101.29388,20,93.889123
168.097543,33,93.963145
100.321748,20,94.012195
172.031907,35,95.045938
105.277583,21,95.096373
131.771942,27,95.157148
83.711522,17,95.199881
