eval_returns,eval_time_elapsed,eval_qs,eval_abs_qs_difference,eval_discount_q,eval_qs_difference,eval_eplenmean,total timesteps,eval_ep_rewmean,eval mean 100 episode reward
106.7699307508126,0,-1.0154389,52.69973,98.24050014952485,-52.699729831076795,23.545454545454547,1,109.43208054545454,109.7
,,,,,,,120,,
,,,,,,,211,,
,,,,,,,310,,
,,,,,,,420,,
,,,,,,,529,,
,,,,,,,633,,
,,,,,,,738,,
,,,,,,,838,,
,,,,,,,936,,
107.44342073011599,0,-1.0199531,53.530087,99.64430189814388,-53.53008390343419,23.818181818181817,1001,111.16073872727272,110.4
,,,,,,,1009,,
,,,,,,,1105,,
,,,,,,,1236,,
,,,,,,,1342,,
,,,,,,,1437,,
,,,,,,,1538,,
,,,,,,,1645,,
,,,,,,,1730,,
,,,,,,,1815,,
,,,,,,,1902,,
,,,,,,,1978,,
111.40713585479162,0,-1.019287,53.114437,98.99839630462671,-53.1144380746962,23.727272727272727,2001,110.373076,110.3
,,,,,,,2065,,
,,,,,,,2168,,
,,,,,,,2254,,
,,,,,,,2355,,
,,,,,,,2430,,
,,,,,,,2524,,
,,,,,,,2604,,
,,,,,,,2690,,
,,,,,,,2782,,
,,,,,,,2865,,
,,,,,,,2948,,
111.46873587405481,0,-1.0143317,52.648926,98.18724090836135,-52.64892912814257,23.545454545454547,3001,109.3672279090909,110.1
,,,,,,,3037,,
,,,,,,,3134,,
,,,,,,,3224,,
,,,,,,,3308,,
,,,,,,,3392,,
,,,,,,,3498,,
,,,,,,,3594,,
,,,,,,,3686,,
,,,,,,,3774,,
,,,,,,,3896,,
,,,,,,,3981,,
106.5112258844537,0,-1.0151317,52.737858,98.31834304636492,-52.737859571257694,23.545454545454547,4001,109.51801827272729,110.0
,,,,,,,4062,,
,,,,,,,4166,,
,,,,,,,4268,,
,,,,,,,4382,,
,,,,,,,4478,,
,,,,,,,4558,,
,,,,,,,4641,,
,,,,,,,4742,,
,,,,,,,4863,,
,,,,,,,4955,,
107.70753780928585,0,-1.0148076,53.01724,98.73115939948839,-53.017239095199905,23.636363636363637,5001,110.03913963636363,110.0
,,,,,,,5056,,
,,,,,,,5150,,
,,,,,,,5272,,
,,,,,,,5366,,
,,,,,,,5517,,
,,,,,,,5610,,
,,,,,,,5695,,
,,,,,,,5800,,
,,,,,,,5893,,
,,,,,,,5995,,
111.43046688902739,0,-1.0149266,53.13358,99.01549359266863,-53.1335758316834,23.727272727272727,6001,110.39509127272726,110.0
,,,,,,,6104,,
,,,,,,,6212,,
,,,,,,,6332,,
,,,,,,,6440,,
,,,,,,,6543,,
,,,,,,,6648,,
,,,,,,,6745,,
,,,,,,,6850,,
,,,,,,,6953,,
111.32612725053868,0,-1.0181047,53.40595,99.55130968098766,-53.40595162579129,23.90909090909091,7001,111.08248709090908,110.2
,,,,,,,7057,,
,,,,,,,7169,,
,,,,,,,7263,,
,,,,,,,7355,,
,,,,,,,7460,,
,,,,,,,7546,,
,,,,,,,7639,,
,,,,,,,7731,,
,,,,,,,7839,,
,,,,,,,7939,,
111.55596206838675,0,-1.0251501,53.461624,99.61733197132521,-53.46162784599162,23.90909090909091,8001,111.1625388181818,110.3
,,,,,,,8053,,
,,,,,,,8169,,
,,,,,,,8281,,
,,,,,,,8365,,
,,,,,,,8481,,
,,,,,,,8612,,
,,,,,,,8698,,
,,,,,,,8791,,
,,,,,,,8887,,
,,,,,,,8972,,
111.134800251618,0,-1.0155245,53.18241,99.07845343006608,-53.18241330498286,23.727272727272727,9001,110.47286572727272,110.3
,,,,,,,9066,,
,,,,,,,9163,,
,,,,,,,9292,,
,,,,,,,9444,,
,,,,,,,9535,,
,,,,,,,9641,,
,,,,,,,9729,,
,,,,,,,9798,,
,,,,,,,9889,,
,,,,,,,9974,,
107.23490363646131,0,-1.0159968,52.642124,98.07930859846743,-52.64212620621809,23.454545454545453,10001,109.21171899999999,110.2
,,,,,,,10066,,
,,,,,,,10163,,
,,,,,,,10261,,
,,,,,,,10376,,
,,,,,,,10479,,
,,,,,,,10566,,
,,,,,,,10667,,
,,,,,,,10746,,
,,,,,,,10842,,
,,,,,,,10917,,
111.53852482532656,0,-1.0152377,53.269344,99.27223783921535,-53.269336373722474,23.818181818181817,11001,110.73143854545455,110.2
,,,,,,,11015,,
,,,,,,,11116,,
,,,,,,,11243,,
,,,,,,,11323,,
,,,,,,,11407,,
,,,,,,,11495,,
,,,,,,,11592,,
,,,,,,,11683,,
,,,,,,,11768,,
,,,,,,,11864,,
,,,,,,,11955,,
111.47073870822746,0,-1.0155827,53.072216,98.8122283717868,-53.072210289034274,23.636363636363637,12001,110.13284600000001,110.3
,,,,,,,12057,,
,,,,,,,12141,,
,,,,,,,12234,,
,,,,,,,12353,,
,,,,,,,12446,,
,,,,,,,12551,,
,,,,,,,12656,,
,,,,,,,12763,,
,,,,,,,12855,,
,,,,,,,12990,,
106.97215010456864,0,-1.0149604,52.959824,98.69748089868526,-52.95982342823812,23.636363636363637,13001,109.99220545454546,110.4
,,,,,,,13085,,
,,,,,,,13174,,
,,,,,,,13296,,
,,,,,,,13390,,
,,,,,,,13474,,
,,,,,,,13596,,
,,,,,,,13709,,
,,,,,,,13799,,
,,,,,,,13924,,
107.63285479800292,0,-1.0135652,52.8027,98.36856095825534,-52.80270224461277,23.545454545454547,14001,109.58315745454546,110.3
,,,,,,,14001,,
,,,,,,,14100,,
,,,,,,,14194,,
,,,,,,,14310,,
,,,,,,,14424,,
,,,,,,,14513,,
,,,,,,,14592,,
,,,,,,,14699,,
,,,,,,,14788,,
,,,,,,,14868,,
,,,,,,,14963,,
112.19173171026796,0,-1.0168408,52.73635,98.1839437904787,-52.736355044372544,23.454545454545453,15001,109.33788554545454,110.2
,,,,,,,15072,,
,,,,,,,15163,,
,,,,,,,15260,,
,,,,,,,15387,,
,,,,,,,15488,,
,,,,,,,15601,,
,,,,,,,15713,,
,,,,,,,15803,,
,,,,,,,15892,,
107.02880767006877,0,-1.0166491,53.269447,99.19058157028466,-53.26944776405966,23.727272727272727,16001,110.60067172727273,110.2
,,,,,,,16014,,
,,,,,,,16121,,
,,,,,,,16219,,
,,,,,,,16303,,
,,,,,,,16415,,
,,,,,,,16513,,
,,,,,,,16622,,
,,,,,,,16706,,
,,,,,,,16811,,
,,,,,,,16906,,
111.74726085744699,0,-1.0143949,53.015133,98.7570057972016,-53.015133373033116,23.636363636363637,17001,110.06497400000002,110.0
,,,,,,,17010,,
,,,,,,,17120,,
,,,,,,,17209,,
,,,,,,,17285,,
,,,,,,,17366,,
,,,,,,,17456,,
,,,,,,,17544,,
,,,,,,,17667,,
,,,,,,,17735,,
,,,,,,,17824,,
,,,,,,,17931,,
110.97951917564365,0,-1.0180494,52.769432,98.33717607149448,-52.769431578003584,23.545454545454547,18001,109.54386581818181,109.9
,,,,,,,18007,,
,,,,,,,18120,,
,,,,,,,18201,,
,,,,,,,18304,,
,,,,,,,18388,,
,,,,,,,18503,,
,,,,,,,18595,,
,,,,,,,18707,,
,,,,,,,18790,,
,,,,,,,18880,,
,,,,,,,18972,,
107.1660081165718,0,-1.016516,52.617966,98.05186963649744,-52.61796573605093,23.454545454545453,19001,109.1788469090909,109.9
,,,,,,,19086,,
,,,,,,,19170,,
,,,,,,,19251,,
,,,,,,,19348,,
,,,,,,,19433,,
,,,,,,,19518,,
,,,,,,,19614,,
,,,,,,,19754,,
,,,,,,,19846,,
,,,,,,,19924,,
107.18317355502072,0,-1.014099,52.824596,98.42207559054806,-52.824596611276185,23.545454545454547,20001,109.64114254545456,109.8
,,,,,,,20014,,
,,,,,,,20114,,
,,,,,,,20188,,
,,,,,,,20291,,
,,,,,,,20367,,
,,,,,,,20471,,
,,,,,,,20576,,
,,,,,,,20650,,
,,,,,,,20732,,
,,,,,,,20828,,
,,,,,,,20915,,
111.93937745778325,0,-1.0168389,53.39586,99.54716717865699,-53.39585842736173,23.90909090909091,21001,111.07676636363635,109.9
,,,,,,,21015,,
,,,,,,,21119,,
,,,,,,,21219,,
,,,,,,,21322,,
,,,,,,,21408,,
,,,,,,,21485,,
,,,,,,,21587,,
,,,,,,,21703,,
,,,,,,,21775,,
,,,,,,,21867,,
,,,,,,,21958,,
111.28125862380251,0,-1.0155503,52.75912,98.34501242157233,-52.75912849469386,23.545454545454547,22001,109.54916990909092,109.8
,,,,,,,22058,,
,,,,,,,22194,,
,,,,,,,22284,,
,,,,,,,22395,,
,,,,,,,22479,,
,,,,,,,22559,,
,,,,,,,22652,,
,,,,,,,22777,,
,,,,,,,22900,,
,,,,,,,22995,,
111.88723742975967,0,-1.0149559,53.480545,99.6673819285926,-53.48054693213982,23.90909090909091,23001,111.21645018181817,110.0
,,,,,,,23084,,
,,,,,,,23183,,
,,,,,,,23272,,
,,,,,,,23385,,
,,,,,,,23485,,
,,,,,,,23592,,
,,,,,,,23703,,
,,,,,,,23830,,
,,,,,,,23937,,
111.86361553710893,0,-1.0164084,53.09607,98.96067716556281,-53.096070909939634,23.727272727272727,24001,110.33123472727274,110.1
,,,,,,,24026,,
,,,,,,,24114,,
,,,,,,,24221,,
,,,,,,,24306,,
,,,,,,,24390,,
,,,,,,,24493,,
,,,,,,,24597,,
,,,,,,,24686,,
,,,,,,,24779,,
,,,,,,,24864,,
,,,,,,,24962,,
