#{"t_start": 1642389258.4887059, "env_id": "Pusher-v2"}
r,l,t
-153.19614,100,7.417007
-147.610441,100,8.015154
-144.20318,100,8.190856
-139.825133,100,8.375467
-147.166078,100,8.572779
-149.405609,100,8.798244
-139.473857,100,9.036811
-138.847066,100,9.287192
-151.25512,100,9.561846
-154.378267,100,9.844715
-130.898738,100,11.693459
-145.268625,100,12.004783
-138.36153,100,12.339064
-152.06431,100,12.670515
-146.817928,100,13.0182
-142.76579,100,13.392491
-142.176115,100,13.778828
-141.63813,100,14.183723
-152.848128,100,14.597984
-154.892397,100,15.031943
-139.005673,100,17.053508
-151.461983,100,17.522556
-148.425903,100,18.001656
-158.699774,100,18.49037
-162.518449,100,18.999543
-144.424718,100,19.517865
-149.957736,100,20.047285
-143.849118,100,20.595683
-148.086661,100,21.156027
-145.000917,100,21.738147
-156.218101,100,23.921008
-155.670968,100,24.531146
-132.8648,100,25.156232
-150.883543,100,25.809729
-158.981508,100,26.459898
-150.406195,100,27.130234
-138.662944,100,27.822116
-142.822075,100,28.533679
-155.575192,100,29.259739
-151.158139,100,29.992307
-137.834716,100,32.312387
-162.480553,100,33.052926
-140.798799,100,33.797002
-145.905977,100,34.55286
-147.840983,100,35.351491
-147.375641,100,36.139112
-157.726549,100,36.948607
-152.003637,100,37.778491
-159.053493,100,38.641139
-154.414156,100,39.518295
-152.497692,100,41.97582
-155.56421,100,42.886323
-136.653606,100,43.795815
-145.99225,100,44.719021
-150.637988,100,45.639809
-152.162784,100,46.619208
-147.672784,100,47.603552
-157.525248,100,48.581093
-159.791845,100,49.606901
-145.545988,100,50.620436
-153.585037,100,53.235044
-141.376081,100,54.281029
-144.294738,100,55.348613
-151.514154,100,56.441307
-151.879996,100,57.551255
-153.431283,100,58.676001
-145.792406,100,59.788249
-152.093087,100,60.928163
-140.738221,100,62.073856
-130.807456,100,63.237071
-147.170343,100,65.991215
-154.052133,100,67.211542
-140.700376,100,68.420894
-141.704579,100,69.677289
-170.592195,100,70.942008
-158.934924,100,72.209866
-157.897857,100,73.47195
-145.732778,100,74.732806
-159.459281,100,76.015606
-145.257874,100,77.367804
-143.717981,100,80.289755
-148.681111,100,81.661725
-142.553353,100,83.0641
-147.600998,100,84.448977
-151.796921,100,85.877712
-151.210146,100,87.305139
-139.726814,100,88.758982
-134.106579,100,90.191439
-146.75736,100,91.649017
-136.196604,100,93.109147
-149.592401,100,96.193434
-150.66386,100,97.684064
-151.719791,100,99.208843
-146.805998,100,100.752684
-142.175665,100,102.295894
-166.990386,100,103.865397
-148.39501,100,105.444544
-155.308824,100,107.028264
-150.531346,100,108.627681
-146.968028,100,110.211366
-141.047819,100,113.381488
-150.349265,100,115.002381
-146.207702,100,116.652562
-148.992666,100,118.312494
-165.410979,100,120.020935
-153.095273,100,121.721866
-145.876932,100,123.426571
-151.986158,100,125.145235
-139.49008,100,126.86686
-150.249222,100,128.54904
-160.222049,100,131.819777
-164.898219,100,133.60174
-150.937664,100,135.451403
-161.215419,100,137.307329
-130.940246,100,139.220449
-142.175809,100,141.073874
-158.290245,100,142.963675
-153.966802,100,144.870911
-153.424909,100,146.764122
-148.362439,100,148.630185
-153.816894,100,152.133471
-146.282755,100,154.168056
-149.361247,100,156.175329
-144.07917,100,158.152099
-149.517628,100,160.096098
-153.368816,100,162.106836
-155.191577,100,164.077398
-137.231896,100,166.156353
-145.0817,100,168.144735
-144.424247,100,170.186002
-145.658526,100,173.747803
-152.643543,100,175.77021
-152.0474,100,177.842356
-146.996709,100,179.820092
-151.287116,100,181.831775
-155.269879,100,183.879725
-151.898646,100,185.947388
-154.274251,100,188.028279
-159.415397,100,190.147522
-147.015417,100,192.295498
-150.584162,100,196.134223
-135.212617,100,198.34133
-145.202471,100,200.492428
-145.278557,100,202.707848
-148.547332,100,204.919214
-152.644776,100,207.11014
-145.464179,100,209.397488
-151.317038,100,211.74947
-146.920773,100,214.099711
-149.220181,100,216.461168
-146.875771,100,220.37711
-162.299774,100,222.760417
-148.271886,100,225.149109
-163.829833,100,227.496873
-145.900953,100,229.962975
-151.440405,100,232.381001
-147.202307,100,234.868244
-144.020361,100,237.309114
-143.958556,100,239.789889
-150.978488,100,242.329253
-146.587658,100,246.452184
-146.583272,100,248.970988
-148.718123,100,251.430345
-141.126294,100,253.979722
-145.078911,100,256.661126
-149.755507,100,259.303596
-146.218884,100,261.821873
-147.094295,100,264.309755
-158.321929,100,266.836473
-149.419292,100,269.446867
-151.189644,100,273.580046
-134.442361,100,276.280652
-143.948295,100,278.933399
-156.753131,100,281.6484
-148.166206,100,284.332204
-148.206799,100,287.215828
-152.222063,100,289.976725
-149.075106,100,292.762756
-145.062258,100,295.538414
-127.609994,100,298.483615
-150.955338,100,302.870806
-144.786144,100,305.664455
-152.5203,100,308.459614
-143.650566,100,311.223122
-144.171845,100,314.045175
-142.892149,100,316.911517
-156.4844,100,319.867965
-149.958622,100,322.760817
-166.492212,100,325.706234
-148.479504,100,328.668247
-151.06461,100,333.282798
-138.439118,100,336.329865
-154.755534,100,339.383425
-149.470207,100,342.495706
-153.105139,100,345.543965
-158.526299,100,348.597334
-147.559189,100,351.662831
-143.407969,100,354.720506
-149.478769,100,357.811671
-151.372234,100,360.908893
-132.881091,100,365.544811
-139.090369,100,368.68238
-137.723998,100,371.882233
-140.931355,100,375.079437
-155.867454,100,378.320707
-159.339478,100,381.552075
-163.143735,100,384.758236
-144.900206,100,387.938049
-151.982499,100,391.196341
-136.714357,100,394.518524
-145.829505,100,399.435795
-143.979949,100,402.779099
-153.48784,100,406.123327
-154.899689,100,409.508719
-141.802531,100,412.868174
-151.794017,100,416.267119
-152.438499,100,419.680147
-148.982057,100,423.090796
-143.562663,100,426.532644
-137.46578,100,430.014082
-137.17839,100,435.061417
-146.096761,100,438.496576
-151.238706,100,441.991865
-147.286181,100,445.531026
-155.82461,100,449.07566
-146.657696,100,452.607266
-150.005937,100,456.181595
-154.982021,100,459.767297
-141.370816,100,463.314893
-151.610984,100,466.930446
-149.375988,100,472.150406
-148.021253,100,475.848393
-143.294331,100,479.565415
-138.670756,100,483.234448
-165.727305,100,486.997515
-151.813597,100,490.741755
-133.286494,100,494.50346
-157.598215,100,498.281504
-145.666688,100,502.020554
-146.219229,100,505.838475
-156.466854,100,511.187479
-150.977615,100,514.864141
-158.841903,100,518.721629
-143.916762,100,522.573526
-144.713211,100,526.44519
-157.923129,100,530.339897
-153.370874,100,534.148059
-152.333082,100,538.065201
-144.799565,100,541.919622
-154.581012,100,545.906055
-178.608916,100,564.403478
-113.111835,100,579.37833
-97.187002,100,594.14097
-56.981862,100,609.105866
-56.931209,100,624.093679
-52.173096,100,639.138648
-59.478955,100,653.934131
-54.32068,100,668.985894
-57.738659,100,684.108436
-55.321542,100,698.975874
-57.88067,100,715.40782
-48.172073,100,730.844227
-50.492839,100,746.325626
-63.289854,100,761.815687
-63.572084,100,777.312906
-64.147435,100,792.856037
-53.173561,100,808.406754
-52.602913,100,823.875976
-58.939566,100,839.422181
-66.691368,100,854.98597
-48.443881,100,871.863379
-57.935305,100,887.590986
-66.887426,100,903.141007
-50.402391,100,918.747103
-49.966429,100,934.240898
-67.887753,100,949.913061
-50.874643,100,965.174562
-54.457969,100,980.694494
-54.800557,100,996.433426
-54.00977,100,1012.007246
-60.41495,100,1028.934867
-69.582855,100,1044.004989
-60.098591,100,1059.537476
-66.130626,100,1074.998693
-70.45892,100,1090.783589
-77.001783,100,1106.593561
-76.26081,100,1122.379018
-98.374147,100,1138.165
-75.917299,100,1153.890605
-96.457286,100,1169.751903
-91.031208,100,1187.161369
-63.331404,100,1203.048053
-73.91195,100,1218.771541
-65.072703,100,1234.417289
-70.428259,100,1249.865153
-69.251718,100,1265.339399
-68.998056,100,1281.19546
-85.888435,100,1296.671453
-73.061625,100,1311.567924
-74.900196,100,1327.042056
-67.96449,100,1344.370845
-62.493292,100,1359.75776
