eval_abs_qs_difference,total timesteps,eval_ep_rewmean,eval_qs,eval_time_elapsed,eval mean 100 episode reward,eval_returns,eval_discount_q,eval_qs_difference,eval_eplenmean
46.74761,1,-134.68483454545455,-0.71984875,1,-134.9,-132.45584781152888,-88.09836364430475,46.74760582543582,100.0
,400,,,,,,,,
,800,,,,,,,,
47.46367,1001,-136.18543454545454,-0.7297813,1,-135.5,-134.1412602933864,-88.88079131406657,47.46366993591719,100.0
,1200,,,,,,,,
,1600,,,,,,,,
,2000,,,,,,,,
48.925663,2001,-139.791432,-0.74012184,1,-136.7,-144.3540633490946,-91.03600482111669,48.92566542729822,100.0
,2400,,,,,,,,
,2800,,,,,,,,
47.877445,3001,-137.088196,-0.7376475,1,-137.0,-135.15324707024527,-89.36676970774407,47.87744648363762,100.0
,3200,,,,,,,,
,3600,,,,,,,,
,4000,,,,,,,,
47.87476,4001,-137.91022418181817,-0.7267813,1,-137.0,-144.57979424959058,-90.21079129887282,47.87475941498992,100.0
,4400,,,,,,,,
,4800,,,,,,,,
47.63551,5001,-136.53329872727275,-0.73144144,1,-137.0,-137.76419065719426,-89.05691981079515,47.63550657780747,100.0
,5200,,,,,,,,
,5600,,,,,,,,
,6000,,,,,,,,
47.85779,6001,-137.78161918181817,-0.7220836,1,-137.1,-137.74827517713146,-90.10277069912125,47.85779259272095,100.0
,6400,,,,,,,,
,6800,,,,,,,,
48.1775,7001,-137.25989563636364,-0.7488318,1,-137.1,-138.80251846112287,-89.22582172401476,48.17750043066706,100.0
,7200,,,,,,,,
,7600,,,,,,,,
,8000,,,,,,,,
47.334057,8001,-136.02670209090908,-0.7295113,1,-137.1,-131.75609349462877,-88.8516505110697,47.33405665663418,100.0
,8400,,,,,,,,
,8800,,,,,,,,
48.294567,9001,-138.04831272727276,-0.7407959,1,-137.3,-142.0142691139385,-89.91207045654484,48.294567132137,100.0
,9200,,,,,,,,
,9600,,,,,,,,
,10000,,,,,,,,
47.011303,10001,-134.847212,-0.73215795,1,-137.2,-138.23238267705364,-87.98358237931971,47.01130759592999,100.0
,10400,,,,,,,,
,10800,,,,,,,,
48.717064,11001,-139.60271154545455,-0.7316487,1,-137.3,-139.07823249209756,-91.06464674635652,48.71706264234087,100.0
,11200,,,,,,,,
,11600,,,,,,,,
,12000,,,,,,,,
47.18766,12001,-135.63278272727274,-0.72976434,1,-137.1,-137.61630528818853,-88.60136828074191,47.18766381828218,100.0
,12400,,,,,,,,
,12800,,,,,,,,
47.060856,13001,-135.42859572727272,-0.72263634,1,-137.0,-132.30507930337896,-88.53040473069262,47.0608584752515,100.0
,13200,,,,,,,,
,13600,,,,,,,,
,14000,,,,,,,,
48.353115,14001,-137.9191760909091,-0.7444105,1,-136.9,-135.93430496380788,-89.71883527413739,48.35311857427933,100.0
,14400,,,,,,,,
,14800,,,,,,,,
47.747837,15001,-137.04677063636365,-0.73258,1,-136.9,-131.50917717898878,-89.4609643920266,47.747835873427064,100.0
,15200,,,,,,,,
,15600,,,,,,,,
,16000,,,,,,,,
47.86383,16001,-137.5179898181818,-0.72944206,1,-137.0,-130.33788183581774,-89.8229437188886,47.863833437692215,100.0
,16400,,,,,,,,
,16800,,,,,,,,
