eval_time_elapsed,eval_qs_difference,total timesteps,eval_eplenmean,eval_qs,eval mean 100 episode reward,eval_abs_qs_difference,eval_ep_rewmean,eval_discount_q,eval_returns
1,79.3249808434591,1,100.0,-0.24652968,-209.6,79.32498,-209.10662463636365,-130.84354951879243,-204.6695474945671
,,400,,,,,,,
,,800,,,,,,,
1,79.38366743557094,1001,100.0,-0.2580148,-209.4,79.38367,-209.88305072727277,-131.5569377944214,-211.8938408933
,,1200,,,,,,,
,,1600,,,,,,,
,,2000,,,,,,,
1,81.0427510242397,2001,100.0,-0.22810832,-210.8,81.042755,-212.88786218181815,-132.9464674758517,-203.9282619572405
,,2400,,,,,,,
,,2800,,,,,,,
1,82.32590874212362,3001,100.0,-0.2275257,-212.0,82.3259,-215.22465327272724,-134.01133210213052,-201.58148737402138
,,3200,,,,,,,
,,3600,,,,,,,
,,4000,,,,,,,
1,82.08414153766948,4001,100.0,-0.24696742,-212.5,82.08414,-214.52856700000004,-133.53278579885406,-201.23562959224722
,,4400,,,,,,,
,,4800,,,,,,,
1,84.46584048710359,5001,100.0,-0.20733133,-213.3,84.46584,-218.73395900000003,-135.41493656315444,-222.62767890089725
,,5200,,,,,,,
,,5600,,,,,,,
,,6000,,,,,,,
1,82.34052526059116,6001,100.0,-0.21609692,-213.5,82.34052,-215.55819190909088,-134.34502001769917,-228.77188405484438
,,6400,,,,,,,
,,6800,,,,,,,
1,83.75178226790126,7001,100.0,-0.2311881,-214.2,83.75178,-218.51536445454548,-135.89130713244708,-227.0991795983095
,,7200,,,,,,,
,,7600,,,,,,,
,,8000,,,,,,,
1,81.88672343215619,8001,100.0,-0.21655731,-214.3,81.88672,-214.17217481818182,-133.40292328649625,-212.7465238507765
,,8400,,,,,,,
,,8800,,,,,,,
1,81.07260004879298,9001,100.0,-0.23232041,-214.5,81.0726,-213.04116372727276,-133.06691241134888,-216.94360653565005
,,9200,,,,,,,
,,9600,,,,,,,
,,10000,,,,,,,
1,83.38034923548388,10001,100.0,-0.23100834,-215.7,83.380356,-217.83156154545452,-135.57596350483809,-211.4069719067685
,,10400,,,,,,,
,,10800,,,,,,,
1,81.47003970161461,11001,100.0,-0.22966614,-215.4,81.47004,-213.22236618181816,-132.8511721484316,-221.7598393832847
,,11200,,,,,,,
,,11600,,,,,,,
,,12000,,,,,,,
1,82.89935190496266,12001,100.0,-0.21408258,-215.6,82.89935,-216.03435545454548,-134.263556621398,-215.50665131619334
,,12400,,,,,,,
,,12800,,,,,,,
1,80.59183984873457,13001,100.0,-0.23144315,-215.2,80.591835,-211.81271472727275,-132.31255714720868,-220.89822322959316
,,13200,,,,,,,
,,13600,,,,,,,
,,14000,,,,,,,
1,81.8550111613766,14001,100.0,-0.22139078,-215.1,81.85501,-214.49579436363635,-133.75696194118407,-219.60807666641153
,,14400,,,,,,,
,,14800,,,,,,,
1,81.35072912698394,15001,100.0,-0.22870131,-214.9,81.35073,-212.99262663636364,-132.74060223377555,-210.44727757256817
,,15200,,,,,,,
,,15600,,,,,,,
,,16000,,,,,,,
1,81.568882455311,16001,100.0,-0.24344057,-214.4,81.568886,-214.5448150909091,-134.0732243067125,-219.11206182905383
,,16400,,,,,,,
,,16800,,,,,,,
1,79.53513892545676,17001,100.0,-0.2519444,-213.8,79.53513,-210.35275263636365,-131.88451443880035,-209.3099847680777
,,17200,,,,,,,
,,17600,,,,,,,
,,18000,,,,,,,
1,81.09445083969021,18001,100.0,-0.2576616,-213.9,81.09445,-213.5373353636364,-133.5204271979772,-219.26974395339153
,,18400,,,,,,,
,,18800,,,,,,,
1,80.4202650587638,19001,100.0,-0.2385657,-213.2,80.420265,-211.4373828181818,-132.09954757306184,-202.98622692038555
,,19200,,,,,,,
,,19600,,,,,,,
,,20000,,,,,,,
1,80.5448102121993,20001,100.0,-0.23378901,-213.0,80.54481,-211.34790036363637,-131.88818288796176,-219.07014933139905
,,20400,,,,,,,
,,20800,,,,,,,
1,81.27866263853575,21001,100.0,-0.23847514,-212.6,81.27866,-213.91151081818182,-133.73168990139663,-211.94959505557952
,,21200,,,,,,,
,,21600,,,,,,,
,,22000,,,,,,,
1,79.12254473069612,22001,100.0,-0.24277273,-212.6,79.12255,-209.01277763636364,-130.9570306648454,-197.81844907421362
,,22400,,,,,,,
,,22800,,,,,,,
1,79.58562463427187,23001,100.0,-0.2561444,-212.2,79.58563,-210.63386745454545,-132.11323076678124,-214.43612420375607
,,23200,,,,,,,
,,23600,,,,,,,
,,24000,,,,,,,
1,81.13818363049103,24001,100.0,-0.24185486,-212.0,81.13818,-213.2927640909091,-133.24517744243292,-219.32578188568135
,,24400,,,,,,,
,,24800,,,,,,,
1,94.98148036983758,25001,100.0,-0.12787682,-215.5,94.981476,-247.79232927272724,-154.22522430607233,-244.28730532510173
,,25200,,,,,,,
,,25600,,,,,,,
,,26000,,,,,,,
1,15.767142979573299,26001,100.0,-3.8711526,-199.9,16.015358,-52.86550509090909,-33.56283779196027,-49.44557190532423
,,26400,,,,,,,
,,26800,,,,,,,
1,14.223172111361004,27001,100.0,-6.647821,-182.7,14.665845,-54.9871180909091,-34.4607322609479,-53.792217059294806
,,27200,,,,,,,
,,27600,,,,,,,
,,28000,,,,,,,
1,13.38630468370801,28001,100.0,-6.618556,-165.1,13.999979,-54.39128790909092,-34.7337646058436,-51.73732953217126
,,28400,,,,,,,
,,28800,,,,,,,
1,11.24482235122431,29001,100.0,-6.7297015,-147.7,11.711074,-51.02989754545455,-33.389265822498956,-53.689086697233286
,,29200,,,,,,,
,,29600,,,,,,,
