eval_eplenmean,eval_returns,eval_abs_qs_difference,eval_qs_difference,eval mean 100 episode reward,eval_qs,total timesteps,eval_time_elapsed,eval_discount_q,eval_ep_rewmean
100.0,-163.6406547541612,60.119694,60.119695093252766,-162.3,-0.37567747,1,1,-102.97842511358714,-162.4440132727273
,,,,,,400,,,
,,,,,,800,,,
100.0,-166.90774191298595,60.807957,60.80795096082024,-162.7,-0.36379516,1001,1,-103.17817008159318,-163.31813445454543
,,,,,,1200,,,
,,,,,,1600,,,
,,,,,,2000,,,
100.0,-165.30460405682558,59.534706,59.534708773786285,-161.9,-0.3710498,2001,1,-101.2649615348243,-160.15807054545456
,,,,,,2400,,,
,,,,,,2800,,,
100.0,-163.50900620831254,59.329056,59.329056088862785,-161.6,-0.3579223,3001,1,-101.81094568350105,-160.47981454545456
,,,,,,3200,,,
,,,,,,3600,,,
,,,,,,4000,,,
100.0,-166.2070535256385,59.66808,59.668080288249215,-161.6,-0.35761997,4001,1,-102.80370482996092,-161.80136799999997
,,,,,,4400,,,
,,,,,,4800,,,
100.0,-162.26986539860005,59.5363,59.53630301715762,-161.5,-0.3468718,5001,1,-102.08633046738623,-160.9486418181818
,,,,,,5200,,,
,,,,,,5600,,,
,,,,,,6000,,,
100.0,-167.39202010017482,59.104275,59.10427393921013,-161.4,-0.3605617,6001,1,-102.47308785290808,-160.91319263636365
,,,,,,6400,,,
,,,,,,6800,,,
100.0,-153.41611858738358,59.263035,59.26303241474336,-161.4,-0.37714902,7001,1,-101.64610741870109,-160.26982781818182
,,,,,,7200,,,
,,,,,,7600,,,
,,,,,,8000,,,
100.0,-155.36442836465082,60.22825,60.22825512353286,-161.5,-0.40257493,8001,1,-102.64850895121752,-162.25285381818182
,,,,,,8400,,,
,,,,,,8800,,,
100.0,-160.28950104521346,60.00228,60.00227524143326,-161.5,-0.3700181,9001,1,-102.53693879778724,-161.8838629090909
,,,,,,9200,,,
,,,,,,9600,,,
,,,,,,10000,,,
100.0,-164.64397803877145,61.388344,61.38834063736929,-161.5,-0.39689636,10001,1,-103.85816887022021,-164.60482427272726
,,,,,,10400,,,
,,,,,,10800,,,
100.0,-158.6037820329589,59.598392,59.598396367838134,-161.6,-0.3767111,11001,1,-102.01143787360337,-160.966431
,,,,,,11200,,,
,,,,,,11600,,,
,,,,,,12000,,,
100.0,-164.72483866569485,59.836308,59.83630817562746,-161.6,-0.39238042,12001,1,-102.47503448753429,-161.67897272727274
,,,,,,12400,,,
,,,,,,12800,,,
100.0,-155.02023718230234,59.65292,59.65292521116276,-161.7,-0.3851795,13001,1,-101.57716076226703,-160.5994938181818
,,,,,,13200,,,
,,,,,,13600,,,
,,,,,,14000,,,
100.0,-153.93332476119357,59.790745,59.790748538177446,-161.8,-0.38123855,14001,1,-101.79996983596847,-160.9539571818182
,,,,,,14400,,,
,,,,,,14800,,,
100.0,-154.92949787898505,58.358288,58.35828616476189,-161.4,-0.36960497,15001,1,-100.70747914195532,-158.42829545454543
,,,,,,15200,,,
,,,,,,15600,,,
,,,,,,16000,,,
100.0,-165.4318743306511,60.519005,60.51900292720372,-161.4,-0.40109557,16001,1,-102.94399379306337,-162.83465227272728
,,,,,,16400,,,
,,,,,,16800,,,
100.0,-166.2708914368441,59.546635,59.54663693539572,-161.3,-0.36512044,17001,1,-102.23687973526324,-161.12626827272726
,,,,,,17200,,,
,,,,,,17600,,,
,,,,,,18000,,,
100.0,-157.85365936087314,59.66262,59.66262116487916,-161.3,-0.34732902,18001,1,-101.28809798869565,-160.28516718181817
,,,,,,18400,,,
,,,,,,18800,,,
100.0,-159.76450127815176,58.665646,58.66564628931496,-160.8,-0.35979903,19001,1,-101.09310589020627,-159.1076201818182
,,,,,,19200,,,
,,,,,,19600,,,
,,,,,,20000,,,
100.0,-156.3685361311386,60.16483,60.16482550853473,-160.8,-0.35738343,20001,1,-102.3854567707772,-161.8838110909091
,,,,,,20400,,,
,,,,,,20800,,,
100.0,-157.95678558220075,59.675903,59.675900030759315,-160.8,-0.35020792,21001,1,-102.54743274809644,-161.54806636363637
,,,,,,21200,,,
,,,,,,21600,,,
,,,,,,22000,,,
100.0,-162.86309945755897,58.577724,58.577725411301394,-160.5,-0.38474038,22001,1,-101.24242297654837,-159.19246454545453
,,,,,,22400,,,
,,,,,,22800,,,
100.0,-168.34794524073436,60.337814,60.33781590187022,-160.6,-0.3849352,23001,1,-103.08466638627615,-162.77657081818182
,,,,,,23200,,,
,,,,,,23600,,,
,,,,,,24000,,,
100.0,-155.83090078895486,59.441433,59.441435204659065,-161.0,-0.36235198,24001,1,-101.74690827509988,-160.53322627272726
,,,,,,24400,,,
,,,,,,24800,,,
100.0,-214.49820607831575,79.27136,79.27135754648452,-166.1,-0.22006494,25001,1,-135.6960469737826,-213.83050909090915
,,,,,,25200,,,
,,,,,,25600,,,
,,,,,,26000,,,
100.0,-59.99853976353651,17.007576,16.746777542194852,-156.1,-4.054659,26001,1,-35.51696079346917,-55.96322790909091
,,,,,,26400,,,
,,,,,,26800,,,
100.0,-48.58433592384552,13.309753,12.451183470991621,-144.5,-7.100754,27001,1,-33.650183397163694,-52.865618545454545
,,,,,,27200,,,
,,,,,,27600,,,
,,,,,,28000,,,
100.0,-48.91633417488205,8.728995,7.947766434680522,-131.6,-7.5385346,28001,1,-28.41512022152773,-43.61727018181818
,,,,,,28400,,,
,,,,,,28800,,,
100.0,-67.4730171662112,18.705593,18.45256737454686,-120.9,-5.2655597,29001,1,-42.87355805602605,-66.16295018181819
,,,,,,29200,,,
,,,,,,29600,,,
,,,,,,30000,,,
100.0,-60.22197098956276,19.414457,19.371357890773165,-110.4,-5.1436954,30001,1,-40.90378481509838,-65.00980000000001
,,,,,,30400,,,
,,,,,,30800,,,
100.0,-52.71216277770169,11.845059,10.70735069748825,-99.0,-8.268676,31001,1,-36.12384978666793,-54.73863672727273
,,,,,,31200,,,
,,,,,,31600,,,
,,,,,,32000,,,
100.0,-73.83582422278785,22.555086,22.50551384467913,-88.6,-3.5245924,32001,1,-43.759059569044545,-69.351575
,,,,,,32400,,,
,,,,,,32800,,,
100.0,-45.2588108519702,14.207861,13.410962526566209,-76.9,-5.2892537,33001,1,-34.16083042997897,-52.51943845454546
,,,,,,33200,,,
,,,,,,33600,,,
,,,,,,34000,,,
100.0,-55.1506023994793,15.022263,14.350573107801807,-60.7,-7.0599666,34001,1,-36.82888160564855,-57.87113127272728
,,,,,,34400,,,
,,,,,,34800,,,
100.0,-65.04639314065005,16.558878,15.239396185003416,-58.7,-9.575849,35001,1,-42.678232157361485,-67.06669454545455
,,,,,,35200,,,
,,,,,,35600,,,
,,,,,,36000,,,
100.0,-60.40636745327227,19.492674,19.402135133692074,-59.5,-2.640095,36001,1,-38.435074919480606,-60.09295445454547
,,,,,,36400,,,
,,,,,,36800,,,
100.0,-68.45664206437978,18.64145,18.289679008221267,-61.7,-6.5276885,37001,1,-41.08371025734504,-65.49024045454544
,,,,,,37200,,,
,,,,,,37600,,,
,,,,,,38000,,,
100.0,-54.220451495997445,18.815615,18.80405218821235,-61.6,-3.7205503,38001,1,-38.902660526211776,-61.038236363636365
,,,,,,38400,,,
,,,,,,38800,,,
100.0,-73.13016609035256,17.28972,16.977311683370758,-61.1,-5.6506963,39001,1,-40.08641447138361,-62.31355772727272
,,,,,,39200,,,
,,,,,,39600,,,
,,,,,,40000,,,
100.0,-39.366134824335205,14.566494,13.951463604728808,-61.3,-6.541351,40001,1,-35.4980562261785,-55.635890545454544
