eval_abs_qs_difference,eval_returns,eval mean 100 episode reward,eval_discount_q,eval_ep_rewmean,eval_eplenmean,eval_qs,total timesteps,eval_time_elapsed,eval_qs_difference
62.58478,-171.94407330850618,-171.2,-109.51448984392242,-171.29019672727273,100.0,-0.28607064,1,1,62.58478117955817
,,,,,,,400,,
,,,,,,,800,,
62.950424,-181.6070631455364,-171.0,-109.4469389915404,-171.58965636363635,100.0,-0.28675702,1001,1,62.950429737526115
,,,,,,,1200,,
,,,,,,,1600,,
,,,,,,,2000,,
64.95545,-167.62135464974173,-173.4,-112.67626000157884,-176.7874261818182,100.0,-0.28247026,2001,1,64.95545857846838
,,,,,,,2400,,
,,,,,,,2800,,
62.526302,-183.0176146962872,-172.4,-109.16320393471432,-170.88604509090908,100.0,-0.28817403,3001,1,62.52629906902846
,,,,,,,3200,,
,,,,,,,3600,,
,,,,,,,4000,,
63.283848,-184.38421015491372,-172.4,-110.24091855671533,-172.71225509090908,100.0,-0.28989473,4001,1,63.283851038970674
,,,,,,,4400,,
,,,,,,,4800,,
63.83098,-168.52716855339344,-172.9,-110.61205376696718,-173.62537427272727,100.0,-0.2884615,5001,1,63.830979567039165
,,,,,,,5200,,
,,,,,,,5600,,
,,,,,,,6000,,
64.19473,-166.79547059306105,-173.2,-111.41824552428584,-174.78488409090912,100.0,-0.28609014,6001,1,64.19473090106648
,,,,,,,6400,,
,,,,,,,6800,,
63.80729,-165.79455886308006,-173.3,-111.07859261889274,-174.06150599999998,100.0,-0.28640574,7001,1,63.80729348338427
,,,,,,,7200,,
,,,,,,,7600,,
,,,,,,,8000,,
64.085686,-181.5594363834247,-173.3,-111.60461905319926,-174.85823136363638,100.0,-0.28397816,8001,1,64.08568039688409
,,,,,,,8400,,
,,,,,,,8800,,
64.807076,-175.08535376544555,-173.9,-112.3207773979355,-176.2955242727273,100.0,-0.29086885,9001,1,64.80708579674473
,,,,,,,9200,,
,,,,,,,9600,,
,,,,,,,10000,,
63.00885,-165.5635040037541,-174.1,-110.27906781074233,-172.47274572727272,100.0,-0.2876205,10001,1,63.00884818931318
,,,,,,,10400,,
,,,,,,,10800,,
64.555244,-176.69035137441915,-173.9,-111.53325669931131,-175.25180309090908,100.0,-0.2786331,11001,1,64.55524594734247
,,,,,,,11200,,
,,,,,,,11600,,
,,,,,,,12000,,
63.265064,-163.56518803831176,-174.2,-109.82506112483892,-172.2821646363636,100.0,-0.2902814,12001,1,63.265072616284215
,,,,,,,12400,,
,,,,,,,12800,,
64.597305,-172.61844564821916,-174.3,-111.64112411681694,-175.407027,100.0,-0.285018,13001,1,64.59729606841853
,,,,,,,13200,,
,,,,,,,13600,,
,,,,,,,14000,,
64.27076,-167.6839410756893,-174.4,-111.4182501583948,-174.86083181818182,100.0,-0.28600028,14001,1,64.2707638864006
,,,,,,,14400,,
,,,,,,,14800,,
63.15942,-175.31244331387774,-174.0,-110.06474710858801,-172.415359,100.0,-0.29184866,15001,1,63.159410782975584
,,,,,,,15200,,
,,,,,,,15600,,
,,,,,,,16000,,
63.824512,-168.7389299556238,-174.1,-110.92339402164544,-173.92413145454543,100.0,-0.28545716,16001,1,63.824514230078755
,,,,,,,16400,,
,,,,,,,16800,,
65.2593,-166.7892125372373,-174.7,-112.78716996345375,-177.2023258181818,100.0,-0.28372824,17001,1,65.25929930830638
,,,,,,,17200,,
,,,,,,,17600,,
,,,,,,,18000,,
63.768124,-165.0469191748722,-174.3,-110.51511641285266,-173.46493227272728,100.0,-0.28684118,18001,1,63.7681258863615
,,,,,,,18400,,
,,,,,,,18800,,
63.829956,-170.23946142799338,-174.2,-110.61860039977005,-173.62879818181818,100.0,-0.28643057,19001,1,63.82995315077876
,,,,,,,19200,,
,,,,,,,19600,,
,,,,,,,20000,,
64.34266,-172.6866593706971,-174.4,-111.88654136270353,-175.39744981818183,100.0,-0.28711388,20001,1,64.3426601892106
,,,,,,,20400,,
,,,,,,,20800,,
63.073654,-178.0828672461812,-174.1,-109.70585997049739,-171.97087854545455,100.0,-0.28842667,21001,1,63.07365062607193
,,,,,,,21200,,
,,,,,,,21600,,
,,,,,,,22000,,
63.778294,-173.26557684114815,-174.1,-110.9506635873065,-173.91064072727275,100.0,-0.29119277,22001,1,63.77829105245246
,,,,,,,22400,,
,,,,,,,22800,,
64.41566,-178.55438899105937,-174.1,-111.31155813657661,-174.8988937272727,100.0,-0.2847994,23001,1,64.41565173257517
,,,,,,,23200,,
,,,,,,,23600,,
,,,,,,,24000,,
60.804264,-164.9226176118751,-173.6,-107.70070134093285,-167.718523,100.0,-0.2905614,24001,1,60.804267230161024
,,,,,,,24400,,
,,,,,,,24800,,
86.17936,-223.64993204401011,-179.0,-143.2258005208932,-227.70803699999996,100.0,0.26486456,25001,1,86.17935904019612
,,,,,,,25200,,
,,,,,,,25600,,
,,,,,,,26000,,
17.277164,-62.91946236056266,-167.1,-34.881590177776154,-54.98431599999999,100.0,-3.3407776,26001,1,17.11076444271085
