eval_abs_qs_difference,total timesteps,eval_ep_rewmean,eval_discount_q,eval_eplenmean,eval_returns,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_qs
54.75636,1,-148.53902681818184,-94.10545192209007,100.0,-138.73908648281807,-149.5,54.756360398388054,1,-0.6182692
,400,,,,,,,,
,800,,,,,,,,
55.460888,1001,-150.44000736363637,-95.2956133329608,100.0,-161.84521707767638,-148.9,55.46079964397382,1,-0.6365505
,1200,,,,,,,,
,1600,,,,,,,,
,2000,,,,,,,,
58.715588,2001,-157.27063181818178,-98.92432210674748,100.0,-146.67488670875522,-152.3,58.715589045210315,1,-0.6199638
,2400,,,,,,,,
,2800,,,,,,,,
57.61271,3001,-153.97742672727273,-96.71003306413817,100.0,-148.590161044722,-152.6,57.61227445459812,1,-0.6222195
,3200,,,,,,,,
,3600,,,,,,,,
,4000,,,,,,,,
59.350338,4001,-157.66659618181816,-98.69237565792547,100.0,-166.47253922164657,-153.3,59.350339149045276,1,-0.6108052
,4400,,,,,,,,
,4800,,,,,,,,
60.803574,5001,-161.32454345454542,-100.90013791731084,100.0,-158.91963309007252,-154.8,60.80356765305259,1,-0.6298395
,5200,,,,,,,,
,5600,,,,,,,,
,6000,,,,,,,,
57.314926,6001,-153.92839745454546,-96.96373192195887,100.0,-155.00396029107733,-154.7,57.31492837874807,1,-0.6193747
,6400,,,,,,,,
,6800,,,,,,,,
56.30576,7001,-152.5776066363636,-96.63299651885205,100.0,-149.19494852709676,-154.5,56.30575953441517,1,-0.6051805
,7200,,,,,,,,
,7600,,,,,,,,
,8000,,,,,,,,
56.85284,8001,-152.7921279090909,-96.28912978958633,100.0,-153.14493578313815,-154.3,56.852835372004705,1,-0.613054
,8400,,,,,,,,
,8800,,,,,,,,
56.82227,9001,-152.9171512727273,-96.44184442258911,100.0,-155.61543111535997,-154.6,56.82211672871386,1,-0.6176086
,9200,,,,,,,,
,9600,,,,,,,,
,10000,,,,,,,,
56.459545,10001,-152.4511980909091,-96.32231803769837,100.0,-140.40420556358043,-155.3,56.45954339469829,1,-0.63255984
,10400,,,,,,,,
,10800,,,,,,,,
58.13649,11001,-155.6110945454545,-97.84157426000216,100.0,-157.7285061756019,-154.8,58.13648906512769,1,-0.6114471
,11200,,,,,,,,
,11600,,,,,,,,
,12000,,,,,,,,
56.41475,12001,-151.8102028181818,-95.72137443900151,100.0,-162.33971458661617,-154.4,56.414748446750544,1,-0.6312937
,12400,,,,,,,,
,12800,,,,,,,,
56.022964,13001,-151.32200799999998,-95.63440591488448,100.0,-151.95034735185686,-154.0,56.022967207307715,1,-0.6209789
,13200,,,,,,,,
,13600,,,,,,,,
,14000,,,,,,,,
59.674606,14001,-158.83964799999998,-99.5229652859026,100.0,-162.6987616380996,-153.5,59.67460546235049,1,-0.6373068
,14400,,,,,,,,
,14800,,,,,,,,
56.005966,15001,-151.4104109090909,-95.74988617838359,100.0,-140.74010608902185,-153.5,56.00596905897749,1,-0.6120544
,15200,,,,,,,,
,15600,,,,,,,,
,16000,,,,,,,,
57.297867,16001,-154.43005236363635,-97.49503081550368,100.0,-143.17623083612543,-153.6,57.297867019169615,1,-0.6121048
,16400,,,,,,,,
,16800,,,,,,,,
56.227917,17001,-151.428548,-95.54302027290647,100.0,-153.01984448482176,-153.2,56.227917573152475,1,-0.6130403
,17200,,,,,,,,
,17600,,,,,,,,
,18000,,,,,,,,
59.329613,18001,-158.3659409090909,-99.41270672574042,100.0,-164.87191125373585,-153.9,59.329610529223025,1,-0.61775076
,18400,,,,,,,,
,18800,,,,,,,,
56.77397,19001,-152.61145118181818,-96.17690548270524,100.0,-162.3585375362528,-153.7,56.77396859755036,1,-0.62234616
,19200,,,,,,,,
,19600,,,,,,,,
,20000,,,,,,,,
58.315174,20001,-155.66763536363635,-97.69949986877656,100.0,-142.36899250646337,-154.1,58.31517616403526,1,-0.6299542
,20400,,,,,,,,
,20800,,,,,,,,
54.63921,21001,-148.71118036363637,-94.3762447368484,100.0,-136.74000034921823,-153.9,54.639214026224884,1,-0.63948387
,21200,,,,,,,,
,21600,,,,,,,,
,22000,,,,,,,,
56.714577,22001,-152.62032454545454,-96.23772993360421,100.0,-158.35230081373973,-153.7,56.71457610146472,1,-0.6303958
,22400,,,,,,,,
,22800,,,,,,,,
57.88,23001,-154.86952009090908,-97.3534987753767,100.0,-155.7044807890318,-153.6,57.87953552998949,1,-0.61002064
,23200,,,,,,,,
,23600,,,,,,,,
,24000,,,,,,,,
55.530533,24001,-149.73439572727273,-94.52744279626951,100.0,-147.09218174620543,-153.0,55.53054006749127,1,-0.6216872
,24400,,,,,,,,
,24800,,,,,,,,
99.90901,25001,-266.58306263636365,-168.10345634061275,100.0,-267.412671786417,-164.2,99.90901901370566,1,-0.25162193
,25200,,,,,,,,
,25600,,,,,,,,
,26000,,,,,,,,
16.193811,26001,-56.35404754545455,-35.65182398556616,100.0,-70.05298296971189,-155.9,15.751632613729804,1,-5.3071094
,26400,,,,,,,,
,26800,,,,,,,,
