#{"t_start": 1642044686.6667972, "env_id": "Walker2d-v2"}
r,l,t
0.900715,13,18.007656
5.946386,18,18.046917
-3.217181,25,18.100876
10.4459,25,18.157359
-3.675053,17,18.197323
-9.160731,14,18.547925
5.744877,22,18.59549
-0.641959,13,18.626541
3.902754,15,18.659914
1.581183,28,18.718072
4.550985,14,18.778462
23.289338,44,18.867694
5.220155,18,18.912264
13.540572,42,19.032023
4.063228,24,19.087958
4.91913,21,19.134288
-1.114144,20,19.17823
10.116235,25,19.231557
0.389811,18,19.318774
-5.115372,23,19.367431
12.042012,34,19.439868
14.514922,40,19.578613
3.190153,43,19.670187
3.059099,17,19.712513
1.987896,41,19.857571
-1.764238,16,19.897848
0.307685,10,19.921308
2.793636,19,19.961609
-3.041289,16,19.998075
-2.042097,9,20.020331
-3.781393,16,20.054036
0.54074,30,20.193309
5.461467,21,20.24123
-3.364926,13,20.271677
2.122268,26,20.325347
7.427554,30,20.475187
-0.535858,19,20.518969
-1.177631,24,20.570368
8.338838,19,20.613171
1.84792,13,20.643511
-4.613552,11,20.767031
-0.331491,36,20.838869
8.246144,17,20.880251
-1.439001,21,20.924864
6.054492,17,20.963357
-6.85911,23,21.331402
-3.671732,12,21.360494
1.019082,14,21.391117
5.985977,19,21.431888
5.666698,21,21.47689
-4.374873,13,21.507249
-3.818678,22,21.675745
-1.029261,17,21.714102
4.111517,18,21.753125
0.038945,13,21.782707
4.949127,33,21.980444
4.923621,18,22.022983
1.338385,12,22.050823
13.743613,21,22.094496
1.679456,13,22.124887
0.988196,12,22.152012
-5.26417,19,22.191586
11.728484,27,22.395784
0.606318,22,22.444508
0.417602,28,22.504355
-0.149987,12,22.53418
10.986842,19,22.731095
1.602461,11,22.757309
-1.213834,17,22.793617
4.373031,25,22.846223
7.045465,18,22.886855
-7.078214,19,22.927902
-6.672983,15,23.134145
2.405942,14,23.165385
0.565453,16,23.200775
4.709229,28,23.258747
25.666947,36,23.513186
1.403831,18,23.555898
2.92926,15,23.589979
-1.285746,14,23.621801
-3.932074,25,23.675038
4.570784,14,23.708945
-2.941421,12,23.929543
-4.502934,12,23.956135
1.609529,13,23.98498
0.694298,17,24.02216
1.644691,25,24.074981
6.069447,17,24.114277
2.709857,26,24.374954
7.162417,40,24.457508
-0.33133,15,24.495529
6.881126,27,24.55101
-1.157855,11,24.798398
-3.307984,9,24.819542
1.884795,11,24.84346
-1.710564,25,24.894591
1.042615,12,24.924035
2.119816,13,24.95261
-2.498952,12,24.979338
-5.23225,19,25.463947
-4.325642,22,25.512715
0.153796,20,25.557708
0.899189,12,25.58631
5.956543,21,25.629392
2.339342,21,25.92138
-3.412609,21,25.968207
-8.839223,25,26.02304
7.728384,35,26.096345
