eval_abs_qs_difference,eval_ep_rewmean,eval_eplenmean,eval_qs_difference,eval_time_elapsed,eval_returns,eval mean 100 episode reward,eval_discount_q,total timesteps,eval_qs
1.4109416,-3.908342909090909,7.0,1.3018875172665645,0,-3.9705140090025774,-3.9,-3.717644742174612,1,-1.9534634
,,,,,,,,81,
,,,,,,,,147,
,,,,,,,,248,
,,,,,,,,353,
,,,,,,,,439,
,,,,,,,,573,
,,,,,,,,659,
,,,,,,,,730,
,,,,,,,,820,
,,,,,,,,895,
,,,,,,,,980,
1.3809307,-3.850958272727273,7.0,1.27201778604689,0,-3.858494286177469,-3.9,-3.66190688117221,1001,-1.951847
,,,,,,,,1046,
,,,,,,,,1121,
,,,,,,,,1202,
,,,,,,,,1266,
,,,,,,,,1346,
,,,,,,,,1416,
,,,,,,,,1495,
,,,,,,,,1568,
,,,,,,,,1651,
,,,,,,,,1714,
,,,,,,,,1786,
,,,,,,,,1894,
,,,,,,,,1950,
1.3807048,-3.8095675454545455,7.0,1.2887237874493978,0,-3.818459192029675,-3.9,-3.619502818445989,2001,-1.9435589
,,,,,,,,2006,
,,,,,,,,2081,
,,,,,,,,2183,
,,,,,,,,2253,
,,,,,,,,2316,
,,,,,,,,2399,
,,,,,,,,2471,
,,,,,,,,2555,
,,,,,,,,2607,
,,,,,,,,2685,
,,,,,,,,2778,
,,,,,,,,2851,
,,,,,,,,2954,
1.3964852,-3.892531636363636,7.0,1.281700076939937,0,-3.9504035294062234,-3.9,-3.703286678234969,3001,-1.9508396
,,,,,,,,3025,
,,,,,,,,3082,
,,,,,,,,3160,
,,,,,,,,3253,
,,,,,,,,3323,
,,,,,,,,3396,
,,,,,,,,3471,
,,,,,,,,3552,
,,,,,,,,3652,
,,,,,,,,3750,
,,,,,,,,3824,
,,,,,,,,3913,
,,,,,,,,3983,
1.4036634,-3.8357502727272728,7.0,1.3053163587079384,0,-3.7757864862632675,-3.9,-3.6452589662343766,4001,-1.9367398
,,,,,,,,4070,
,,,,,,,,4151,
,,,,,,,,4225,
,,,,,,,,4339,
,,,,,,,,4426,
,,,,,,,,4521,
,,,,,,,,4613,
,,,,,,,,4696,
,,,,,,,,4770,
,,,,,,,,4846,
,,,,,,,,4933,
1.3844968,-3.8418220000000005,7.0,1.2865871227170085,0,-3.803983067611056,-3.9,-3.652592128687846,5001,-1.938498
,,,,,,,,5014,
,,,,,,,,5105,
,,,,,,,,5202,
,,,,,,,,5273,
,,,,,,,,5374,
,,,,,,,,5459,
,,,,,,,,5546,
,,,,,,,,5636,
,,,,,,,,5727,
,,,,,,,,5838,
,,,,,,,,5906,
,,,,,,,,5982,
1.388742,-3.859922636363636,7.0,1.283742286955981,0,-3.770345373917237,-3.9,-3.669955082752277,6001,-1.954358
,,,,,,,,6069,
,,,,,,,,6136,
,,,,,,,,6194,
,,,,,,,,6266,
,,,,,,,,6343,
,,,,,,,,6429,
,,,,,,,,6509,
,,,,,,,,6599,
,,,,,,,,6683,
,,,,,,,,6771,
,,,,,,,,6830,
,,,,,,,,6915,
,,,,,,,,6983,
1.374796,-3.8052053636363636,7.0,1.2823960834380541,0,-3.6176379765927797,-3.9,-3.6152209672646505,7001,-1.948127
,,,,,,,,7054,
,,,,,,,,7129,
,,,,,,,,7210,
,,,,,,,,7310,
,,,,,,,,7388,
,,,,,,,,7472,
,,,,,,,,7543,
,,,,,,,,7636,
,,,,,,,,7697,
,,,,,,,,7774,
,,,,,,,,7903,
,,,,,,,,7991,
1.4264737,-3.868039,7.0,1.3291162683057498,0,-3.9651427845413725,-3.9,-3.6762987522297874,8001,-1.9352146
,,,,,,,,8049,
,,,,,,,,8106,
,,,,,,,,8189,
,,,,,,,,8250,
,,,,,,,,8357,
,,,,,,,,8426,
,,,,,,,,8499,
,,,,,,,,8566,
,,,,,,,,8659,
,,,,,,,,8730,
,,,,,,,,8820,
,,,,,,,,8923,
,,,,,,,,8997,
1.4029517,-3.859129909090909,7.0,1.3017313007916902,0,-3.902670647023535,-3.8,-3.6686898890868544,9001,-1.9429394
,,,,,,,,9081,
,,,,,,,,9174,
,,,,,,,,9294,
,,,,,,,,9347,
,,,,,,,,9410,
,,,,,,,,9509,
,,,,,,,,9594,
,,,,,,,,9696,
,,,,,,,,9826,
,,,,,,,,9903,
,,,,,,,,9989,
1.4061329,-3.851707818181818,7.0,1.3016561397237862,0,-3.827916917320449,-3.8,-3.661006919937542,10001,-1.9456444
,,,,,,,,10072,
,,,,,,,,10162,
,,,,,,,,10232,
,,,,,,,,10301,
,,,,,,,,10364,
,,,,,,,,10434,
,,,,,,,,10492,
,,,,,,,,10576,
,,,,,,,,10634,
,,,,,,,,10703,
,,,,,,,,10797,
,,,,,,,,10865,
,,,,,,,,10930,
1.4137168,-3.8552831818181814,7.0,1.3169501132732273,0,-3.8866517780138685,-3.9,-3.6643135982423085,11001,-1.9346598
,,,,,,,,11007,
,,,,,,,,11084,
,,,,,,,,11180,
,,,,,,,,11251,
,,,,,,,,11339,
,,,,,,,,11427,
,,,,,,,,11516,
,,,,,,,,11634,
,,,,,,,,11702,
,,,,,,,,11780,
,,,,,,,,11850,
,,,,,,,,11934,
1.3966225,-3.866736909090909,7.0,1.2905144032816407,0,-3.867722842537782,-3.9,-3.677608634658803,12001,-1.9366882
,,,,,,,,12005,
,,,,,,,,12072,
,,,,,,,,12151,
,,,,,,,,12223,
,,,,,,,,12281,
,,,,,,,,12391,
,,,,,,,,12461,
,,,,,,,,12544,
,,,,,,,,12621,
,,,,,,,,12720,
,,,,,,,,12841,
,,,,,,,,12927,
1.4197857,-3.9231908181818183,7.0,1.308731145050227,0,-4.00383649487998,-3.9,-3.7329394030461116,13001,-1.9424239
,,,,,,,,13013,
,,,,,,,,13112,
,,,,,,,,13186,
,,,,,,,,13279,
,,,,,,,,13435,
,,,,,,,,13521,
,,,,,,,,13596,
,,,,,,,,13661,
,,,,,,,,13739,
,,,,,,,,13791,
,,,,,,,,13865,
,,,,,,,,13945,
1.3949616,-3.8067717272727277,7.0,1.3062002345818966,0,-3.7641345725953927,-3.9,-3.61592909478361,14001,-1.9366825
,,,,,,,,14016,
,,,,,,,,14101,
,,,,,,,,14163,
,,,,,,,,14246,
,,,,,,,,14331,
,,,,,,,,14412,
,,,,,,,,14495,
,,,,,,,,14594,
,,,,,,,,14653,
,,,,,,,,14717,
,,,,,,,,14774,
,,,,,,,,14841,
,,,,,,,,14933,
1.4342428,-3.8843274545454545,7.0,1.3258897237401817,0,-3.6485696253489484,-3.9,-3.692823603867677,15001,-1.9374251
,,,,,,,,15009,
,,,,,,,,15116,
,,,,,,,,15196,
,,,,,,,,15274,
,,,,,,,,15374,
,,,,,,,,15451,
,,,,,,,,15550,
,,,,,,,,15628,
,,,,,,,,15693,
,,,,,,,,15771,
,,,,,,,,15863,
,,,,,,,,15936,
1.3878677,-3.8070694545454544,7.0,1.2942241256245017,0,-3.862203949735692,-3.9,-3.617099363728123,16001,-1.9363618
,,,,,,,,16017,
,,,,,,,,16123,
,,,,,,,,16243,
,,,,,,,,16338,
,,,,,,,,16402,
,,,,,,,,16494,
,,,,,,,,16564,
,,,,,,,,16678,
,,,,,,,,16821,
,,,,,,,,16904,
1.421288,-3.8417376363636375,7.0,1.325308035254463,0,-3.720803245559489,-3.9,-3.6503754995954196,17001,-1.9299198
,,,,,,,,17025,
,,,,,,,,17090,
,,,,,,,,17157,
,,,,,,,,17235,
,,,,,,,,17300,
,,,,,,,,17386,
,,,,,,,,17492,
,,,,,,,,17556,
,,,,,,,,17647,
,,,,,,,,17714,
,,,,,,,,17792,
,,,,,,,,17906,
,,,,,,,,17976,
1.364548,-3.7631053636363636,7.0,1.276587199889975,0,-3.6447819338834635,-3.8,-3.573408818172676,18001,-1.9438492
,,,,,,,,18060,
,,,,,,,,18139,
,,,,,,,,18238,
,,,,,,,,18324,
,,,,,,,,18460,
,,,,,,,,18539,
,,,,,,,,18611,
,,,,,,,,18693,
,,,,,,,,18755,
,,,,,,,,18845,
,,,,,,,,18907,
,,,,,,,,18998,
1.3898212,-3.8193022727272723,7.0,1.2950268208753362,0,-3.947538734084128,-3.8,-3.629076803244168,19001,-1.9409195
,,,,,,,,19055,
,,,,,,,,19138,
,,,,,,,,19246,
,,,,,,,,19298,
,,,,,,,,19400,
,,,,,,,,19483,
,,,,,,,,19562,
,,,,,,,,19643,
,,,,,,,,19709,
,,,,,,,,19789,
,,,,,,,,19866,
,,,,,,,,19960,
1.392276,-3.867591272727273,7.0,1.2941907943016084,0,-3.834937608373908,-3.8,-3.677520292327238,20001,-1.9464682
,,,,,,,,20056,
,,,,,,,,20149,
,,,,,,,,20210,
,,,,,,,,20310,
,,,,,,,,20402,
,,,,,,,,20483,
,,,,,,,,20555,
,,,,,,,,20638,
,,,,,,,,20717,
,,,,,,,,20830,
,,,,,,,,20956,
1.3717844,-3.8422918181818178,7.0,1.2693171843245281,0,-3.7592783512528376,-3.8,-3.653300840013742,21001,-1.9524533
,,,,,,,,21039,
,,,,,,,,21117,
,,,,,,,,21201,
,,,,,,,,21270,
,,,,,,,,21330,
,,,,,,,,21409,
,,,,,,,,21495,
,,,,,,,,21578,
,,,,,,,,21666,
,,,,,,,,21788,
,,,,,,,,21875,
,,,,,,,,21945,
1.3954917,-3.823624363636364,7.0,1.3031313266106315,0,-3.7787289841539704,-3.8,-3.63343118568539,22001,-1.9329735
,,,,,,,,22007,
,,,,,,,,22112,
,,,,,,,,22180,
,,,,,,,,22234,
,,,,,,,,22329,
,,,,,,,,22393,
,,,,,,,,22478,
,,,,,,,,22585,
,,,,,,,,22650,
,,,,,,,,22762,
,,,,,,,,22853,
,,,,,,,,22921,
1.389181,-3.827710818181818,7.0,1.2937001110343955,0,-3.7327972868356203,-3.8,-3.6375285146445493,23001,-1.9428382
,,,,,,,,23022,
,,,,,,,,23094,
,,,,,,,,23227,
,,,,,,,,23306,
,,,,,,,,23390,
,,,,,,,,23475,
,,,,,,,,23562,
,,,,,,,,23669,
,,,,,,,,23740,
,,,,,,,,23846,
,,,,,,,,23925,
1.3844105,-3.8127315454545454,7.0,1.2833299456055927,0,-3.92203758966334,-3.8,-3.6229201879970314,24001,-1.9458216
,,,,,,,,24049,
,,,,,,,,24120,
,,,,,,,,24203,
,,,,,,,,24276,
,,,,,,,,24355,
,,,,,,,,24409,
,,,,,,,,24483,
,,,,,,,,24573,
,,,,,,,,24662,
,,,,,,,,24750,
,,,,,,,,24833,
,,,,,,,,24885,
25.442873,85.63138890909092,199.0,-13.623602557745107,5,72.57062952562546,5.3,59.86750358932752,25001,-1.4441499
,,,,,,,,25251,
,,,,,,,,25973,
16.878263,82.25885999999998,195.72727272727272,13.87153880313341,5,74.67255283228589,14.7,58.80898837746588,26001,25.227222
,,,,,,,,26674,
56.45448,203.30724199999997,185.0909090909091,55.52926603126243,5,103.87615923848371,37.2,80.57801961944618,27001,114.19919
,,,,,,,,27162,
,,,,,,,,27856,
112.58851,84.42280872727274,195.54545454545453,112.58850435196082,5,55.24844920900782,47.4,59.88373859463779,28001,124.99949
,,,,,,,,28648,
47.361,347.6081427272727,183.9090909090909,47.36100571248232,5,333.8600242832715,83.3,127.57533031933434,29001,167.39825
,,,,,,,,29577,
82.877884,310.137129,248.0,82.84889436430893,7,412.4020285723383,117.0,99.01413404816486,30001,166.208
,,,,,,,,30487,
75.45701,444.9335970909091,312.0,75.45460609018932,8,425.72578235269634,166.2,104.57533846663418,31001,183.04167
,,,,,,,,31401,
100.67455,261.53719490909094,203.36363636363637,100.39849965584084,5,62.58563052107432,199.1,96.31341781849973,32001,175.94069
,,,,,,,,32258,
63.691624,350.4210061818182,143.27272727272728,62.88784856666955,4,383.3976630070832,234.8,165.6895235258396,33001,192.4068
,,,,,,,,33042,
,,,,,,,,33892,
33.47249,595.793373,258.90909090909093,24.111737863847875,7,651.5514472355167,289.6,163.38090700906594,34001,191.3747
,,,,,,,,34906,
56.287643,513.3268231818182,245.0,39.24346505570743,7,506.2244475192894,338.6,149.97575129010735,35001,188.2167
,,,,,,,,35760,
192.86494,14.187338090909089,113.63636363636364,192.72152119648462,3,14.435387603332389,324.1,22.12336070009532,36001,185.88503
,,,,,,,,36477,
178.44545,82.95671681818182,154.27272727272728,178.3154534207704,4,52.40311603162299,321.9,48.925426496962864,37001,192.2647
,,,,,,,,37224,
70.65772,481.0727069999999,205.27272727272728,69.80794223350195,5,496.2962914563886,337.7,158.15450170873393,38001,227.86205
,,,,,,,,38136,
,,,,,,,,38905,
87.61041,423.4392305454545,212.36363636363637,87.61041012401633,6,417.0299965087478,349.8,137.07932913583494,39001,223.11816
,,,,,,,,39841,
81.884575,439.32154445454546,201.8181818181818,81.87689505305958,5,441.8902978754478,353.6,150.33353687807823,40001,225.78249
,,,,,,,,40632,
198.64264,46.77215418181818,53.18181818181818,198.64264073863333,1,40.897819571869015,325.8,34.06136140145209,41001,223.11752
,,,,,,,,41487,
88.410835,442.6084195454545,205.8181818181818,88.13192492076872,5,437.4142386649859,337.6,154.11261525194948,42001,229.02657
,,,,,,,,42327,
