eval_returns,eval_eplenmean,eval_qs_difference,eval_abs_qs_difference,eval_ep_rewmean,total timesteps,eval_time_elapsed,eval_qs,eval mean 100 episode reward,eval_discount_q
-1.5245855232445855,8.0,0.28530031342155326,0.9291563,-1.505081181818182,1,0,-1.1586114,-1.5,-1.4036042687925683
,,,,,85,,,,
,,,,,153,,,,
,,,,,227,,,,
,,,,,323,,,,
,,,,,462,,,,
,,,,,531,,,,
,,,,,619,,,,
,,,,,729,,,,
,,,,,803,,,,
,,,,,867,,,,
,,,,,924,,,,
,,,,,974,,,,
-1.523405501464087,8.0,0.27052087809184866,0.9244085,-1.4883973636363637,1001,0,-1.1615173,-1.5,-1.387711438893001
,,,,,1067,,,,
,,,,,1161,,,,
,,,,,1261,,,,
,,,,,1327,,,,
,,,,,1377,,,,
,,,,,1459,,,,
,,,,,1556,,,,
,,,,,1632,,,,
,,,,,1717,,,,
,,,,,1816,,,,
,,,,,1912,,,,
-1.4695088674267267,8.0,0.27040051438665075,0.9487002,-1.5077641818181817,2001,0,-1.1613446,-1.5,-1.4072974811767454
,,,,,2013,,,,
,,,,,2104,,,,
,,,,,2188,,,,
,,,,,2284,,,,
,,,,,2351,,,,
,,,,,2416,,,,
,,,,,2492,,,,
,,,,,2569,,,,
,,,,,2640,,,,
,,,,,2729,,,,
,,,,,2797,,,,
,,,,,2869,,,,
,,,,,2950,,,,
-1.428563574231044,7.909090909090909,0.29488246485193365,0.9264154,-1.4919884545454545,3001,0,-1.1565746,-1.5,-1.3914659314491518
,,,,,3056,,,,
,,,,,3153,,,,
,,,,,3233,,,,
,,,,,3328,,,,
,,,,,3419,,,,
,,,,,3511,,,,
,,,,,3590,,,,
,,,,,3670,,,,
,,,,,3744,,,,
,,,,,3821,,,,
,,,,,3889,,,,
,,,,,3962,,,,
-1.4820079251002998,7.909090909090909,0.321460423180742,0.9478373,-1.5396322727272727,4001,0,-1.1581279,-1.5,-1.4372454572469762
,,,,,4043,,,,
,,,,,4140,,,,
,,,,,4184,,,,
,,,,,4313,,,,
,,,,,4406,,,,
,,,,,4516,,,,
,,,,,4587,,,,
,,,,,4698,,,,
,,,,,4765,,,,
,,,,,4836,,,,
,,,,,4914,,,,
,,,,,4981,,,,
-1.5448866834645305,7.818181818181818,0.3554808309522609,0.9483535,-1.5518258181818183,5001,0,-1.1516765,-1.5,-1.4489913096117417
,,,,,5043,,,,
,,,,,5128,,,,
,,,,,5212,,,,
,,,,,5319,,,,
,,,,,5462,,,,
,,,,,5563,,,,
,,,,,5653,,,,
,,,,,5726,,,,
,,,,,5850,,,,
,,,,,5963,,,,
-1.4962212064156954,8.0,0.29065319191269573,0.93541354,-1.514614727272727,6001,0,-1.1629597,-1.5,-1.4124502758675852
,,,,,6035,,,,
,,,,,6118,,,,
,,,,,6184,,,,
