eval_time_elapsed,eval_discount_q,eval_qs,total timesteps,eval_qs_difference,eval_ep_rewmean,eval_eplenmean,eval_abs_qs_difference,eval_returns,eval mean 100 episode reward
0,-9.048841372265533,-0.636928,1,9.70944148738291,-11.451787363636363,24.09090909090909,9.709441,-10.799524793769612,-11.5
,,,70,,,,,,
,,,135,,,,,,
,,,209,,,,,,
,,,273,,,,,,
,,,354,,,,,,
,,,438,,,,,,
,,,503,,,,,,
,,,575,,,,,,
,,,657,,,,,,
,,,729,,,,,,
,,,807,,,,,,
,,,897,,,,,,
,,,963,,,,,,
0,-8.793826732975216,-0.65559965,1001,9.540582422198685,-11.152505272727273,24.0,9.540583,-11.976746939786233,-11.3
,,,1061,,,,,,
,,,1152,,,,,,
,,,1242,,,,,,
,,,1385,,,,,,
,,,1489,,,,,,
,,,1557,,,,,,
,,,1627,,,,,,
,,,1701,,,,,,
,,,1778,,,,,,
,,,1870,,,,,,
,,,1960,,,,,,
0,-8.958551987009121,-0.63830894,2001,9.477649915599237,-11.305971999999999,24.09090909090909,9.47765,-10.839417066073704,-11.3
,,,2043,,,,,,
,,,2108,,,,,,
,,,2187,,,,,,
,,,2272,,,,,,
,,,2358,,,,,,
,,,2442,,,,,,
,,,2557,,,,,,
,,,2629,,,,,,
,,,2813,,,,,,
,,,2953,,,,,,
0,-8.924952992144657,-0.6381725,3001,9.546269879656096,-11.318088454545453,24.363636363636363,9.546269,-10.353810085780673,-11.3
,,,3024,,,,,,
,,,3088,,,,,,
,,,3171,,,,,,
,,,3238,,,,,,
,,,3358,,,,,,
,,,3444,,,,,,
,,,3519,,,,,,
,,,3586,,,,,,
,,,3657,,,,,,
,,,3734,,,,,,
,,,3797,,,,,,
,,,3878,,,,,,
,,,3957,,,,,,
0,-8.843675039256382,-0.63344187,4001,9.448025445218631,-11.202836727272727,24.272727272727273,9.448025,-11.217870367859176,-11.3
,,,4037,,,,,,
,,,4088,,,,,,
,,,4134,,,,,,
,,,4232,,,,,,
,,,4328,,,,,,
,,,4414,,,,,,
,,,4511,,,,,,
,,,4618,,,,,,
,,,4738,,,,,,
,,,4796,,,,,,
,,,4896,,,,,,
,,,4974,,,,,,
