eval mean 100 episode reward,eval_qs_difference,total timesteps,eval_ep_rewmean,eval_returns,eval_time_elapsed,eval_qs,eval_discount_q,eval_abs_qs_difference,eval_eplenmean
7.0,1.1196777317735953,1,6.458962818181818,1.4818740513630815,0,-0.22623453,6.634332354781448,3.7818856,29.818181818181817
,,95,,,,,,,
,,169,,,,,,,
,,278,,,,,,,
,,331,,,,,,,
,,401,,,,,,,
,,451,,,,,,,
,,524,,,,,,,
,,600,,,,,,,
,,687,,,,,,,
,,798,,,,,,,
,,860,,,,,,,
,,955,,,,,,,
4.6,2.7466924410318745,1001,2.6156378181818183,2.650702352421627,0,-0.1976811,3.3647322253681367,3.505899,24.363636363636363
,,1077,,,,,,,
,,1169,,,,,,,
,,1246,,,,,,,
,,1345,,,,,,,
,,1452,,,,,,,
,,1517,,,,,,,
,,1587,,,,,,,
,,1661,,,,,,,
,,1743,,,,,,,
,,1836,,,,,,,
,,1901,,,,,,,
,,1978,,,,,,,
4.0,2.6285908803334386,2001,2.781976272727272,2.7763007182696207,0,-0.196603,3.5119188242709574,3.426403,24.727272727272727
,,2064,,,,,,,
,,2126,,,,,,,
,,2207,,,,,,,
,,2284,,,,,,,
,,2358,,,,,,,
,,2429,,,,,,,
,,2505,,,,,,,
,,2585,,,,,,,
,,2676,,,,,,,
,,2752,,,,,,,
,,2816,,,,,,,
,,2892,,,,,,,
,,2956,,,,,,,
3.8,2.3724428100116857,3001,3.2042338181818177,2.835586707803514,0,-0.20681891,3.877194224043706,3.312754,24.636363636363637
,,3027,,,,,,,
,,3115,,,,,,,
,,3219,,,,,,,
,,3304,,,,,,,
,,3408,,,,,,,
,,3490,,,,,,,
,,3559,,,,,,,
,,3616,,,,,,,
,,3703,,,,,,,
,,3801,,,,,,,
,,3887,,,,,,,
,,3960,,,,,,,
3.6,2.732461907258702,4001,2.901332181818182,2.0375024595541733,0,-0.18763727,3.6587448173697097,3.6339242,25.0
,,4066,,,,,,,
,,4142,,,,,,,
,,4206,,,,,,,
,,4257,,,,,,,
,,4339,,,,,,,
,,4468,,,,,,,
,,4532,,,,,,,
,,4618,,,,,,,
,,4685,,,,,,,
,,4782,,,,,,,
,,4863,,,,,,,
,,4928,,,,,,,
3.7,1.944606774784878,5001,4.485318,3.5163142554101547,0,-0.2135758,4.946650119063771,3.5678053,27.272727272727273
,,5008,,,,,,,
,,5085,,,,,,,
,,5176,,,,,,,
,,5275,,,,,,,
,,5343,,,,,,,
,,5407,,,,,,,
,,5492,,,,,,,
,,5584,,,,,,,
,,5659,,,,,,,
,,5747,,,,,,,
,,5828,,,,,,,
,,5900,,,,,,,
,,5980,,,,,,,
3.6,2.633608367869108,6001,2.5731128181818184,2.149527905605206,0,-0.19266337,3.2884147081072728,3.3838212,24.272727272727273
,,6067,,,,,,,
,,6152,,,,,,,
,,6236,,,,,,,
,,6334,,,,,,,
,,6392,,,,,,,
,,6483,,,,,,,
,,6593,,,,,,,
,,6680,,,,,,,
,,6732,,,,,,,
,,6817,,,,,,,
,,6871,,,,,,,
,,6925,,,,,,,
3.4,2.6927396037582665,7001,2.6312605454545452,6.780658564816038,0,-0.20236541,3.3656706487749406,3.506549,24.727272727272727
,,7006,,,,,,,
,,7071,,,,,,,
,,7147,,,,,,,
,,7226,,,,,,,
,,7304,,,,,,,
,,7389,,,,,,,
,,7462,,,,,,,
,,7531,,,,,,,
,,7631,,,,,,,
,,7717,,,,,,,
,,7831,,,,,,,
,,7898,,,,,,,
,,7998,,,,,,,
3.4,2.5750642352872273,8001,3.288434727272727,4.192600703481134,0,-0.19941877,4.020124718759314,3.602547,25.181818181818183
,,8072,,,,,,,
,,8170,,,,,,,
,,8250,,,,,,,
,,8330,,,,,,,
,,8414,,,,,,,
,,8493,,,,,,,
,,8607,,,,,,,
,,8668,,,,,,,
,,8733,,,,,,,
,,8820,,,,,,,
,,8875,,,,,,,
,,8938,,,,,,,
,,8991,,,,,,,
3.0,2.831334367290197,9001,2.560838181818182,2.5588406380583097,0,-0.17461096,3.3227993137638987,3.5840142,24.363636363636363
,,9114,,,,,,,
,,9177,,,,,,,
,,9282,,,,,,,
,,9387,,,,,,,
,,9456,,,,,,,
,,9542,,,,,,,
,,9652,,,,,,,
,,9713,,,,,,,
,,9771,,,,,,,
,,9839,,,,,,,
,,9928,,,,,,,
,,9998,,,,,,,
3.3,1.867976491530433,10001,4.850337909090909,1.1665146707920016,0,-0.20751238,5.192601336264416,3.9898338,27.181818181818183
,,10099,,,,,,,
,,10177,,,,,,,
,,10258,,,,,,,
,,10348,,,,,,,
,,10437,,,,,,,
,,10546,,,,,,,
,,10642,,,,,,,
,,10714,,,,,,,
,,10813,,,,,,,
,,10913,,,,,,,
3.3,2.720093614406152,11001,2.8397164545454543,2.1255033806951618,0,-0.17781587,3.5804886719981908,3.5540426,24.454545454545453
,,11004,,,,,,,
,,11087,,,,,,,
,,11150,,,,,,,
,,11219,,,,,,,
,,11317,,,,,,,
,,11448,,,,,,,
,,11522,,,,,,,
,,11600,,,,,,,
,,11713,,,,,,,
,,11814,,,,,,,
,,11872,,,,,,,
,,11963,,,,,,,
3.3,2.4384132667725806,12001,3.163713909090909,2.606091474760258,0,-0.2050123,3.8570788680063894,3.3860297,24.90909090909091
,,12032,,,,,,,
,,12115,,,,,,,
,,12175,,,,,,,
,,12253,,,,,,,
,,12326,,,,,,,
,,12412,,,,,,,
,,12509,,,,,,,
,,12591,,,,,,,
,,12653,,,,,,,
,,12762,,,,,,,
,,12843,,,,,,,
,,12915,,,,,,,
3.2,3.2798500880588133,13001,2.8963855454545455,3.0231961898427073,0,-0.21215191,4.33157719052953,4.2669325,30.363636363636363
,,13013,,,,,,,
,,13073,,,,,,,
,,13142,,,,,,,
,,13217,,,,,,,
,,13298,,,,,,,
,,13382,,,,,,,
,,13461,,,,,,,
,,13553,,,,,,,
,,13641,,,,,,,
,,13724,,,,,,,
,,13811,,,,,,,
,,13875,,,,,,,
,,13950,,,,,,,
2.9,3.93317971784864,14001,1.686728090909091,3.0380251117712653,0,-0.20457536,3.9738729897063703,4.7888126,31.818181818181817
,,14023,,,,,,,
,,14116,,,,,,,
,,14195,,,,,,,
,,14280,,,,,,,
,,14352,,,,,,,
,,14427,,,,,,,
,,14503,,,,,,,
,,14603,,,,,,,
,,14678,,,,,,,
,,14808,,,,,,,
,,14868,,,,,,,
,,14925,,,,,,,
,,15000,,,,,,,
3.0,2.3885874282049255,15001,3.5669728181818177,3.243335856837062,0,-0.2097459,4.269503269727461,3.4628828,25.454545454545453
,,15078,,,,,,,
,,15183,,,,,,,
,,15259,,,,,,,
,,15331,,,,,,,
,,15402,,,,,,,
,,15489,,,,,,,
,,15583,,,,,,,
,,15674,,,,,,,
,,15761,,,,,,,
,,15838,,,,,,,
,,15949,,,,,,,
3.3,2.2814857057449007,16001,4.724273636363637,1.519839764985405,0,-0.21454225,5.358501901754339,3.814433,30.727272727272727
,,16020,,,,,,,
,,16108,,,,,,,
,,16208,,,,,,,
,,16284,,,,,,,
,,16363,,,,,,,
,,16463,,,,,,,
,,16505,,,,,,,
,,16587,,,,,,,
,,16682,,,,,,,
,,16764,,,,,,,
,,16844,,,,,,,
,,16917,,,,,,,
,,16988,,,,,,,
3.4,1.9568405116538314,17001,4.531157545454546,3.327416122249076,0,-0.19834705,4.967898439023867,3.6954355,27.0
,,17055,,,,,,,
,,17126,,,,,,,
,,17195,,,,,,,
,,17282,,,,,,,
,,17387,,,,,,,
,,17462,,,,,,,
,,17562,,,,,,,
,,17647,,,,,,,
,,17732,,,,,,,
,,17809,,,,,,,
,,17909,,,,,,,
,,17985,,,,,,,
3.4,2.761262706370815,18001,2.6320168181818184,2.5856801374574205,0,-0.18866114,3.391016499107522,3.5086706,24.727272727272727
,,18066,,,,,,,
,,18139,,,,,,,
,,18221,,,,,,,
,,18284,,,,,,,
,,18368,,,,,,,
,,18430,,,,,,,
,,18521,,,,,,,
,,18607,,,,,,,
,,18707,,,,,,,
,,18791,,,,,,,
,,18852,,,,,,,
,,18911,,,,,,,
,,18962,,,,,,,
3.2,2.174845281899758,19001,4.363921363636364,16.501714537139197,0,-0.21039338,4.977185499793079,3.7288263,27.636363636363637
,,19043,,,,,,,
,,19131,,,,,,,
,,19187,,,,,,,
