total timesteps,eval_returns,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,eval_abs_qs_difference,eval_eplenmean,eval_qs_difference,eval_qs
1,1.4648178392542346,0,2.4,2.3337234545454546,3.0825609397285345,3.493348,23.09090909090909,2.881956623922484,-0.23578314
113,,,,,,,,,
182,,,,,,,,,
290,,,,,,,,,
353,,,,,,,,,
431,,,,,,,,,
507,,,,,,,,,
606,,,,,,,,,
700,,,,,,,,,
769,,,,,,,,,
843,,,,,,,,,
915,,,,,,,,,
1000,,,,,,,,,
1001,2.3583921055391004,0,2.3,2.3597271818181813,3.089741077796357,3.447172,22.90909090909091,2.8280194571028185,-0.22749518
1102,,,,,,,,,
1160,,,,,,,,,
1204,,,,,,,,,
1280,,,,,,,,,
1380,,,,,,,,,
1449,,,,,,,,,
1516,,,,,,,,,
1627,,,,,,,,,
1697,,,,,,,,,
1764,,,,,,,,,
1857,,,,,,,,,
1934,,,,,,,,,
2001,1.9177473440968136,0,2.3,2.248649272727272,2.990470431081654,3.424292,23.0,2.868262476534312,-0.2270265
2006,,,,,,,,,
2097,,,,,,,,,
2170,,,,,,,,,
2243,,,,,,,,,
2315,,,,,,,,,
2369,,,,,,,,,
2434,,,,,,,,,
2507,,,,,,,,,
2625,,,,,,,,,
2707,,,,,,,,,
2774,,,,,,,,,
2861,,,,,,,,,
2941,,,,,,,,,
3001,2.7485985163283404,0,2.4,2.6980797272727273,3.4257986151198243,3.5108674,23.272727272727273,2.7556321804401493,-0.23037091
3013,,,,,,,,,
3082,,,,,,,,,
3191,,,,,,,,,
3245,,,,,,,,,
3352,,,,,,,,,
3447,,,,,,,,,
3520,,,,,,,,,
3601,,,,,,,,,
3666,,,,,,,,,
3753,,,,,,,,,
3831,,,,,,,,,
3893,,,,,,,,,
3981,,,,,,,,,
4001,2.6636704265875513,0,2.4,2.2010979999999996,2.951190320171378,3.4650383,22.90909090909091,2.9144276180612407,-0.2314899
4039,,,,,,,,,
4105,,,,,,,,,
4226,,,,,,,,,
4340,,,,,,,,,
4434,,,,,,,,,
4506,,,,,,,,,
4560,,,,,,,,,
4641,,,,,,,,,
4724,,,,,,,,,
4797,,,,,,,,,
4870,,,,,,,,,
4945,,,,,,,,,
5001,0.9344532701082502,0,2.3,1.985245363636364,2.7646272411404285,3.5670378,22.727272727272727,3.075972555134955,-0.23733169
5025,,,,,,,,,
5107,,,,,,,,,
5206,,,,,,,,,
5270,,,,,,,,,
5348,,,,,,,,,
5419,,,,,,,,,
5493,,,,,,,,,
5566,,,,,,,,,
5642,,,,,,,,,
5703,,,,,,,,,
5803,,,,,,,,,
5892,,,,,,,,,
5968,,,,,,,,,
6001,2.042494259412029,0,2.3,2.4341070909090914,3.17462150303751,3.4772818,23.272727272727273,2.820742822352788,-0.23437653
6038,,,,,,,,,
6120,,,,,,,,,
6184,,,,,,,,,
6279,,,,,,,,,
6391,,,,,,,,,
6499,,,,,,,,,
6584,,,,,,,,,
6651,,,,,,,,,
6717,,,,,,,,,
6785,,,,,,,,,
6853,,,,,,,,,
6938,,,,,,,,,
7001,2.204724589323672,0,2.3,2.402418272727273,3.160609193316165,3.526326,23.272727272727273,2.8893572129239304,-0.23176493
7024,,,,,,,,,
7089,,,,,,,,,
7150,,,,,,,,,
7222,,,,,,,,,
7294,,,,,,,,,
7360,,,,,,,,,
7439,,,,,,,,,
7532,,,,,,,,,
7628,,,,,,,,,
7742,,,,,,,,,
7813,,,,,,,,,
7917,,,,,,,,,
7998,,,,,,,,,
8001,2.553342366322813,0,2.3,1.9381596363636362,2.705765232007163,3.4970193,22.818181818181817,3.0214629517714653,-0.229843
8059,,,,,,,,,
8140,,,,,,,,,
8209,,,,,,,,,
8290,,,,,,,,,
8366,,,,,,,,,
8446,,,,,,,,,
8532,,,,,,,,,
8616,,,,,,,,,
8688,,,,,,,,,
8767,,,,,,,,,
8862,,,,,,,,,
8936,,,,,,,,,
9001,2.020116682334291,0,2.2,1.9632044545454546,2.734300948576607,3.5203805,22.727272727272727,3.0439701013308875,-0.23206958
9001,,,,,,,,,
9108,,,,,,,,,
9204,,,,,,,,,
9283,,,,,,,,,
9346,,,,,,,,,
9444,,,,,,,,,
9526,,,,,,,,,
9619,,,,,,,,,
9700,,,,,,,,,
9782,,,,,,,,,
9848,,,,,,,,,
9926,,,,,,,,,
10001,2.2480752821874708,0,2.2,2.354036181818182,3.120708613022325,3.561984,23.181818181818183,2.9369293582952154,-0.23539285
10012,,,,,,,,,
10069,,,,,,,,,
10152,,,,,,,,,
10218,,,,,,,,,
10275,,,,,,,,,
10360,,,,,,,,,
10448,,,,,,,,,
10536,,,,,,,,,
10611,,,,,,,,,
10690,,,,,,,,,
10792,,,,,,,,,
10866,,,,,,,,,
10947,,,,,,,,,
11001,3.251679568155372,0,2.2,2.290252636363636,3.047201634035356,3.536947,23.09090909090909,2.920438503969798,-0.23235916
11046,,,,,,,,,
11158,,,,,,,,,
11242,,,,,,,,,
11327,,,,,,,,,
11409,,,,,,,,,
11500,,,,,,,,,
11571,,,,,,,,,
11636,,,,,,,,,
11735,,,,,,,,,
11812,,,,,,,,,
11915,,,,,,,,,
12001,1.9307353860286476,0,2.2,1.8703213636363636,2.655528407501308,3.5527549,22.818181818181817,3.089362651942252,-0.24172287
12022,,,,,,,,,
12103,,,,,,,,,
12200,,,,,,,,,
12273,,,,,,,,,
12340,,,,,,,,,
12408,,,,,,,,,
12451,,,,,,,,,
12542,,,,,,,,,
12617,,,,,,,,,
12694,,,,,,,,,
12773,,,,,,,,,
12863,,,,,,,,,
13001,1.877964477642094,0,2.1,2.001695454545455,2.778661189145357,3.5371523,23.0,3.0341325730926276,-0.23101515
13025,,,,,,,,,
13101,,,,,,,,,
13169,,,,,,,,,
13241,,,,,,,,,
13318,,,,,,,,,
13456,,,,,,,,,
13533,,,,,,,,,
13620,,,,,,,,,
13706,,,,,,,,,
13778,,,,,,,,,
13858,,,,,,,,,
13956,,,,,,,,,
14001,2.156811971913122,0,2.2,2.365092454545455,3.1059093530085202,3.4916894,23.09090909090909,2.851884301382637,-0.2294007
14047,,,,,,,,,
14115,,,,,,,,,
14182,,,,,,,,,
14253,,,,,,,,,
14327,,,,,,,,,
14392,,,,,,,,,
14484,,,,,,,,,
14562,,,,,,,,,
14638,,,,,,,,,
14700,,,,,,,,,
14767,,,,,,,,,
14873,,,,,,,,,
14991,,,,,,,,,
15001,3.5376761788913944,0,2.2,2.2625220909090906,3.016491471556726,3.5111442,23.09090909090909,2.91411369281068,-0.23065472
15088,,,,,,,,,
15177,,,,,,,,,
15269,,,,,,,,,
15355,,,,,,,,,
15433,,,,,,,,,
15526,,,,,,,,,
15623,,,,,,,,,
15705,,,,,,,,,
15778,,,,,,,,,
15840,,,,,,,,,
15910,,,,,,,,,
16001,3.4058755298106345,0,2.2,2.5116678181818184,3.2523809147432785,3.5002947,23.272727272727273,2.817815322123055,-0.23173667
16001,,,,,,,,,
16072,,,,,,,,,
16170,,,,,,,,,
16253,,,,,,,,,
16314,,,,,,,,,
16424,,,,,,,,,
16510,,,,,,,,,
16604,,,,,,,,,
16691,,,,,,,,,
16775,,,,,,,,,
16859,,,,,,,,,
16953,,,,,,,,,
17001,1.3845434213039858,0,2.2,2.425759090909091,3.1990889296714937,3.6140633,23.363636363636363,2.934184751679796,-0.24617429
17022,,,,,,,,,
17103,,,,,,,,,
17185,,,,,,,,,
17286,,,,,,,,,
17366,,,,,,,,,
17445,,,,,,,,,
17537,,,,,,,,,
17614,,,,,,,,,
17703,,,,,,,,,
17781,,,,,,,,,
17865,,,,,,,,,
17944,,,,,,,,,
18001,2.229387124935942,0,2.2,2.139960090909091,2.8992680266261037,3.466327,23.09090909090909,2.931485491095842,-0.2366169
18021,,,,,,,,,
18086,,,,,,,,,
18176,,,,,,,,,
18226,,,,,,,,,
18298,,,,,,,,,
18362,,,,,,,,,
18416,,,,,,,,,
18510,,,,,,,,,
18602,,,,,,,,,
18674,,,,,,,,,
18751,,,,,,,,,
18823,,,,,,,,,
18895,,,,,,,,,
18962,,,,,,,,,
19001,0.3291269472823264,0,2.2,1.679690909090909,2.4768489243047513,3.6189406,22.636363636363637,3.183010469031281,-0.24172348
19044,,,,,,,,,
19121,,,,,,,,,
19224,,,,,,,,,
19310,,,,,,,,,
19451,,,,,,,,,
19513,,,,,,,,,
19604,,,,,,,,,
19675,,,,,,,,,
19747,,,,,,,,,
19831,,,,,,,,,
19900,,,,,,,,,
19971,,,,,,,,,
20001,2.060007237695228,0,2.2,2.455757818181818,3.215852694158628,3.5370667,23.454545454545453,2.8744814467514668,-0.23163377
20046,,,,,,,,,
20136,,,,,,,,,
20206,,,,,,,,,
20285,,,,,,,,,
20379,,,,,,,,,
20464,,,,,,,,,
20535,,,,,,,,,
20625,,,,,,,,,
20738,,,,,,,,,
20802,,,,,,,,,
20874,,,,,,,,,
21001,2.5252337241006106,0,2.3,2.748767909090909,3.49674930450543,3.562335,23.727272727272727,2.772478516493851,-0.23495373
21014,,,,,,,,,
21095,,,,,,,,,
21200,,,,,,,,,
21302,,,,,,,,,
21371,,,,,,,,,
21462,,,,,,,,,
21530,,,,,,,,,
21596,,,,,,,,,
21682,,,,,,,,,
21769,,,,,,,,,
21853,,,,,,,,,
21926,,,,,,,,,
22001,2.967559804275934,0,2.3,2.097235181818182,2.874606768067187,3.5502114,23.09090909090909,3.0150295066305826,-0.2356839
22041,,,,,,,,,
22107,,,,,,,,,
22168,,,,,,,,,
22260,,,,,,,,,
22394,,,,,,,,,
22494,,,,,,,,,
22606,,,,,,,,,
22677,,,,,,,,,
22768,,,,,,,,,
22848,,,,,,,,,
22946,,,,,,,,,
